iter	Passed	Remaining
0	5	497
1	9	472
2	14	455
3	18	441
4	24	459
5	28	443
6	31	424
7	35	410
8	39	401
9	43	390
10	46	379
11	50	371
12	54	363
13	58	358
14	61	350
15	65	344
16	69	339
17	73	333
18	76	327
19	80	322
20	84	317
21	88	312
22	91	307
23	95	302
24	99	298
25	103	293
26	106	288
27	110	283
28	114	280
29	118	276
30	121	271
31	125	266
32	129	263
33	133	258
34	136	253
35	140	249
36	144	246
37	148	242
38	151	237
39	155	233
40	159	229
41	163	225
42	166	221
43	170	216
44	174	213
45	178	209
46	181	204
47	185	200
48	189	196
49	192	192
50	196	188
51	199	184
52	203	180
53	207	176
54	211	172
55	214	168
56	219	165
57	223	161
58	226	157
59	230	153
60	234	149
61	238	145
62	241	141
63	245	138
64	251	135
65	257	132
66	262	129
67	265	125
68	269	121
69	273	117
70	277	113
71	280	109
72	284	105
73	288	101
74	292	97
75	295	93
76	299	89
77	303	85
78	307	81
79	310	77
80	314	73
81	318	69
82	322	65
83	325	62
84	329	58
85	333	54
86	337	50
87	340	46
88	344	42
89	347	38
90	351	34
91	355	30
92	359	27
93	362	23
94	368	19
95	371	15
96	375	11
97	379	7
98	382	3
99	386	0
