Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.78,0.8142857142857143,0.576923076923077,0.78,0.7941666666666667,0.8614042759961127,0.6818181818181818,0.5,"[[126  14]
 [ 30  30]]",0.72,0.8438775510204082,0.540983606557377,0.72,0.7645238095238096,0.9207934194085797,0.532258064516129,0.55,"[[111  29]
 [ 27  33]]",0.775,0.8653061224489796,0.5360824742268041,0.775,0.7891666666666667,0.9394856309870887,0.7027027027027027,0.43333333333333335,"[[129  11]
 [ 34  26]]",0.77,0.863265306122449,0.5576923076923077,0.7699999999999999,0.7770238095238096,0.9380945439400249,0.6590909090909091,0.48333333333333334,"[[125  15]
 [ 31  29]]",0.765,0.8714285714285714,0.5523809523809524,0.765,0.7971428571428573,0.9383236151603499,0.6444444444444445,0.48333333333333334,"[[124  16]
 [ 31  29]]"
0.74,0.8114285714285714,0.5272727272727273,0.74,0.7529761904761905,0.856938775510204,0.58,0.48333333333333334,"[[119  21]
 [ 31  29]]",0.73,0.8448979591836735,0.578125,0.7299999999999999,0.7482142857142857,0.920978758850479,0.5441176470588235,0.6166666666666667,"[[109  31]
 [ 23  37]]",0.71,0.8612244897959184,0.4727272727272728,0.7100000000000001,0.766547619047619,0.9367242815493544,0.52,0.43333333333333335,"[[116  24]
 [ 34  26]]",0.74,0.8591836734693877,0.5272727272727273,0.74,0.749642857142857,0.9347396917950855,0.58,0.48333333333333334,"[[119  21]
 [ 31  29]]",0.755,0.8642857142857143,0.5504587155963303,0.755,0.7478571428571429,0.9368367346938775,0.6122448979591837,0.5,"[[121  19]
 [ 30  30]]"
0.745,0.8142857142857143,0.5233644859813084,0.745,0.7520238095238096,0.8625121477162294,0.5957446808510638,0.4666666666666667,"[[121  19]
 [ 32  28]]",0.74,0.8255102040816327,0.5806451612903225,0.74,0.7814285714285714,0.9204831320283215,0.5625,0.6,"[[112  28]
 [ 24  36]]",0.76,0.860204081632653,0.5555555555555556,0.76,0.7813095238095237,0.9356559766763849,0.625,0.5,"[[122  18]
 [ 30  30]]",0.755,0.8622448979591837,0.5333333333333333,0.755,0.7575,0.9381091211995001,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.755,0.8581632653061224,0.5504587155963303,0.755,0.7889285714285714,0.934060807996668,0.6122448979591837,0.5,"[[121  19]
 [ 30  30]]"
0.75,0.8014285714285714,0.5614035087719299,0.75,0.7323809523809524,0.8710495626822157,0.5925925925925926,0.5333333333333333,"[[118  22]
 [ 28  32]]",0.705,0.8346938775510204,0.549618320610687,0.705,0.7471428571428572,0.9260058309037901,0.5070422535211268,0.6,"[[105  35]
 [ 24  36]]",0.765,0.8571428571428571,0.5688073394495414,0.765,0.773452380952381,0.9426780508121617,0.6326530612244898,0.5166666666666667,"[[122  18]
 [ 29  31]]",0.76,0.8479591836734693,0.5862068965517241,0.76,0.7744047619047619,0.9441649312786339,0.6071428571428571,0.5666666666666667,"[[118  22]
 [ 26  34]]",0.745,0.8591836734693877,0.5565217391304348,0.745,0.7498809523809523,0.9406788837984172,0.5818181818181818,0.5333333333333333,"[[117  23]
 [ 28  32]]"
0.775,0.7971428571428572,0.5794392523364487,0.775,0.7596428571428572,0.8544460641399417,0.6595744680851063,0.5166666666666667,"[[124  16]
 [ 29  31]]",0.765,0.8255102040816327,0.5982905982905983,0.765,0.7667857142857142,0.9146397334443982,0.6140350877192983,0.5833333333333334,"[[118  22]
 [ 25  35]]",0.755,0.8571428571428571,0.5333333333333333,0.755,0.7583333333333334,0.9377467721782591,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.75,0.8540816326530613,0.5098039215686274,0.75,0.774047619047619,0.93823198667222,0.6190476190476191,0.43333333333333335,"[[124  16]
 [ 34  26]]",0.775,0.8581632653061224,0.5714285714285715,0.775,0.7788095238095238,0.9347126197417742,0.6666666666666666,0.5,"[[125  15]
 [ 30  30]]"
0.77,0.7971428571428572,0.603448275862069,0.7699999999999999,0.8278571428571428,0.857871720116618,0.625,0.5833333333333334,"[[119  21]
 [ 25  35]]",0.795,0.8387755102040816,0.6771653543307087,0.795,0.8226190476190477,0.921457725947522,0.6417910447761194,0.7166666666666667,"[[116  24]
 [ 17  43]]",0.78,0.8612244897959184,0.6071428571428571,0.78,0.8125000000000001,0.9355351936693046,0.6538461538461539,0.5666666666666667,"[[122  18]
 [ 26  34]]",0.78,0.860204081632653,0.6271186440677966,0.78,0.8203571428571429,0.9363015410245732,0.6379310344827587,0.6166666666666667,"[[119  21]
 [ 23  37]]",0.765,0.8561224489795919,0.5982905982905983,0.765,0.8117857142857143,0.9382736359850062,0.6140350877192983,0.5833333333333334,"[[118  22]
 [ 25  35]]"
0.75,0.8042857142857143,0.5454545454545454,0.75,0.7920238095238095,0.8547084548104957,0.6,0.5,"[[120  20]
 [ 30  30]]",0.715,0.823469387755102,0.5714285714285714,0.715,0.7682142857142856,0.9188546438983756,0.5205479452054794,0.6333333333333333,"[[105  35]
 [ 22  38]]",0.73,0.8530612244897959,0.5263157894736842,0.7299999999999999,0.7834523809523809,0.9355643481882548,0.5555555555555556,0.5,"[[116  24]
 [ 30  30]]",0.75,0.8561224489795919,0.5614035087719299,0.75,0.7835714285714286,0.9367742607246982,0.5925925925925926,0.5333333333333333,"[[118  22]
 [ 28  32]]",0.745,0.8530612244897959,0.5321100917431193,0.745,0.7720833333333333,0.9352644731361932,0.5918367346938775,0.48333333333333334,"[[120  20]
 [ 31  29]]"
0.755,0.8185714285714286,0.5333333333333333,0.755,0.7640476190476191,0.8605976676384839,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.77,0.8438775510204082,0.6166666666666667,0.7699999999999999,0.7688095238095237,0.9209204498125781,0.6166666666666667,0.6166666666666667,"[[117  23]
 [ 23  37]]",0.755,0.8571428571428571,0.5242718446601942,0.755,0.780952380952381,0.9383652644731362,0.627906976744186,0.45,"[[124  16]
 [ 33  27]]",0.735,0.8642857142857143,0.4952380952380952,0.735,0.7716666666666665,0.9400416493127863,0.5777777777777777,0.43333333333333335,"[[121  19]
 [ 34  26]]",0.77,0.8581632653061224,0.54,0.7699999999999999,0.7847619047619048,0.9386339025406081,0.675,0.45,"[[127  13]
 [ 33  27]]"
0.73,0.8271428571428572,0.48076923076923084,0.7299999999999999,0.7675,0.8679689018464528,0.5681818181818182,0.4166666666666667,"[[121  19]
 [ 35  25]]",0.75,0.8357142857142857,0.5833333333333334,0.75,0.743452380952381,0.9263536026655561,0.5833333333333334,0.5833333333333334,"[[115  25]
 [ 25  35]]",0.715,0.863265306122449,0.47706422018348627,0.715,0.7494047619047619,0.9411703456892963,0.5306122448979592,0.43333333333333335,"[[117  23]
 [ 34  26]]",0.74,0.8653061224489796,0.5,0.74,0.7580952380952382,0.9418533944189921,0.5909090909090909,0.43333333333333335,"[[122  18]
 [ 34  26]]",0.76,0.8673469387755102,0.5555555555555556,0.76,0.7552380952380953,0.9410308204914619,0.625,0.5,"[[122  18]
 [ 30  30]]"
0.705,0.8228571428571428,0.4158415841584158,0.705,0.7031547619047619,0.8753109815354714,0.5121951219512195,0.35,"[[120  20]
 [ 39  21]]",0.72,0.8357142857142857,0.5087719298245614,0.72,0.746547619047619,0.9242940441482714,0.5370370370370371,0.48333333333333334,"[[115  25]
 [ 31  29]]",0.705,0.8734693877551021,0.40404040404040403,0.705,0.6894642857142858,0.9424739691795085,0.5128205128205128,0.3333333333333333,"[[121  19]
 [ 40  20]]",0.725,0.8744897959183674,0.4761904761904762,0.7250000000000001,0.7079166666666666,0.9428092461474387,0.5555555555555556,0.4166666666666667,"[[120  20]
 [ 35  25]]",0.7,0.863265306122449,0.4,0.7,0.6910714285714286,0.9432736359850062,0.5,0.3333333333333333,"[[120  20]
 [ 40  20]]"
