Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.715,1.0,0.41237113402061853,0.715,0.7292857142857143,1.0,0.5405405405405406,0.3333333333333333,"[[123  17]
 [ 40  20]]",0.72,1.0,0.5087719298245614,0.72,0.737857142857143,1.0,0.5370370370370371,0.48333333333333334,"[[115  25]
 [ 31  29]]",0.7,1.0,0.423076923076923,0.7,0.7385714285714285,1.0,0.5,0.36666666666666664,"[[118  22]
 [ 38  22]]",0.7,1.0,0.43396226415094347,0.7,0.7294047619047619,1.0,0.5,0.38333333333333336,"[[117  23]
 [ 37  23]]",0.71,1.0,0.4727272727272728,0.7100000000000001,0.7463095238095239,1.0,0.52,0.43333333333333335,"[[116  24]
 [ 34  26]]"
0.735,1.0,0.4952380952380952,0.735,0.799047619047619,1.0,0.5777777777777777,0.43333333333333335,"[[121  19]
 [ 34  26]]",0.75,1.0,0.5689655172413793,0.75,0.795952380952381,1.0,0.5892857142857143,0.55,"[[117  23]
 [ 27  33]]",0.77,1.0,0.5740740740740741,0.7699999999999999,0.7998809523809524,1.0,0.6458333333333334,0.5166666666666667,"[[123  17]
 [ 29  31]]",0.745,1.0,0.5321100917431193,0.745,0.8132142857142857,1.0,0.5918367346938775,0.48333333333333334,"[[120  20]
 [ 31  29]]",0.775,1.0,0.5714285714285715,0.775,0.8226190476190476,1.0,0.6666666666666666,0.5,"[[125  15]
 [ 30  30]]"
0.765,1.0,0.5765765765765766,0.765,0.7571428571428571,1.0,0.6274509803921569,0.5333333333333333,"[[121  19]
 [ 28  32]]",0.73,1.0,0.5573770491803278,0.7299999999999999,0.7782142857142857,1.0,0.5483870967741935,0.5666666666666667,"[[112  28]
 [ 26  34]]",0.71,1.0,0.5166666666666667,0.7100000000000001,0.7461904761904762,1.0,0.5166666666666667,0.5166666666666667,"[[111  29]
 [ 29  31]]",0.72,1.0,0.49090909090909096,0.72,0.7285714285714285,1.0,0.54,0.45,"[[117  23]
 [ 33  27]]",0.735,1.0,0.5225225225225224,0.735,0.7442857142857143,1.0,0.5686274509803921,0.48333333333333334,"[[118  22]
 [ 31  29]]"
0.79,1.0,0.5961538461538463,0.79,0.8051190476190475,1.0,0.7045454545454546,0.5166666666666667,"[[127  13]
 [ 29  31]]",0.755,1.0,0.5420560747663552,0.755,0.7979761904761904,1.0,0.6170212765957447,0.48333333333333334,"[[122  18]
 [ 31  29]]",0.785,1.0,0.5825242718446603,0.785,0.8248809523809524,1.0,0.6976744186046512,0.5,"[[127  13]
 [ 30  30]]",0.78,1.0,0.5686274509803921,0.78,0.8122619047619049,1.0,0.6904761904761905,0.48333333333333334,"[[127  13]
 [ 31  29]]",0.795,1.0,0.6019417475728156,0.795,0.825595238095238,1.0,0.7209302325581395,0.5166666666666667,"[[128  12]
 [ 29  31]]"
0.775,1.0,0.5871559633027523,0.775,0.7917857142857143,1.0,0.6530612244897959,0.5333333333333333,"[[123  17]
 [ 28  32]]",0.73,1.0,0.564516129032258,0.7299999999999999,0.7607142857142857,1.0,0.546875,0.5833333333333334,"[[111  29]
 [ 25  35]]",0.73,1.0,0.5344827586206896,0.7299999999999999,0.7645238095238096,1.0,0.5535714285714286,0.5166666666666667,"[[115  25]
 [ 29  31]]",0.72,1.0,0.5087719298245614,0.72,0.7498809523809524,1.0,0.5370370370370371,0.48333333333333334,"[[115  25]
 [ 31  29]]",0.75,1.0,0.5689655172413793,0.75,0.8005952380952381,1.0,0.5892857142857143,0.55,"[[117  23]
 [ 27  33]]"
0.725,1.0,0.4444444444444444,0.7250000000000001,0.7060714285714286,1.0,0.5641025641025641,0.36666666666666664,"[[123  17]
 [ 38  22]]",0.73,1.0,0.49056603773584906,0.7299999999999999,0.7597619047619047,1.0,0.5652173913043478,0.43333333333333335,"[[120  20]
 [ 34  26]]",0.74,1.0,0.48,0.74,0.7485714285714286,1.0,0.6,0.4,"[[124  16]
 [ 36  24]]",0.72,1.0,0.4814814814814815,0.72,0.7222619047619048,1.0,0.5416666666666666,0.43333333333333335,"[[118  22]
 [ 34  26]]",0.72,1.0,0.4716981132075472,0.72,0.7486904761904762,1.0,0.5434782608695652,0.4166666666666667,"[[119  21]
 [ 35  25]]"
0.785,1.0,0.5656565656565657,0.785,0.7754761904761904,1.0,0.717948717948718,0.4666666666666667,"[[129  11]
 [ 32  28]]",0.755,1.0,0.5882352941176471,0.755,0.8023809523809524,1.0,0.5932203389830508,0.5833333333333334,"[[116  24]
 [ 25  35]]",0.73,1.0,0.5,0.7299999999999999,0.7739285714285714,1.0,0.5625,0.45,"[[119  21]
 [ 33  27]]",0.73,1.0,0.5178571428571428,0.7299999999999999,0.7773809523809523,1.0,0.5576923076923077,0.48333333333333334,"[[117  23]
 [ 31  29]]",0.76,1.0,0.5789473684210527,0.76,0.7860714285714285,1.0,0.6111111111111112,0.55,"[[119  21]
 [ 27  33]]"
0.755,1.0,0.5050505050505051,0.755,0.7832142857142856,1.0,0.6410256410256411,0.4166666666666667,"[[126  14]
 [ 35  25]]",0.71,1.0,0.4528301886792453,0.7100000000000001,0.7492857142857142,1.0,0.5217391304347826,0.4,"[[118  22]
 [ 36  24]]",0.74,1.0,0.5357142857142857,0.74,0.7703571428571429,1.0,0.5769230769230769,0.5,"[[118  22]
 [ 30  30]]",0.76,1.0,0.5471698113207547,0.76,0.7865476190476189,1.0,0.6304347826086957,0.48333333333333334,"[[123  17]
 [ 31  29]]",0.76,1.0,0.5636363636363637,0.76,0.7789285714285713,1.0,0.62,0.5166666666666667,"[[121  19]
 [ 29  31]]"
0.745,1.0,0.5048543689320388,0.745,0.7497619047619047,1.0,0.6046511627906976,0.43333333333333335,"[[123  17]
 [ 34  26]]",0.755,1.0,0.5585585585585585,0.755,0.7990476190476191,1.0,0.6078431372549019,0.5166666666666667,"[[120  20]
 [ 29  31]]",0.745,1.0,0.5048543689320388,0.745,0.7720238095238097,1.0,0.6046511627906976,0.43333333333333335,"[[123  17]
 [ 34  26]]",0.725,1.0,0.48598130841121495,0.7250000000000001,0.7878571428571429,1.0,0.5531914893617021,0.43333333333333335,"[[119  21]
 [ 34  26]]",0.745,1.0,0.5233644859813084,0.745,0.7998809523809524,1.0,0.5957446808510638,0.4666666666666667,"[[121  19]
 [ 32  28]]"
0.74,1.0,0.5357142857142857,0.74,0.7652380952380953,1.0,0.5769230769230769,0.5,"[[118  22]
 [ 30  30]]",0.745,1.0,0.5565217391304348,0.745,0.7620238095238094,1.0,0.5818181818181818,0.5333333333333333,"[[117  23]
 [ 28  32]]",0.755,1.0,0.5663716814159292,0.755,0.7896428571428571,1.0,0.6037735849056604,0.5333333333333333,"[[119  21]
 [ 28  32]]",0.745,1.0,0.5048543689320388,0.745,0.7653571428571428,1.0,0.6046511627906976,0.43333333333333335,"[[123  17]
 [ 34  26]]",0.73,1.0,0.5178571428571428,0.7299999999999999,0.7916666666666666,1.0,0.5576923076923077,0.48333333333333334,"[[117  23]
 [ 31  29]]"
