Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9730639730639731,0.9942196531791907,0.4285714285714285,0.9730639730639731,0.932404181184669,0.9990574406742071,0.75,0.3,"[[286   1]
 [  7   3]]",0.9528619528619529,0.9930139720558883,0.5,0.9528619528619529,0.9466898954703833,0.9998735064800538,0.3888888888888889,0.7,"[[276  11]
 [  3   7]]",0.9764309764309764,0.9955089820359282,0.588235294117647,0.9764309764309764,0.970383275261324,0.9998396420731391,0.7142857142857143,0.5,"[[285   2]
 [  5   5]]",0.9696969696969697,0.9955089820359282,0.4,0.9696969696969697,0.9543554006968642,0.999937251246011,0.6,0.3,"[[285   2]
 [  7   3]]",0.9797979797979798,0.9940119760479041,0.625,0.9797979797979798,0.9578397212543555,0.9996842642061188,0.8333333333333334,0.5,"[[286   1]
 [  5   5]]"
0.9730639730639731,0.9913294797687862,0.4285714285714285,0.9730639730639731,0.964808362369338,0.9998059436682192,0.75,0.3,"[[286   1]
 [  7   3]]",0.9764309764309764,0.9960079840319361,0.6666666666666666,0.9764309764309764,0.9606271777003483,0.9999641435691492,0.6363636363636364,0.7,"[[283   4]
 [  3   7]]",0.9629629629629629,0.9950099800399201,0.26666666666666666,0.9629629629629629,0.9529616724738676,0.9999780877367024,0.4,0.2,"[[284   3]
 [  8   2]]",0.9764309764309764,0.9945109780439122,0.5333333333333333,0.9764309764309764,0.9655052264808364,0.9999472113656918,0.8,0.4,"[[286   1]
 [  6   4]]",0.9696969696969697,0.9955089820359282,0.4,0.9696969696969697,0.9529616724738676,0.999975099700798,0.6,0.3,"[[285   2]
 [  7   3]]"
0.9595959595959596,0.9922928709055877,0.14285714285714288,0.9595959595959596,0.9184668989547038,0.9996673320026612,0.25,0.1,"[[284   3]
 [  9   1]]",0.936026936026936,0.9970059880239521,0.3448275862068966,0.936026936026936,0.9404181184668988,0.9995896430691512,0.2631578947368421,0.5,"[[273  14]
 [  5   5]]",0.9595959595959596,0.9950099800399201,0.25,0.9595959595959596,0.926829268292683,0.999950199401596,0.3333333333333333,0.2,"[[283   4]
 [  8   2]]",0.9663299663299664,0.9960079840319361,0.37499999999999994,0.9663299663299664,0.9418118466898955,0.9999203190425537,0.5,0.3,"[[284   3]
 [  7   3]]",0.9595959595959596,0.9940119760479041,0.25,0.9595959595959596,0.937979094076655,0.9998466141569157,0.3333333333333333,0.2,"[[283   4]
 [  8   2]]"
0.9663299663299664,0.9942196531791907,0.4444444444444445,0.9663299663299664,0.932752613240418,0.9982812153470837,0.5,0.4,"[[283   4]
 [  6   4]]",0.9393939393939394,0.9940119760479041,0.4375,0.9393939393939394,0.9484320557491289,0.9997848614148948,0.3181818181818182,0.7,"[[272  15]
 [  3   7]]",0.9629629629629629,0.9950099800399201,0.3529411764705882,0.9629629629629629,0.9097560975609756,0.9999063748750004,0.42857142857142855,0.3,"[[283   4]
 [  7   3]]",0.9730639730639731,0.9975049900199601,0.5555555555555556,0.9730639730639731,0.9324041811846691,0.9999073708869685,0.625,0.5,"[[284   3]
 [  5   5]]",0.9595959595959596,0.9955089820359282,0.33333333333333326,0.9595959595959596,0.9212543554006969,0.9998964147553198,0.375,0.3,"[[282   5]
 [  7   3]]"
0.9797979797979798,0.9922928709055877,0.5714285714285715,0.9797979797979798,0.9567944250871081,0.999695054335773,1.0,0.4,"[[287   0]
 [  6   4]]",0.9629629629629629,0.9930139720558883,0.5925925925925927,0.9629629629629629,0.9505226480836239,0.9997480089720756,0.47058823529411764,0.8,"[[278   9]
 [  2   8]]",0.9831649831649831,0.9945109780439122,0.7058823529411764,0.9831649831649831,0.9529616724738675,0.9999442233297876,0.8571428571428571,0.6,"[[286   1]
 [  4   6]]",0.9730639730639731,0.9960079840319361,0.5555555555555556,0.9730639730639731,0.945993031358885,0.999975099700798,0.625,0.5,"[[284   3]
 [  5   5]]",0.9831649831649831,0.9945109780439122,0.6666666666666666,0.9831649831649831,0.9522648083623694,0.9999511954135641,1.0,0.5,"[[287   0]
 [  5   5]]"
0.9663299663299664,0.9913294797687862,0.28571428571428575,0.9663299663299664,0.9501742160278747,0.9996950543357729,0.5,0.2,"[[285   2]
 [  8   2]]",0.9292929292929293,0.9935129740518962,0.22222222222222224,0.9292929292929293,0.9278745644599303,0.9997161365890973,0.17647058823529413,0.3,"[[273  14]
 [  7   3]]",0.9663299663299664,0.9945109780439122,0.28571428571428575,0.9663299663299664,0.924390243902439,0.9999472113656918,0.5,0.2,"[[285   2]
 [  8   2]]",0.9663299663299664,0.9945109780439122,0.28571428571428575,0.9663299663299664,0.9411149825783972,0.9999432273178194,0.5,0.2,"[[285   2]
 [  8   2]]",0.9663299663299664,0.9930139720558883,0.28571428571428575,0.9663299663299664,0.9477351916376306,0.9998924307074473,0.5,0.2,"[[285   2]
 [  8   2]]"
0.9629629629629629,0.9913294797687862,0.3529411764705882,0.9629629629629629,0.9442508710801394,0.9990019960079839,0.42857142857142855,0.3,"[[283   4]
 [  7   3]]",0.9427609427609428,0.9955089820359282,0.41379310344827586,0.9427609427609428,0.9466898954703833,0.9995547826502683,0.3157894736842105,0.6,"[[274  13]
 [  4   6]]",0.9663299663299664,0.9960079840319361,0.37499999999999994,0.9663299663299664,0.9386759581881533,0.9998745024920219,0.5,0.3,"[[284   3]
 [  7   3]]",0.9629629629629629,0.9960079840319361,0.3529411764705882,0.9629629629629629,0.9334494773519164,0.99992729112633,0.42857142857142855,0.3,"[[283   4]
 [  7   3]]",0.9696969696969697,0.9940119760479041,0.4,0.9696969696969697,0.9390243902439025,0.9997709172473416,0.6,0.3,"[[285   2]
 [  7   3]]"
0.9797979797979798,0.9942196531791907,0.5714285714285715,0.9797979797979798,0.9369337979094077,0.9982534930139721,1.0,0.4,"[[287   0]
 [  6   4]]",0.9629629629629629,0.9950099800399201,0.6206896551724138,0.9629629629629629,0.954006968641115,0.9998585663005327,0.47368421052631576,0.9,"[[277  10]
 [  1   9]]",0.9831649831649831,0.9945109780439122,0.6666666666666666,0.9831649831649831,0.92404181184669,0.9998725104680859,1.0,0.5,"[[287   0]
 [  5   5]]",0.9797979797979798,0.9945109780439122,0.5714285714285715,0.9797979797979798,0.932404181184669,0.9998256979055861,1.0,0.4,"[[287   0]
 [  6   4]]",0.9797979797979798,0.9945109780439122,0.625,0.9797979797979798,0.9278745644599303,0.9998167337978733,0.8333333333333334,0.5,"[[286   1]
 [  5   5]]"
0.9696969696969697,0.9922928709055877,0.4,0.9696969696969697,0.9282229965156794,0.9996396096695498,0.6,0.3,"[[285   2]
 [  7   3]]",0.9562289562289562,0.9965069860279441,0.4347826086956522,0.9562289562289562,0.9547038327526132,0.9999711156529256,0.38461538461538464,0.5,"[[279   8]
 [  5   5]]",0.9663299663299664,0.9940119760479041,0.16666666666666669,0.9663299663299664,0.9191637630662021,0.9999701196409576,0.5,0.1,"[[286   1]
 [  9   1]]",0.9629629629629629,0.9955089820359282,0.26666666666666666,0.9629629629629629,0.9038327526132405,0.9999322711861706,0.4,0.2,"[[284   3]
 [  8   2]]",0.9629629629629629,0.9940119760479041,0.15384615384615383,0.9629629629629629,0.9372822299651568,0.9998974107672878,0.3333333333333333,0.1,"[[285   2]
 [  9   1]]"
0.9696969696969697,0.9942196531791907,0.4,0.9696969696969697,0.9383275261324042,0.9982812153470836,0.6,0.3,"[[285   2]
 [  7   3]]",0.9461279461279462,0.9945109780439122,0.38461538461538464,0.9461279461279462,0.9386759581881533,0.9998675304082454,0.3125,0.5,"[[276  11]
 [  5   5]]",0.9696969696969697,0.9960079840319361,0.4,0.9696969696969697,0.9358885017421603,0.9998187258218095,0.6,0.3,"[[285   2]
 [  7   3]]",0.9663299663299664,0.9975049900199601,0.37499999999999994,0.9663299663299664,0.9275261324041812,0.9998685264202135,0.5,0.3,"[[284   3]
 [  7   3]]",0.9764309764309764,0.9955089820359282,0.5333333333333333,0.9764309764309764,0.9477351916376306,0.9998227098696818,0.8,0.4,"[[286   1]
 [  6   4]]"
