Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.8233333333333334,0.8346190476190476,0.49282296650717694,0.8233333333333334,0.784055689734886,0.8565167556887533,0.6749672346002621,0.38809344385832706,"[[4425  248]
 [ 812  515]]",0.8055,0.8650871293182513,0.5086315789473684,0.8054999999999999,0.7703251583476468,0.9410716858946183,0.5763358778625954,0.45516201959306707,"[[4229  444]
 [ 723  604]]",0.8205,0.8921430755120758,0.4839482510781025,0.8204999999999999,0.7811841696377932,0.9579139153157628,0.6644736842105263,0.38055764883195176,"[[4418  255]
 [ 822  505]]",0.8213333333333334,0.8923265056557628,0.4885496183206107,0.8213333333333332,0.7851445339039015,0.9580984427130352,0.6657997399219766,0.3858327053504145,"[[4416  257]
 [ 815  512]]",0.8211666666666667,0.8935799449709569,0.4907451352634076,0.8211666666666667,0.7833147693358132,0.9593234244667549,0.6628205128205128,0.3896006028636021,"[[4410  263]
 [ 810  517]]"
0.8186666666666667,0.8334761904761905,0.4576271186440678,0.8186666666666667,0.7856105017988022,0.8456016354044529,0.6759941089837997,0.3458929917106255,"[[4453  220]
 [ 868  459]]",0.8061666666666667,0.869428309385509,0.49456757931334205,0.8061666666666668,0.7677984174024133,0.9422252695257631,0.5841889117043121,0.4287867370007536,"[[4268  405]
 [ 758  569]]",0.8186666666666667,0.8929379394680526,0.4532663316582915,0.8186666666666667,0.7864227002077544,0.9575032265704349,0.6802413273001509,0.3398643556895252,"[[4461  212]
 [ 876  451]]",0.8175,0.8943748089269337,0.4538653366583541,0.8175,0.7855747015313967,0.9568583461509811,0.6710914454277286,0.34287867370007535,"[[4450  223]
 [ 872  455]]",0.8185,0.891531641699786,0.45955334987593044,0.8184999999999999,0.7854662525231528,0.9548376947917186,0.6729651162790697,0.34890730972117556,"[[4448  225]
 [ 864  463]]"
0.8256666666666667,0.8294761904761905,0.4877571008814887,0.8256666666666665,0.7837691263331771,0.8333836214059753,0.6965034965034965,0.3752825923134891,"[[4456  217]
 [ 829  498]]",0.8126666666666666,0.871048608988077,0.5184233076263924,0.8126666666666666,0.7743121309206104,0.943633920688006,0.6007944389275075,0.4559155990957046,"[[4271  402]
 [ 722  605]]",0.8226666666666667,0.8929073677774381,0.4923664122137405,0.8226666666666667,0.7839922329545976,0.9565694749847211,0.6710013003901171,0.3888470233609646,"[[4420  253]
 [ 811  516]]",0.8256666666666667,0.8929990828492815,0.48925781250000006,0.8256666666666665,0.7850735784189538,0.9585742900026272,0.694868238557559,0.3775433308214017,"[[4453  220]
 [ 826  501]]",0.8245,0.8923876490369917,0.48709206039941544,0.8245,0.7834397477468006,0.9580822942058375,0.6887052341597796,0.37678975131876413,"[[4447  226]
 [ 827  500]]"
0.821,0.8325714285714285,0.4704142011834319,0.821,0.7721725005245063,0.8455363653386134,0.6804564907275321,0.359457422758101,"[[4449  224]
 [ 850  477]]",0.8081666666666667,0.8665239987771324,0.4967205946655006,0.8081666666666667,0.7625667404872482,0.9413018194128085,0.5916666666666667,0.42803315749811605,"[[4281  392]
 [ 759  568]]",0.821,0.8919902170590034,0.4714566929133858,0.821,0.7738884944229796,0.9550286000922852,0.6794326241134752,0.36096458176337604,"[[4447  226]
 [ 848  479]]",0.8211666666666667,0.8933047997554264,0.4701234567901234,0.8211666666666667,0.7738635793720149,0.9560288523484545,0.6819484240687679,0.35870384325546345,"[[4451  222]
 [ 851  476]]",0.818,0.8942830938550902,0.4583333333333333,0.818,0.7746758584122001,0.9583332437647911,0.6705370101596516,0.34815373021853807,"[[4446  227]
 [ 865  462]]"
0.8268333333333333,0.8262380952380952,0.48640632723677707,0.8268333333333333,0.7942558632210468,0.8290708081818926,0.7068965517241379,0.3707611152976639,"[[4469  204]
 [ 835  492]]",0.814,0.864567410577805,0.5230769230769231,0.8140000000000001,0.7759316898645412,0.9395559637181045,0.6041461006910168,0.4611906556141673,"[[4272  401]
 [ 715  612]]",0.826,0.8949862427392234,0.4907317073170732,0.826,0.791630913434147,0.9585191562811554,0.6957123098201936,0.3790504898266767,"[[4453  220]
 [ 824  503]]",0.8283333333333334,0.893151941302354,0.49608610567514677,0.8283333333333334,0.7863835134285674,0.9582576697231192,0.7071129707112971,0.38206480783722685,"[[4463  210]
 [ 820  507]]",0.8296666666666667,0.8942830938550902,0.4985279685966634,0.8296666666666667,0.7921465501685112,0.958405937282144,0.7144866385372715,0.38281838733986434,"[[4470  203]
 [ 819  508]]"
0.8203333333333334,0.8371428571428572,0.4626121635094716,0.8203333333333334,0.7704261086512314,0.8651555519868472,0.6833578792341679,0.3496608892238131,"[[4458  215]
 [ 863  464]]",0.8068333333333333,0.8659431366554571,0.5095217943292425,0.8068333333333333,0.7635413301992511,0.9415667883957676,0.581081081081081,0.45365486058779203,"[[4239  434]
 [ 725  602]]",0.8223333333333334,0.8940690920207888,0.4738400789733465,0.8223333333333334,0.7727519971953232,0.9601217446780631,0.6866952789699571,0.3617181612660136,"[[4454  219]
 [ 847  480]]",0.8218333333333333,0.8920513604402324,0.4762371386575209,0.8218333333333333,0.7734683250683633,0.9578689821271971,0.680672268907563,0.36623963828183875,"[[4445  228]
 [ 841  486]]",0.8215,0.8951391011922959,0.47267355982274745,0.8215,0.7715309178043599,0.9604277531882275,0.6818181818181818,0.3617181612660136,"[[4449  224]
 [ 847  480]]"
0.8183333333333334,0.8368095238095238,0.465161923454367,0.8183333333333332,0.7724797861530693,0.8648809859551219,0.6666666666666666,0.3571966842501884,"[[4436  237]
 [ 853  474]]",0.8055,0.8692754509324365,0.5044585987261146,0.8054999999999999,0.7586202447931978,0.9431659915690923,0.5778210116731517,0.44762622456669177,"[[4239  434]
 [ 733  594]]",0.8188333333333333,0.8936105166615714,0.47309743092583617,0.8188333333333333,0.770931424587785,0.9567482319870729,0.6630434782608695,0.3677467972871138,"[[4425  248]
 [ 839  488]]",0.8188333333333333,0.893518801589728,0.4741170778906628,0.8188333333333333,0.7684046030113185,0.9596452730567886,0.6621621621621622,0.36925395629238883,"[[4423  250]
 [ 837  490]]",0.8196666666666667,0.893090797921125,0.4742468415937803,0.8196666666666667,0.7704921456309725,0.9580357310255742,0.667578659370725,0.3677467972871138,"[[4430  243]
 [ 839  488]]"
0.82,0.8313809523809523,0.46268656716417916,0.82,0.7749812895224066,0.8371422412899476,0.6808199121522694,0.35041446872645066,"[[4455  218]
 [ 862  465]]",0.8081666666666667,0.8665851421583614,0.4975993016150153,0.8081666666666667,0.7572216960586324,0.9417936170684058,0.5912863070539419,0.4295403165033911,"[[4279  394]
 [ 757  570]]",0.8163333333333334,0.8967288291042494,0.4571428571428572,0.8163333333333335,0.7790197048219574,0.9617990266968153,0.6600284495021337,0.3496608892238131,"[[4434  239]
 [ 863  464]]",0.8178333333333333,0.8942525221644757,0.4607794770596941,0.8178333333333333,0.7748768720758075,0.9592718385941845,0.6671428571428571,0.3519216277317257,"[[4440  233]
 [ 860  467]]",0.8173333333333334,0.898196270253745,0.46274509803921565,0.8173333333333334,0.7755231314074618,0.9632904877927735,0.6619915848527349,0.3556895252449133,"[[4432  241]
 [ 855  472]]"
0.8248333333333333,0.8329047619047619,0.48149975333004436,0.8248333333333333,0.7694570824942981,0.845825042393951,0.6971428571428572,0.3677467972871138,"[[4461  212]
 [ 839  488]]",0.8035,0.867991439926628,0.5019011406844106,0.8035,0.7501512238772947,0.9416765212313428,0.5711538461538461,0.44762622456669177,"[[4227  446]
 [ 733  594]]",0.8195,0.8977376948945277,0.4750363548230732,0.8195,0.7657942474775729,0.9616717396731287,0.6657608695652174,0.36925395629238883,"[[4427  246]
 [ 837  490]]",0.8221666666666667,0.8941302354020177,0.48379293662312534,0.8221666666666666,0.7699734449097584,0.9561142269021344,0.6756756756756757,0.37678975131876413,"[[4433  240]
 [ 827  500]]",0.8253333333333334,0.894772240904922,0.48977604673807207,0.8253333333333334,0.7710846239302855,0.959184432158652,0.6918844566712518,0.3790504898266767,"[[4449  224]
 [ 824  503]]"
0.8261666666666667,0.827047619047619,0.4889759921607056,0.8261666666666666,0.7907579997068247,0.8333421834373835,0.6988795518207283,0.3760361718161266,"[[4458  215]
 [ 828  499]]",0.807,0.8663711403240599,0.5150753768844221,0.807,0.7704926294183698,0.9419041424687514,0.5796418473138548,0.46345139412207986,"[[4227  446]
 [ 712  615]]",0.823,0.8944665239987771,0.48195121951219516,0.823,0.7873357682890585,0.9590820324164598,0.6832641770401107,0.37226827430293896,"[[4444  229]
 [ 833  494]]",0.8241666666666667,0.8966065423417915,0.4836025452765541,0.8241666666666667,0.7906276190032333,0.9622506633757781,0.6899441340782123,0.37226827430293896,"[[4451  222]
 [ 833  494]]",0.8251666666666667,0.8926322225619077,0.49591542527630944,0.8251666666666666,0.792198234788797,0.9564982955651609,0.6843501326259946,0.3888470233609646,"[[4435  238]
 [ 811  516]]"
