Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.7959183673469388,1.0,0.25925925925925924,0.7959183673469388,0.6272485009993338,1.0,0.4375,0.18421052631578946,"[[149   9]
 [ 31   7]]",0.75,1.0,0.3287671232876712,0.75,0.6052631578947367,1.0,0.34285714285714286,0.3157894736842105,"[[135  23]
 [ 26  12]]",0.7755102040816326,1.0,0.26666666666666666,0.7755102040816326,0.5897734843437707,1.0,0.36363636363636365,0.21052631578947367,"[[144  14]
 [ 30   8]]",0.7857142857142857,1.0,0.25,0.7857142857142857,0.592771485676216,1.0,0.3888888888888889,0.18421052631578946,"[[147  11]
 [ 31   7]]",0.7959183673469388,1.0,0.25925925925925924,0.7959183673469388,0.6099267155229846,1.0,0.4375,0.18421052631578946,"[[149   9]
 [ 31   7]]"
0.8112244897959183,1.0,0.35087719298245607,0.8112244897959183,0.5856095936042638,1.0,0.5263157894736842,0.2631578947368421,"[[149   9]
 [ 28  10]]",0.7448979591836735,1.0,0.24242424242424243,0.7448979591836735,0.5784477015323117,1.0,0.2857142857142857,0.21052631578947367,"[[138  20]
 [ 30   8]]",0.7908163265306123,1.0,0.196078431372549,0.7908163265306124,0.5544636908727515,1.0,0.38461538461538464,0.13157894736842105,"[[150   8]
 [ 33   5]]",0.7857142857142857,1.0,0.25,0.7857142857142857,0.5751165889407063,1.0,0.3888888888888889,0.18421052631578946,"[[147  11]
 [ 31   7]]",0.7959183673469388,1.0,0.2857142857142857,0.7959183673469388,0.5556295802798135,1.0,0.4444444444444444,0.21052631578947367,"[[148  10]
 [ 30   8]]"
0.7908163265306123,1.0,0.16326530612244897,0.7908163265306124,0.5694536975349768,1.0,0.36363636363636365,0.10526315789473684,"[[151   7]
 [ 34   4]]",0.7244897959183674,1.0,0.22857142857142856,0.7244897959183674,0.5399733510992673,1.0,0.25,0.21052631578947367,"[[134  24]
 [ 30   8]]",0.7704081632653061,1.0,0.1818181818181818,0.7704081632653061,0.5526315789473684,1.0,0.29411764705882354,0.13157894736842105,"[[146  12]
 [ 33   5]]",0.7806122448979592,1.0,0.24561403508771928,0.7806122448979592,0.5669553630912725,1.0,0.3684210526315789,0.18421052631578946,"[[146  12]
 [ 31   7]]",0.7755102040816326,1.0,0.15384615384615385,0.7755102040816326,0.5586275816122586,1.0,0.2857142857142857,0.10526315789473684,"[[148  10]
 [ 34   4]]"
0.7908163265306123,0.998533724340176,0.196078431372549,0.7908163265306124,0.5634576948700866,1.0,0.38461538461538464,0.13157894736842105,"[[150   8]
 [ 33   5]]",0.7551020408163265,1.0,0.25,0.7551020408163265,0.5507994670219853,1.0,0.3076923076923077,0.21052631578947367,"[[140  18]
 [ 30   8]]",0.7704081632653061,1.0,0.08163265306122448,0.7704081632653061,0.5364756828780812,1.0,0.18181818181818182,0.05263157894736842,"[[149   9]
 [ 36   2]]",0.7959183673469388,1.0,0.19999999999999998,0.7959183673469388,0.5419720186542305,1.0,0.4166666666666667,0.13157894736842105,"[[151   7]
 [ 33   5]]",0.75,1.0,0.07547169811320754,0.75,0.5443037974683544,1.0,0.13333333333333333,0.05263157894736842,"[[145  13]
 [ 36   2]]"
0.7653061224489796,1.0,0.08,0.7653061224489794,0.524983344437042,1.0,0.16666666666666666,0.05263157894736842,"[[148  10]
 [ 36   2]]",0.7295918367346939,1.0,0.18461538461538463,0.7295918367346939,0.5536309127248501,1.0,0.2222222222222222,0.15789473684210525,"[[137  21]
 [ 32   6]]",0.7602040816326531,1.0,0.17543859649122803,0.760204081632653,0.5679546968687542,1.0,0.2631578947368421,0.13157894736842105,"[[144  14]
 [ 33   5]]",0.75,1.0,0.14035087719298245,0.75,0.5602931379080613,1.0,0.21052631578947367,0.10526315789473684,"[[143  15]
 [ 34   4]]",0.7602040816326531,1.0,0.0784313725490196,0.760204081632653,0.5314790139906729,1.0,0.15384615384615385,0.05263157894736842,"[[147  11]
 [ 36   2]]"
0.7806122448979592,1.0,0.18867924528301885,0.7806122448979592,0.6215856095936043,1.0,0.3333333333333333,0.13157894736842105,"[[148  10]
 [ 33   5]]",0.75,1.0,0.19672131147540983,0.75,0.6305796135909393,1.0,0.2608695652173913,0.15789473684210525,"[[141  17]
 [ 32   6]]",0.7908163265306123,1.0,0.16326530612244897,0.7908163265306124,0.6264157228514323,1.0,0.36363636363636365,0.10526315789473684,"[[151   7]
 [ 34   4]]",0.7806122448979592,1.0,0.1568627450980392,0.7806122448979592,0.6147568287808128,1.0,0.3076923076923077,0.10526315789473684,"[[149   9]
 [ 34   4]]",0.7857142857142857,1.0,0.16,0.7857142857142857,0.6130912724850099,1.0,0.3333333333333333,0.10526315789473684,"[[150   8]
 [ 34   4]]"
0.7448979591836735,1.0,0.13793103448275862,0.7448979591836735,0.4467021985343104,1.0,0.2,0.10526315789473684,"[[142  16]
 [ 34   4]]",0.6836734693877551,1.0,0.24390243902439024,0.6836734693877551,0.4936708860759494,1.0,0.22727272727272727,0.2631578947368421,"[[124  34]
 [ 28  10]]",0.75,1.0,0.19672131147540983,0.75,0.4585276482345103,1.0,0.2608695652173913,0.15789473684210525,"[[141  17]
 [ 32   6]]",0.7602040816326531,1.0,0.17543859649122803,0.760204081632653,0.4110592938041306,1.0,0.2631578947368421,0.13157894736842105,"[[144  14]
 [ 33   5]]",0.75,1.0,0.1694915254237288,0.75,0.4670219853431046,1.0,0.23809523809523808,0.13157894736842105,"[[142  16]
 [ 33   5]]"
0.75,1.0,0.07547169811320754,0.75,0.5229846768820786,1.0,0.13333333333333333,0.05263157894736842,"[[145  13]
 [ 36   2]]",0.7295918367346939,1.0,0.208955223880597,0.7295918367346939,0.4850099933377748,1.0,0.2413793103448276,0.18421052631578946,"[[136  22]
 [ 31   7]]",0.7653061224489796,1.0,0.17857142857142858,0.7653061224489794,0.475016655562958,1.0,0.2777777777777778,0.13157894736842105,"[[145  13]
 [ 33   5]]",0.7602040816326531,1.0,0.17543859649122803,0.760204081632653,0.5184876748834112,1.0,0.2631578947368421,0.13157894736842105,"[[144  14]
 [ 33   5]]",0.75,1.0,0.14035087719298245,0.75,0.48467688207861426,1.0,0.21052631578947367,0.10526315789473684,"[[143  15]
 [ 34   4]]"
0.8010204081632653,1.0,0.26415094339622636,0.8010204081632653,0.6142571618920719,1.0,0.4666666666666667,0.18421052631578946,"[[150   8]
 [ 31   7]]",0.7653061224489796,1.0,0.32352941176470584,0.7653061224489794,0.6152564956695535,1.0,0.36666666666666664,0.2894736842105263,"[[139  19]
 [ 27  11]]",0.7602040816326531,1.0,0.22950819672131145,0.760204081632653,0.5726182544970019,1.0,0.30434782608695654,0.18421052631578946,"[[142  16]
 [ 31   7]]",0.7704081632653061,1.0,0.23728813559322035,0.7704081632653061,0.599433710859427,1.0,0.3333333333333333,0.18421052631578946,"[[144  14]
 [ 31   7]]",0.8010204081632653,1.0,0.26415094339622636,0.8010204081632653,0.6147568287808128,1.0,0.4666666666666667,0.18421052631578946,"[[150   8]
 [ 31   7]]"
0.7806122448979592,1.0,0.24561403508771928,0.7806122448979592,0.5899400399733512,1.0,0.3684210526315789,0.18421052631578946,"[[146  12]
 [ 31   7]]",0.7653061224489796,1.0,0.32352941176470584,0.7653061224489794,0.6120919387075283,1.0,0.36666666666666664,0.2894736842105263,"[[139  19]
 [ 27  11]]",0.7959183673469388,1.0,0.2857142857142857,0.7959183673469388,0.5816122584943371,1.0,0.4444444444444444,0.21052631578947367,"[[148  10]
 [ 30   8]]",0.8163265306122449,1.0,0.3076923076923077,0.8163265306122449,0.5761159227181879,1.0,0.5714285714285714,0.21052631578947367,"[[152   6]
 [ 30   8]]",0.7959183673469388,1.0,0.2857142857142857,0.7959183673469388,0.5789473684210525,1.0,0.4444444444444444,0.21052631578947367,"[[148  10]
 [ 30   8]]"
