Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.735,0.8257142857142857,0.5046728971962617,0.735,0.7323809523809524,0.886734693877551,0.574468085106383,0.45,"[[120  20]
 [ 33  27]]",0.665,0.8591836734693877,0.567741935483871,0.665,0.7241071428571428,0.9603581840899625,0.4631578947368421,0.7333333333333333,"[[89 51]
 [16 44]]",0.73,0.8724489795918368,0.5344827586206896,0.7299999999999999,0.7286904761904762,0.9496230737192836,0.5535714285714286,0.5166666666666667,"[[115  25]
 [ 29  31]]",0.715,0.8693877551020408,0.5128205128205129,0.715,0.7447619047619047,0.9469970845481049,0.5263157894736842,0.5,"[[113  27]
 [ 30  30]]",0.71,0.810204081632653,0.5396825396825397,0.7100000000000001,0.7161309523809524,0.8993919200333195,0.5151515151515151,0.5666666666666667,"[[108  32]
 [ 26  34]]"
0.74,0.8171428571428572,0.4693877551020408,0.74,0.7494047619047619,0.8743537414965986,0.6052631578947368,0.38333333333333336,"[[125  15]
 [ 37  23]]",0.705,0.8448979591836735,0.5815602836879433,0.705,0.7485714285714287,0.9487796751353602,0.5061728395061729,0.6833333333333333,"[[100  40]
 [ 19  41]]",0.725,0.863265306122449,0.48598130841121495,0.7250000000000001,0.7422619047619048,0.9416743023740108,0.5531914893617021,0.43333333333333335,"[[119  21]
 [ 34  26]]",0.75,0.8673469387755102,0.5283018867924527,0.75,0.7897619047619048,0.9449562682215744,0.6086956521739131,0.4666666666666667,"[[122  18]
 [ 32  28]]",0.715,0.7785714285714286,0.5289256198347108,0.715,0.7282142857142857,0.868219491878384,0.5245901639344263,0.5333333333333333,"[[111  29]
 [ 28  32]]"
0.72,0.8271428571428572,0.3777777777777777,0.72,0.6797619047619048,0.8796064139941691,0.5666666666666667,0.2833333333333333,"[[127  13]
 [ 43  17]]",0.595,0.8581632653061224,0.4635761589403974,0.595,0.6683928571428571,0.9530737192836318,0.38461538461538464,0.5833333333333334,"[[84 56]
 [25 35]]",0.71,0.8755102040816326,0.4081632653061224,0.7100000000000001,0.68125,0.9468429820907955,0.5263157894736842,0.3333333333333333,"[[122  18]
 [ 40  20]]",0.715,0.8704081632653061,0.4466019417475728,0.715,0.685297619047619,0.9435797584339858,0.5348837209302325,0.38333333333333336,"[[120  20]
 [ 37  23]]",0.695,0.8224489795918367,0.5040650406504066,0.695,0.6868452380952381,0.9028842149104539,0.49206349206349204,0.5166666666666667,"[[108  32]
 [ 29  31]]"
0.71,0.8342857142857143,0.42,0.7100000000000001,0.6943452380952382,0.886550048590865,0.525,0.35,"[[121  19]
 [ 39  21]]",0.695,0.8377551020408164,0.5850340136054422,0.695,0.7069047619047619,0.951451478550604,0.4942528735632184,0.7166666666666667,"[[96 44]
 [17 43]]",0.7,0.8744897959183674,0.4444444444444445,0.7,0.6866071428571427,0.9498229904206581,0.5,0.4,"[[116  24]
 [ 36  24]]",0.72,0.8765306122448979,0.4814814814814815,0.72,0.70625,0.9493315285297792,0.5416666666666666,0.43333333333333335,"[[118  22]
 [ 34  26]]",0.695,0.8224489795918367,0.49586776859504134,0.695,0.6711309523809523,0.9020574760516452,0.4918032786885246,0.5,"[[109  31]
 [ 30  30]]"
0.785,0.8042857142857143,0.5656565656565657,0.785,0.7922619047619048,0.865242954324587,0.717948717948718,0.4666666666666667,"[[129  11]
 [ 32  28]]",0.645,0.8397959183673469,0.5534591194968553,0.645,0.7639285714285714,0.9477197001249479,0.4444444444444444,0.7333333333333333,"[[85 55]
 [16 44]]",0.765,0.8479591836734693,0.5523809523809524,0.765,0.7848809523809523,0.9339067055393586,0.6444444444444445,0.48333333333333334,"[[124  16]
 [ 31  29]]",0.76,0.8510204081632653,0.5714285714285715,0.76,0.7810119047619049,0.9366472303206997,0.6153846153846154,0.5333333333333333,"[[120  20]
 [ 28  32]]",0.7,0.8244897959183674,0.5522388059701493,0.7,0.759702380952381,0.9085443565181175,0.5,0.6166666666666667,"[[103  37]
 [ 23  37]]"
0.7,0.8371428571428572,0.3478260869565218,0.7,0.6388690476190477,0.8987998056365404,0.5,0.26666666666666666,"[[124  16]
 [ 44  16]]",0.66,0.860204081632653,0.5342465753424657,0.66,0.6466666666666666,0.9600104123281965,0.45348837209302323,0.65,"[[93 47]
 [21 39]]",0.705,0.8836734693877552,0.39175257731958757,0.705,0.6432738095238095,0.9562182423990004,0.5135135135135135,0.31666666666666665,"[[122  18]
 [ 41  19]]",0.715,0.8826530612244898,0.4242424242424242,0.715,0.6513095238095239,0.9548000832986255,0.5384615384615384,0.35,"[[122  18]
 [ 39  21]]",0.68,0.8367346938775511,0.4482758620689655,0.68,0.6876190476190476,0.9219408579758434,0.4642857142857143,0.43333333333333335,"[[110  30]
 [ 34  26]]"
0.76,0.8185714285714286,0.5384615384615385,0.76,0.7322619047619048,0.879237123420797,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.655,0.8561224489795919,0.5548387096774194,0.655,0.7480357142857142,0.9525989171178676,0.45263157894736844,0.7166666666666667,"[[88 52]
 [17 43]]",0.74,0.8642857142857143,0.5593220338983051,0.74,0.7474404761904763,0.9449354435651811,0.5689655172413793,0.55,"[[115  25]
 [ 27  33]]",0.745,0.8622448979591837,0.5486725663716815,0.745,0.7286904761904762,0.945164514785506,0.5849056603773585,0.5166666666666667,"[[118  22]
 [ 29  31]]",0.735,0.8316326530612245,0.5760000000000001,0.735,0.7381547619047619,0.9138817159516868,0.5538461538461539,0.6,"[[111  29]
 [ 24  36]]"
0.715,0.82,0.4242424242424242,0.715,0.6988095238095239,0.8823906705539358,0.5384615384615384,0.35,"[[122  18]
 [ 39  21]]",0.645,0.8561224489795919,0.5234899328859061,0.645,0.6736904761904762,0.954323198667222,0.43820224719101125,0.65,"[[90 50]
 [21 39]]",0.705,0.8673469387755102,0.45871559633027525,0.705,0.6954761904761904,0.9479675135360266,0.5102040816326531,0.4166666666666667,"[[116  24]
 [ 35  25]]",0.705,0.8622448979591837,0.45871559633027525,0.705,0.6894047619047619,0.9432819658475635,0.5102040816326531,0.4166666666666667,"[[116  24]
 [ 35  25]]",0.69,0.8122448979591836,0.44642857142857145,0.69,0.7097619047619048,0.9042274052478134,0.4807692307692308,0.4166666666666667,"[[113  27]
 [ 35  25]]"
0.74,0.8171428571428572,0.4901960784313726,0.74,0.7417857142857143,0.8779591836734694,0.5952380952380952,0.4166666666666667,"[[123  17]
 [ 35  25]]",0.69,0.8469387755102041,0.5921052631578948,0.69,0.7521428571428571,0.948862973760933,0.4891304347826087,0.75,"[[93 47]
 [15 45]]",0.725,0.8755102040816326,0.4954128440366973,0.7250000000000001,0.7424999999999999,0.9497667638483965,0.5510204081632653,0.45,"[[118  22]
 [ 33  27]]",0.695,0.8510204081632653,0.46017699115044247,0.695,0.7003571428571429,0.9379341940857976,0.49056603773584906,0.43333333333333335,"[[113  27]
 [ 34  26]]",0.71,0.7928571428571428,0.5,0.7100000000000001,0.7366666666666666,0.8823635985006247,0.5178571428571429,0.48333333333333334,"[[113  27]
 [ 31  29]]"
0.72,0.8328571428571429,0.4814814814814815,0.72,0.7599999999999999,0.8845286686103013,0.5416666666666666,0.43333333333333335,"[[118  22]
 [ 34  26]]",0.68,0.8581632653061224,0.5844155844155844,0.68,0.7294642857142857,0.9583631820074969,0.4787234042553192,0.75,"[[91 49]
 [15 45]]",0.69,0.8622448979591837,0.47457627118644075,0.69,0.753452380952381,0.9384235735110371,0.4827586206896552,0.4666666666666667,"[[110  30]
 [ 32  28]]",0.72,0.8806122448979592,0.49090909090909096,0.72,0.7564285714285713,0.9500229071220325,0.54,0.45,"[[117  23]
 [ 33  27]]",0.69,0.8326530612244898,0.5373134328358209,0.69,0.7511309523809524,0.9057309454394004,0.4864864864864865,0.6,"[[102  38]
 [ 24  36]]"
0.725,0.8228571428571428,0.4444444444444444,0.7250000000000001,0.7758928571428572,0.8848979591836734,0.5641025641025641,0.36666666666666664,"[[123  17]
 [ 38  22]]",0.725,0.8520408163265306,0.6357615894039735,0.7250000000000001,0.7775,0.9514785506039151,0.5274725274725275,0.8,"[[97 43]
 [12 48]]",0.705,0.8693877551020408,0.45871559633027525,0.705,0.7491071428571429,0.9472240733027906,0.5102040816326531,0.4166666666666667,"[[116  24]
 [ 35  25]]",0.695,0.8683673469387755,0.42990654205607476,0.695,0.7492857142857142,0.9490191586838818,0.48936170212765956,0.38333333333333336,"[[116  24]
 [ 37  23]]",0.725,0.8030612244897959,0.5045045045045046,0.7250000000000001,0.7610714285714285,0.8984860474802165,0.5490196078431373,0.4666666666666667,"[[117  23]
 [ 32  28]]"
0.77,0.8114285714285714,0.5306122448979592,0.7699999999999999,0.7704166666666666,0.88533527696793,0.6842105263157895,0.43333333333333335,"[[128  12]
 [ 34  26]]",0.71,0.8581632653061224,0.6027397260273971,0.7100000000000001,0.7598214285714285,0.9528050812161599,0.5116279069767442,0.7333333333333333,"[[98 42]
 [16 44]]",0.74,0.8571428571428571,0.5517241379310344,0.74,0.7583333333333333,0.9432840483132029,0.5714285714285714,0.5333333333333333,"[[116  24]
 [ 28  32]]",0.755,0.8704081632653061,0.5663716814159292,0.755,0.7595833333333333,0.9497875885047896,0.6037735849056604,0.5333333333333333,"[[119  21]
 [ 28  32]]",0.75,0.810204081632653,0.5901639344262295,0.75,0.7745238095238095,0.8994398167430238,0.5806451612903226,0.6,"[[114  26]
 [ 24  36]]"
0.725,0.8271428571428572,0.4210526315789474,0.7250000000000001,0.6984523809523809,0.8824149659863946,0.5714285714285714,0.3333333333333333,"[[125  15]
 [ 40  20]]",0.66,0.8530612244897959,0.5,0.66,0.7047619047619047,0.9511162015826738,0.4473684210526316,0.5666666666666667,"[[98 42]
 [26 34]]",0.72,0.8704081632653061,0.43999999999999995,0.72,0.7080952380952381,0.9476051645147855,0.55,0.36666666666666664,"[[122  18]
 [ 38  22]]",0.74,0.8765306122448979,0.4693877551020408,0.74,0.7053571428571428,0.9489566847147022,0.6052631578947368,0.38333333333333336,"[[125  15]
 [ 37  23]]",0.705,0.8295918367346938,0.4957264957264957,0.705,0.6872023809523808,0.9013848396501458,0.5087719298245614,0.48333333333333334,"[[112  28]
 [ 31  29]]"
0.76,0.8057142857142857,0.5384615384615385,0.76,0.7520833333333333,0.8770602526724975,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.705,0.8448979591836735,0.609271523178808,0.705,0.759047619047619,0.9554935443565181,0.5054945054945055,0.7666666666666667,"[[95 45]
 [14 46]]",0.735,0.8479591836734693,0.5470085470085471,0.735,0.7567261904761905,0.9388254893794252,0.5614035087719298,0.5333333333333333,"[[115  25]
 [ 28  32]]",0.75,0.8551020408163266,0.5614035087719299,0.75,0.7679166666666666,0.9436568096626405,0.5925925925925926,0.5333333333333333,"[[118  22]
 [ 28  32]]",0.73,0.8183673469387756,0.578125,0.7299999999999999,0.7210119047619048,0.9063369429404415,0.5441176470588235,0.6166666666666667,"[[109  31]
 [ 23  37]]"
0.735,0.8385714285714285,0.3908045977011494,0.735,0.7105357142857144,0.9100826044703596,0.6296296296296297,0.2833333333333333,"[[130  10]
 [ 43  17]]",0.69,0.8642857142857143,0.507936507936508,0.69,0.7136904761904763,0.9630133277800916,0.48484848484848486,0.5333333333333333,"[[106  34]
 [ 28  32]]",0.74,0.8714285714285714,0.45833333333333326,0.74,0.7249404761904762,0.9536526447313619,0.6111111111111112,0.36666666666666664,"[[126  14]
 [ 38  22]]",0.735,0.8846938775510204,0.46464646464646464,0.735,0.7201785714285714,0.9592628071636818,0.5897435897435898,0.38333333333333336,"[[124  16]
 [ 37  23]]",0.755,0.8326530612244898,0.514851485148515,0.755,0.7267857142857144,0.9176488962932111,0.6341463414634146,0.43333333333333335,"[[125  15]
 [ 34  26]]"
0.705,0.8285714285714286,0.4271844660194174,0.705,0.6740476190476191,0.8910495626822158,0.5116279069767442,0.36666666666666664,"[[119  21]
 [ 38  22]]",0.655,0.8530612244897959,0.5369127516778522,0.655,0.7042857142857142,0.9521366097459392,0.449438202247191,0.6666666666666666,"[[91 49]
 [20 40]]",0.675,0.8785714285714286,0.4444444444444444,0.675,0.6708928571428572,0.952457309454394,0.45614035087719296,0.43333333333333335,"[[109  31]
 [ 34  26]]",0.7,0.863265306122449,0.45454545454545453,0.7,0.6758928571428572,0.9455310287380259,0.5,0.4166666666666667,"[[115  25]
 [ 35  25]]",0.69,0.8316326530612245,0.5000000000000001,0.69,0.6889285714285714,0.9142503123698459,0.484375,0.5166666666666667,"[[107  33]
 [ 29  31]]"
