Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9007633587786259,1.0,0.896,0.9007633587786259,0.9489171374764596,1.0,0.8484848484848485,0.9491525423728814,"[[62 10]
 [ 3 56]]",0.9007633587786259,1.0,0.8976377952755905,0.9007633587786259,0.9416195856873824,1.0,0.8382352941176471,0.9661016949152542,"[[61 11]
 [ 2 57]]",0.8854961832061069,1.0,0.8818897637795277,0.8854961832061069,0.9465630885122411,1.0,0.8235294117647058,0.9491525423728814,"[[60 12]
 [ 3 56]]",0.8931297709923665,1.0,0.8870967741935484,0.8931297709923665,0.9475047080979285,1.0,0.8461538461538461,0.9322033898305084,"[[62 10]
 [ 4 55]]",0.8702290076335878,1.0,0.8640000000000001,0.8702290076335878,0.9418549905838042,1.0,0.8181818181818182,0.9152542372881356,"[[60 12]
 [ 5 54]]"
0.816793893129771,1.0,0.7931034482758621,0.816793893129771,0.887241054613936,1.0,0.8070175438596491,0.7796610169491526,"[[61 11]
 [13 46]]",0.816793893129771,1.0,0.7966101694915254,0.816793893129771,0.8848870056497176,1.0,0.7966101694915254,0.7966101694915254,"[[60 12]
 [12 47]]",0.8320610687022901,1.0,0.8135593220338985,0.8320610687022901,0.8808851224105462,1.0,0.8135593220338984,0.8135593220338984,"[[61 11]
 [11 48]]",0.8015267175572519,1.0,0.7758620689655172,0.8015267175572519,0.881120527306968,1.0,0.7894736842105263,0.7627118644067796,"[[60 12]
 [14 45]]",0.816793893129771,1.0,0.7966101694915254,0.816793893129771,0.8790018832391714,1.0,0.7966101694915254,0.7966101694915254,"[[60 12]
 [12 47]]"
0.8625954198473282,1.0,0.8301886792452831,0.8625954198473282,0.9484463276836158,1.0,0.9361702127659575,0.7457627118644068,"[[69  3]
 [15 44]]",0.8778625954198473,1.0,0.8518518518518519,0.8778625954198473,0.957391713747646,1.0,0.9387755102040817,0.7796610169491526,"[[69  3]
 [13 46]]",0.8854961832061069,1.0,0.8598130841121496,0.8854961832061069,0.9616290018832392,1.0,0.9583333333333334,0.7796610169491526,"[[70  2]
 [13 46]]",0.8702290076335878,1.0,0.8440366972477064,0.8702290076335878,0.9555084745762713,1.0,0.92,0.7796610169491526,"[[68  4]
 [13 46]]",0.8625954198473282,1.0,0.8333333333333333,0.8625954198473282,0.954331450094162,1.0,0.9183673469387755,0.7627118644067796,"[[68  4]
 [14 45]]"
0.9007633587786259,1.0,0.8869565217391304,0.9007633587786259,0.9343220338983051,1.0,0.9107142857142857,0.864406779661017,"[[67  5]
 [ 8 51]]",0.8854961832061069,1.0,0.8695652173913044,0.8854961832061069,0.9171374764595104,1.0,0.8928571428571429,0.847457627118644,"[[66  6]
 [ 9 50]]",0.8854961832061069,1.0,0.8672566371681415,0.8854961832061069,0.9307909604519773,1.0,0.9074074074074074,0.8305084745762712,"[[67  5]
 [10 49]]",0.9083969465648855,1.0,0.8947368421052632,0.9083969465648855,0.9249058380414312,1.0,0.9272727272727272,0.864406779661017,"[[68  4]
 [ 8 51]]",0.8931297709923665,1.0,0.8793103448275862,0.8931297709923665,0.9322033898305084,1.0,0.8947368421052632,0.864406779661017,"[[66  6]
 [ 8 51]]"
0.8396946564885496,1.0,0.8235294117647058,0.8396946564885496,0.903954802259887,1.0,0.8166666666666667,0.8305084745762712,"[[61 11]
 [10 49]]",0.8549618320610687,1.0,0.8455284552845529,0.8549618320610687,0.9060734463276836,1.0,0.8125,0.8813559322033898,"[[60 12]
 [ 7 52]]",0.816793893129771,1.0,0.8,0.816793893129771,0.9006591337099812,1.0,0.7868852459016393,0.8135593220338984,"[[59 13]
 [11 48]]",0.8396946564885496,1.0,0.8235294117647058,0.8396946564885496,0.9030131826741996,1.0,0.8166666666666667,0.8305084745762712,"[[61 11]
 [10 49]]",0.8396946564885496,1.0,0.8264462809917354,0.8396946564885496,0.9041902071563088,1.0,0.8064516129032258,0.847457627118644,"[[60 12]
 [ 9 50]]"
0.8549618320610687,1.0,0.8455284552845529,0.8549618320610687,0.9404425612052731,1.0,0.8125,0.8813559322033898,"[[60 12]
 [ 7 52]]",0.8549618320610687,1.0,0.8480000000000001,0.8549618320610687,0.9402071563088513,1.0,0.803030303030303,0.8983050847457628,"[[59 13]
 [ 6 53]]",0.8549618320610687,1.0,0.8429752066115702,0.8549618320610687,0.9425612052730696,1.0,0.8225806451612904,0.864406779661017,"[[61 11]
 [ 8 51]]",0.8549618320610687,1.0,0.8455284552845529,0.8549618320610687,0.9399717514124294,1.0,0.8125,0.8813559322033898,"[[60 12]
 [ 7 52]]",0.8320610687022901,1.0,0.819672131147541,0.8320610687022901,0.9456214689265536,1.0,0.7936507936507936,0.847457627118644,"[[59 13]
 [ 9 50]]"
0.8549618320610687,1.0,0.8527131782945736,0.8549618320610687,0.9369114877589455,1.0,0.7857142857142857,0.9322033898305084,"[[57 15]
 [ 4 55]]",0.8473282442748091,1.0,0.846153846153846,0.8473282442748091,0.9258474576271187,1.0,0.7746478873239436,0.9322033898305084,"[[56 16]
 [ 4 55]]",0.8549618320610687,1.0,0.8549618320610687,0.8549618320610687,0.9354990583804144,1.0,0.7777777777777778,0.9491525423728814,"[[56 16]
 [ 3 56]]",0.8396946564885496,1.0,0.8396946564885496,0.8396946564885496,0.9371468926553672,1.0,0.7638888888888888,0.9322033898305084,"[[55 17]
 [ 4 55]]",0.8778625954198473,1.0,0.8749999999999999,0.8778625954198473,0.9317325800376647,1.0,0.8115942028985508,0.9491525423728814,"[[59 13]
 [ 3 56]]"
0.8549618320610687,1.0,0.8403361344537815,0.8549618320610687,0.9110169491525424,1.0,0.8333333333333334,0.847457627118644,"[[62 10]
 [ 9 50]]",0.8702290076335878,1.0,0.8571428571428572,0.8702290076335878,0.9081920903954802,1.0,0.85,0.864406779661017,"[[63  9]
 [ 8 51]]",0.8778625954198473,1.0,0.8666666666666666,0.8778625954198473,0.9143126177024483,1.0,0.8524590163934426,0.8813559322033898,"[[63  9]
 [ 7 52]]",0.8702290076335878,1.0,0.8521739130434782,0.8702290076335878,0.9117231638418077,1.0,0.875,0.8305084745762712,"[[65  7]
 [10 49]]",0.8625954198473282,1.0,0.85,0.8625954198473282,0.911723163841808,1.0,0.8360655737704918,0.864406779661017,"[[62 10]
 [ 8 51]]"
0.8778625954198473,1.0,0.8571428571428572,0.8778625954198473,0.9399717514124294,1.0,0.9056603773584906,0.8135593220338984,"[[67  5]
 [11 48]]",0.8931297709923665,1.0,0.8771929824561402,0.8931297709923665,0.9517419962335217,1.0,0.9090909090909091,0.847457627118644,"[[67  5]
 [ 9 50]]",0.9007633587786259,1.0,0.8828828828828829,0.9007633587786259,0.9463276836158192,1.0,0.9423076923076923,0.8305084745762712,"[[69  3]
 [10 49]]",0.8854961832061069,1.0,0.8648648648648649,0.8854961832061069,0.943738229755179,1.0,0.9230769230769231,0.8135593220338984,"[[68  4]
 [11 48]]",0.8854961832061069,1.0,0.8648648648648649,0.8854961832061069,0.948210922787194,1.0,0.9230769230769231,0.8135593220338984,"[[68  4]
 [11 48]]"
0.8244274809160306,1.0,0.8067226890756303,0.8244274809160307,0.9185499058380414,1.0,0.8,0.8135593220338984,"[[60 12]
 [11 48]]",0.8473282442748091,1.0,0.8275862068965518,0.8473282442748091,0.9098399246704332,1.0,0.8421052631578947,0.8135593220338984,"[[63  9]
 [11 48]]",0.8549618320610687,1.0,0.8403361344537815,0.8549618320610687,0.92090395480226,1.0,0.8333333333333334,0.847457627118644,"[[62 10]
 [ 9 50]]",0.8549618320610687,1.0,0.8376068376068375,0.8549618320610687,0.9232580037664784,1.0,0.8448275862068966,0.8305084745762712,"[[63  9]
 [10 49]]",0.8549618320610687,1.0,0.8347826086956522,0.8549618320610687,0.922316384180791,1.0,0.8571428571428571,0.8135593220338984,"[[64  8]
 [11 48]]"
