Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9629629850387573,0.9653179049491882,0.0,0.9629629629629629,0.7560975551605225,0.7576929330825806,0.0,0.0,"[[286   1]
 [ 10   0]]",0.8383838534355164,0.871257483959198,0.29411764705882354,0.8383838383838383,0.9327526688575745,0.9151791334152222,0.1724137931034483,1.0,"[[239  48]
 [  0  10]]",0.7811447978019714,0.9006986021995544,0.21686746987951808,0.7811447811447811,0.8930314779281616,0.963545560836792,0.1232876712328767,0.9,"[[223  64]
 [  1   9]]",0.9259259104728699,0.9645708799362183,0.35294117647058826,0.9259259259259259,0.9313589334487915,0.9939537048339844,0.25,0.6,"[[269  18]
 [  4   6]]",0.9427609443664551,0.9231536984443665,0.2608695652173913,0.9427609427609428,0.8663762807846069,0.9786954522132874,0.23076923076923078,0.3,"[[277  10]
 [  7   3]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.496515691280365,0.5,,0.0,"[[287   0]
 [ 10   0]]",0.8013467788696289,0.8557884097099304,0.21333333333333335,0.8013468013468014,0.8477352261543274,0.918936550617218,0.12307692307692308,0.8,"[[230  57]
 [  2   8]]",0.8989899158477783,0.9441117644309998,0.06250000000000001,0.898989898989899,0.5914634466171265,0.9753755927085876,0.045454545454545456,0.1,"[[266  21]
 [  9   1]]",0.939393937587738,0.9555888175964355,0.1818181818181818,0.9393939393939394,0.8167247176170349,0.9898825287818909,0.16666666666666666,0.2,"[[277  10]
 [  8   2]]",0.8181818127632141,0.803892195224762,0.0,0.8181818181818182,0.487630695104599,0.8926004767417908,0.0,0.0,"[[243  44]
 [ 10   0]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.6613240242004395,0.8348996639251709,,0.0,"[[287   0]
 [ 10   0]]",0.7508417367935181,0.8667664527893066,0.1590909090909091,0.7508417508417508,0.8160278797149658,0.9391666054725647,0.08974358974358974,0.7,"[[216  71]
 [  3   7]]",0.939393937587738,0.9745509028434753,0.25,0.9393939393939394,0.7311845421791077,0.9954034090042114,0.21428571428571427,0.3,"[[276  11]
 [  7   3]]",0.7306397557258606,0.886227548122406,0.14893617021276595,0.7306397306397306,0.7644599676132202,0.9866803288459778,0.08333333333333333,0.7,"[[210  77]
 [  3   7]]",0.8989899158477783,0.8692615032196045,0.21052631578947364,0.898989898989899,0.7268292903900146,0.9426042437553406,0.14285714285714285,0.4,"[[263  24]
 [  6   4]]"
0.9663299918174744,0.9662812948226929,0.0,0.9663299663299664,0.8250871300697327,0.8192503452301025,,0.0,"[[287   0]
 [ 10   0]]",0.8518518805503845,0.8912175893783569,0.26666666666666666,0.8518518518518519,0.9189895391464233,0.9509942531585693,0.16,0.8,"[[245  42]
 [  2   8]]",0.9259259104728699,0.9640718698501587,0.26666666666666666,0.9259259259259259,0.8048780560493469,0.9955164194107056,0.2,0.4,"[[271  16]
 [  6   4]]",0.936026930809021,0.9486027956008911,0.29629629629629634,0.936026936026936,0.934669017791748,0.9886638522148132,0.23529411764705882,0.4,"[[274  13]
 [  6   4]]",0.7979797720909119,0.8517963886260986,0.18918918918918917,0.7979797979797979,0.8648083209991455,0.9415385723114014,0.109375,0.7,"[[230  57]
 [  3   7]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.8200348615646362,0.6366156339645386,,0.0,"[[287   0]
 [ 10   0]]",0.8888888955116272,0.8463073968887329,0.2978723404255319,0.8888888888888888,0.9200348854064941,0.9138325452804565,0.1891891891891892,0.7,"[[257  30]
 [  3   7]]",0.9292929172515869,0.9520958065986633,0.36363636363636365,0.9292929292929293,0.9162020683288574,0.9886972308158875,0.2608695652173913,0.6,"[[270  17]
 [  4   6]]",0.8787878751754761,0.946107804775238,0.25,0.8787878787878788,0.889895498752594,0.9917933344841003,0.15789473684210525,0.6,"[[255  32]
 [  4   6]]",0.8484848737716675,0.8902195692062378,0.2622950819672131,0.8484848484848486,0.9182927012443542,0.9584339261054993,0.1568627450980392,0.8,"[[244  43]
 [  2   8]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.7691637277603149,0.764457106590271,,0.0,"[[287   0]
 [ 10   0]]",0.8417508602142334,0.8997005820274353,0.20338983050847456,0.8417508417508418,0.8696864247322083,0.9296083450317383,0.12244897959183673,0.6,"[[244  43]
 [  4   6]]",0.808080792427063,0.9001995921134949,0.17391304347826086,0.8080808080808081,0.6851916313171387,0.9796350598335266,0.1016949152542373,0.6,"[[234  53]
 [  4   6]]",0.8956229090690613,0.9361277222633362,0.27906976744186046,0.8956228956228957,0.8252612948417664,0.9770578742027283,0.18181818181818182,0.6,"[[260  27]
 [  4   6]]",0.7845118045806885,0.8632734417915344,0.19999999999999998,0.7845117845117845,0.8322299122810364,0.9260769486427307,0.11428571428571428,0.8,"[[225  62]
 [  2   8]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.7296167016029358,0.699739396572113,,0.0,"[[287   0]
 [ 10   0]]",0.7171717286109924,0.8537924289703369,0.14285714285714285,0.7171717171717171,0.8137631416320801,0.9249758124351501,0.07954545454545454,0.7,"[[206  81]
 [  3   7]]",0.8282828330993652,0.9071856141090393,0.2153846153846154,0.8282828282828283,0.7005226016044617,0.9700712561607361,0.12727272727272726,0.7,"[[239  48]
 [  3   7]]",0.9057239294052124,0.9615768194198608,0.12500000000000003,0.9057239057239057,0.705226480960846,0.9955493211746216,0.09090909090909091,0.2,"[[267  20]
 [  8   2]]",0.8956229090690613,0.9216566681861877,0.3111111111111111,0.8956228956228957,0.7794424891471863,0.9822186827659607,0.2,0.7,"[[259  28]
 [  3   7]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.5836237668991089,0.7508317232131958,,0.0,"[[287   0]
 [ 10   0]]",0.7542087435722351,0.847305417060852,0.1978021978021978,0.7542087542087542,0.9090592265129089,0.9316023588180542,0.1111111111111111,0.9,"[[215  72]
 [  1   9]]",0.6632996797561646,0.8468064069747925,0.09090909090909091,0.6632996632996633,0.6111498475074768,0.957107663154602,0.05,0.5,"[[192  95]
 [  5   5]]",0.7205387353897095,0.7659680843353271,0.1782178217821782,0.7205387205387206,0.871951162815094,0.8909844756126404,0.0989010989010989,0.9,"[[205  82]
 [  1   9]]",0.9191918969154358,0.8952096104621887,0.33333333333333337,0.9191919191919192,0.8996516466140747,0.9670056700706482,0.23076923076923078,0.6,"[[267  20]
 [  4   6]]"
0.9663299918174744,0.9653179049491882,0.0,0.9663299663299664,0.9047038555145264,0.7997061610221863,,0.0,"[[287   0]
 [ 10   0]]",0.6632996797561646,0.7849301099777222,0.15254237288135591,0.6632996632996633,0.8857141733169556,0.9049818515777588,0.08333333333333333,0.9,"[[188  99]
 [  1   9]]",0.932659924030304,0.9530938267707825,0.4117647058823529,0.9326599326599326,0.8937281370162964,0.9883775115013123,0.2916666666666667,0.7,"[[270  17]
 [  3   7]]",0.5723905563354492,0.7639720439910889,0.12413793103448276,0.5723905723905723,0.8393727540969849,0.941842794418335,0.06666666666666667,0.9,"[[161 126]
 [  1   9]]",0.9191918969154358,0.8632734417915344,0.33333333333333337,0.9191919191919192,0.8601045608520508,0.9294499754905701,0.23076923076923078,0.6,"[[267  20]
 [  4   6]]"
0.9595959782600403,0.9643545150756836,0.0,0.9595959595959596,0.7893728613853455,0.7039255499839783,0.0,0.0,"[[285   2]
 [ 10   0]]",0.9023569226264954,0.8972055912017822,0.3555555555555555,0.9023569023569024,0.9200348258018494,0.9402807354927063,0.22857142857142856,0.8,"[[260  27]
 [  2   8]]",0.9124578833580017,0.9540917873382568,0.35,0.9124579124579124,0.8921602964401245,0.989000678062439,0.23333333333333334,0.7,"[[264  23]
 [  3   7]]",0.9090909361839294,0.9226546883583069,0.372093023255814,0.9090909090909091,0.9095818996429443,0.9844502210617065,0.24242424242424243,0.8,"[[262  25]
 [  2   8]]",0.8922559022903442,0.8642714619636536,0.30434782608695654,0.8922558922558923,0.8477352857589722,0.9427780508995056,0.19444444444444445,0.7,"[[258  29]
 [  3   7]]"
