Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.7195,0.9993809523809524,0.3814773980154355,0.7195,0.6031558903292674,0.999998881122195,0.37230989956958394,0.3911077618688772,"[[3798  875]
 [ 808  519]]",0.7008333333333333,0.9996025680220116,0.39007815154604136,0.7008333333333333,0.6058964653041385,0.9999996822263892,0.3551980198019802,0.4325546345139412,"[[3631 1042]
 [ 753  574]]",0.7241666666666666,0.9996025680220116,0.3984005816066885,0.7241666666666666,0.6136693161552254,0.9999996822263892,0.3848314606741573,0.4129615674453655,"[[3797  876]
 [ 779  548]]",0.7213333333333334,0.9996025680220116,0.38302583025830256,0.7213333333333334,0.6036570134417104,0.9999996822263892,0.3752711496746204,0.3911077618688772,"[[3809  864]
 [ 808  519]]",0.718,0.9996025680220116,0.3904899135446686,0.718,0.6077804946919653,0.9999996822263892,0.37405106970324364,0.4084400904295403,"[[3766  907]
 [ 785  542]]"
0.7333333333333333,0.9993809523809524,0.41733430444282593,0.7333333333333333,0.6255067068253211,0.999998881122195,0.40380549682875266,0.43180105501130367,"[[3827  846]
 [ 754  573]]",0.702,0.9996025680220116,0.38809034907597534,0.702,0.6032785304345007,0.9999996822263892,0.3554858934169279,0.4272795779954785,"[[3645 1028]
 [ 760  567]]",0.7291666666666666,0.9996025680220116,0.39926062846580407,0.7291666666666665,0.6134216976390047,0.9999996822263892,0.3918722786647315,0.4069329314242653,"[[3835  838]
 [ 787  540]]",0.7268333333333333,0.9996025680220116,0.3927380511300481,0.7268333333333333,0.6095298699208572,0.9999996822263892,0.38629737609329445,0.39939713639789,"[[3831  842]
 [ 797  530]]",0.7221666666666666,0.9996025680220116,0.39227123587313156,0.7221666666666666,0.6088204763338462,0.9999996822263892,0.3799435028248588,0.4054257724189902,"[[3795  878]
 [ 789  538]]"
0.7303333333333333,0.9994285714285714,0.40470934510669615,0.7303333333333332,0.6174330208443025,0.9999990456630486,0.39539899352983465,0.41446872645064053,"[[3832  841]
 [ 777  550]]",0.7035,0.9996331397126261,0.4016145307769929,0.7035,0.6127597958481689,0.9999997289578026,0.3626974483596598,0.44988696307460435,"[[3624 1049]
 [ 730  597]]",0.7175,0.9996331397126261,0.3891891891891892,0.7175,0.6067928427202334,0.9999997289578026,0.3729281767955801,0.4069329314242653,"[[3765  908]
 [ 787  540]]",0.7236666666666667,0.9996331397126261,0.3944485025566106,0.7236666666666667,0.6105780759484934,0.9999997289578026,0.3827072997873848,0.4069329314242653,"[[3802  871]
 [ 787  540]]",0.7216666666666667,0.9996331397126261,0.3878299120234604,0.7216666666666668,0.6059554873666178,0.9999997289578026,0.377587437544611,0.39864355689525244,"[[3801  872]
 [ 798  529]]"
0.719,0.9995238095238095,0.39133574007220223,0.7190000000000001,0.6078028295434772,0.9999993418365853,0.3756063756063756,0.4084400904295403,"[[3772  901]
 [ 785  542]]",0.6893333333333334,0.9996942830938551,0.3912475506205095,0.6893333333333334,0.6039716365124669,0.9999998130743466,0.3452449567723343,0.45139412207987945,"[[3537 1136]
 [ 728  599]]",0.7156666666666667,0.9996942830938551,0.37233259749816044,0.7156666666666667,0.5961357320372561,0.9999998130743466,0.3637670740474479,0.3813112283345893,"[[3788  885]
 [ 821  506]]",0.723,0.9996942830938551,0.3995664739884393,0.723,0.6137115669212625,0.9999998130743466,0.3837612768910479,0.4167294649585531,"[[3785  888]
 [ 774  553]]",0.7151666666666666,0.9996942830938551,0.38503058654192157,0.7151666666666666,0.6041826484489534,0.9999998130743466,0.36845730027548207,0.4031650339110776,"[[3756  917]
 [ 792  535]]"
0.7215,0.9994285714285714,0.3974035340786153,0.7215,0.6125746665374416,0.9999990390814145,0.38105117565698476,0.4152223059532781,"[[3778  895]
 [ 776  551]]",0.7001666666666667,0.9996331397126261,0.39120135363790187,0.7001666666666667,0.6054272721599221,0.9999997270885461,0.35503685503685506,0.43556895252449135,"[[3623 1050]
 [ 749  578]]",0.7251666666666666,0.9996331397126261,0.3988333940940576,0.7251666666666665,0.6134850737880602,0.9999997270885461,0.3862994350282486,0.41220798794272795,"[[3804  869]
 [ 780  547]]",0.7236666666666667,0.9996331397126261,0.3944485025566106,0.7236666666666667,0.6101975771604615,0.9999997270885461,0.3827072997873848,0.4069329314242653,"[[3802  871]
 [ 787  540]]",0.7288333333333333,0.9996331397126261,0.4081484176064023,0.7288333333333333,0.6193762335570743,0.9999997270885461,0.39451476793248946,0.42275810097965333,"[[3812  861]
 [ 766  561]]"
0.726,0.9995238095238095,0.4073540014419611,0.726,0.619064351948236,0.999999282601878,0.39046302695231516,0.42577241899020346,"[[3791  882]
 [ 762  565]]",0.703,0.9996942830938551,0.39959568733153633,0.703,0.6120612874775987,0.9999997962510379,0.36136502132845827,0.4468726450640543,"[[3625 1048]
 [ 734  593]]",0.722,0.9996942830938551,0.389010989010989,0.722,0.6076289079741225,0.9999997962510379,0.37847469707769066,0.40015071590052753,"[[3801  872]
 [ 796  531]]",0.7258333333333333,0.9996942830938551,0.4054933140585471,0.7258333333333333,0.6175723516147453,0.9999997962510379,0.38958333333333334,0.42275810097965333,"[[3794  879]
 [ 766  561]]",0.7216666666666667,0.9996942830938551,0.3909555069292487,0.7216666666666668,0.6081505920509538,0.9999997962510379,0.37879858657243815,0.40391861341371516,"[[3794  879]
 [ 791  536]]"
0.722,0.9993333333333333,0.405982905982906,0.722,0.6173421494448299,0.9999986441833656,0.3848750844024308,0.4295403165033911,"[[3762  911]
 [ 757  570]]",0.6918333333333333,0.9995719963313972,0.3923759447913244,0.6918333333333333,0.6050953940053259,0.9999996111946409,0.3479020979020979,0.44988696307460435,"[[3554 1119]
 [ 730  597]]",0.7208333333333333,0.9995719963313972,0.40455030216850335,0.7208333333333333,0.6159581143321855,0.9999996149331539,0.382907133243607,0.4287867370007536,"[[3756  917]
 [ 758  569]]",0.723,0.9995719963313972,0.39475600873998545,0.723,0.6107345811715428,0.9999996149331539,0.38195912614517263,0.4084400904295403,"[[3796  877]
 [ 785  542]]",0.7295,0.9995719963313972,0.40960349217897424,0.7295,0.6205051514488384,0.9999996149331539,0.3959212376933896,0.4242652599849284,"[[3814  859]
 [ 764  563]]"
0.7196666666666667,0.9993809523809524,0.3949640287769784,0.7196666666666667,0.6108552054959538,0.9999988877038292,0.3778389538885065,0.413715146948003,"[[3769  904]
 [ 778  549]]",0.6886666666666666,0.9996025680220116,0.3756684491978609,0.6886666666666666,0.5941280949694011,0.9999996840956458,0.3375375375375375,0.4235116804822909,"[[3570 1103]
 [ 765  562]]",0.726,0.9996025680220116,0.3933579335793358,0.726,0.611230140728916,0.9999996840956458,0.3853940708604483,0.40165787490580257,"[[3823  850]
 [ 794  533]]",0.7271666666666666,0.9996025680220116,0.3925788497217068,0.7271666666666665,0.6110838756724443,0.9999996840956458,0.38669590643274854,0.39864355689525244,"[[3834  839]
 [ 798  529]]",0.723,0.9996025680220116,0.3784592370979806,0.723,0.6010899568800293,0.9999996840956458,0.37564959168522644,0.3813112283345893,"[[3832  841]
 [ 821  506]]"
0.7223333333333334,0.9996190476190476,0.38929618768328444,0.7223333333333334,0.607037397249604,0.9999995524488781,0.37901498929336186,0.40015071590052753,"[[3803  870]
 [ 796  531]]",0.701,0.9997554264750841,0.40199999999999997,0.701,0.6126583617571868,0.9999998728905557,0.36043036461446504,0.4544084400904295,"[[3603 1070]
 [ 724  603]]",0.7286666666666667,0.9997554264750841,0.41312184571016586,0.7286666666666667,0.6226909029101586,0.9999998728905557,0.39599170697995856,0.43180105501130367,"[[3799  874]
 [ 754  573]]",0.7153333333333334,0.9997554264750841,0.3720588235294118,0.7153333333333334,0.5956825038771528,0.9999998728905557,0.36324479540559945,0.3813112283345893,"[[3786  887]
 [ 821  506]]",0.7153333333333334,0.9997554264750841,0.38160753077480086,0.7153333333333334,0.6022604804879673,0.9999998728905557,0.3672473867595819,0.3971363978899774,"[[3765  908]
 [ 800  527]]"
0.7265,0.9995238095238095,0.39424141749723146,0.7265,0.6104077827846189,0.9999993089284146,0.38639652677279307,0.4024114544084401,"[[3825  848]
 [ 793  534]]",0.7045,0.9996942830938551,0.4115499502157319,0.7045,0.6193501896688491,0.999999803728064,0.36773428232502964,0.46721929163526754,"[[3607 1066]
 [ 707  620]]",0.7276666666666667,0.9996942830938551,0.38938714499252614,0.7276666666666667,0.607384917863382,0.999999803728064,0.38621200889547813,0.39261492087415223,"[[3845  828]
 [ 806  521]]",0.717,0.9996942830938551,0.38876889848812096,0.7169999999999999,0.6062315687080505,0.999999803728064,0.37215713301171605,0.4069329314242653,"[[3762  911]
 [ 787  540]]",0.7175,0.9996942830938551,0.3816125501641736,0.7175,0.6016613097963239,0.999999803728064,0.3698727015558699,0.39412207987942727,"[[3782  891]
 [ 804  523]]"
