Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.7,1.0,0.53125,0.7,0.6619047619047619,1.0,0.5,0.5666666666666667,"[[106  34]
 [ 26  34]]",0.675,1.0,0.4881889763779528,0.675,0.6297619047619047,1.0,0.4626865671641791,0.5166666666666667,"[[104  36]
 [ 29  31]]",0.7,1.0,0.4827586206896552,0.7,0.6333333333333334,1.0,0.5,0.4666666666666667,"[[112  28]
 [ 32  28]]",0.66,1.0,0.4137931034482759,0.66,0.5857142857142857,1.0,0.42857142857142855,0.4,"[[108  32]
 [ 36  24]]",0.66,1.0,0.46875,0.66,0.6142857142857143,1.0,0.4411764705882353,0.5,"[[102  38]
 [ 30  30]]"
0.7,1.0,0.5081967213114755,0.7,0.6476190476190476,1.0,0.5,0.5166666666666667,"[[109  31]
 [ 29  31]]",0.67,1.0,0.484375,0.67,0.6261904761904763,1.0,0.45588235294117646,0.5166666666666667,"[[103  37]
 [ 29  31]]",0.655,1.0,0.4732824427480916,0.655,0.6154761904761904,1.0,0.43661971830985913,0.5166666666666667,"[[100  40]
 [ 29  31]]",0.67,1.0,0.484375,0.67,0.6261904761904763,1.0,0.45588235294117646,0.5166666666666667,"[[103  37]
 [ 29  31]]",0.605,1.0,0.3875968992248062,0.605,0.5511904761904762,1.0,0.36231884057971014,0.4166666666666667,"[[96 44]
 [35 25]]"
0.69,1.0,0.48333333333333334,0.69,0.6309523809523809,1.0,0.48333333333333334,0.48333333333333334,"[[109  31]
 [ 31  29]]",0.655,1.0,0.41025641025641024,0.655,0.5821428571428571,1.0,0.42105263157894735,0.4,"[[107  33]
 [ 36  24]]",0.64,1.0,0.4461538461538461,0.64,0.5952380952380952,1.0,0.4142857142857143,0.48333333333333334,"[[99 41]
 [31 29]]",0.63,1.0,0.40322580645161293,0.63,0.5690476190476191,1.0,0.390625,0.4166666666666667,"[[101  39]
 [ 35  25]]",0.605,1.0,0.3577235772357723,0.605,0.5369047619047619,1.0,0.3492063492063492,0.36666666666666664,"[[99 41]
 [38 22]]"
0.695,1.0,0.5547445255474452,0.695,0.6773809523809523,1.0,0.4935064935064935,0.6333333333333333,"[[101  39]
 [ 22  38]]",0.64,1.0,0.4098360655737705,0.64,0.5761904761904763,1.0,0.4032258064516129,0.4166666666666667,"[[103  37]
 [ 35  25]]",0.65,1.0,0.4696969696969697,0.65,0.6119047619047618,1.0,0.4305555555555556,0.5166666666666667,"[[99 41]
 [29 31]]",0.69,1.0,0.5156249999999999,0.69,0.65,1.0,0.4852941176470588,0.55,"[[105  35]
 [ 27  33]]",0.72,1.0,0.540983606557377,0.72,0.6714285714285714,1.0,0.532258064516129,0.55,"[[111  29]
 [ 27  33]]"
0.73,1.0,0.5573770491803278,0.7299999999999999,0.6833333333333333,1.0,0.5483870967741935,0.5666666666666667,"[[112  28]
 [ 26  34]]",0.655,1.0,0.4732824427480916,0.655,0.6154761904761904,1.0,0.43661971830985913,0.5166666666666667,"[[100  40]
 [ 29  31]]",0.675,1.0,0.4881889763779528,0.675,0.6297619047619047,1.0,0.4626865671641791,0.5166666666666667,"[[104  36]
 [ 29  31]]",0.68,1.0,0.5076923076923078,0.68,0.642857142857143,1.0,0.4714285714285714,0.55,"[[103  37]
 [ 27  33]]",0.735,1.0,0.5691056910569107,0.735,0.6916666666666668,1.0,0.5555555555555556,0.5833333333333334,"[[112  28]
 [ 25  35]]"
0.71,1.0,0.5084745762711865,0.7100000000000001,0.6500000000000001,1.0,0.5172413793103449,0.5,"[[112  28]
 [ 30  30]]",0.735,1.0,0.5619834710743801,0.735,0.6869047619047619,1.0,0.5573770491803278,0.5666666666666667,"[[113  27]
 [ 26  34]]",0.69,1.0,0.5000000000000001,0.69,0.6404761904761904,1.0,0.484375,0.5166666666666667,"[[107  33]
 [ 29  31]]",0.67,1.0,0.4923076923076923,0.67,0.6309523809523809,1.0,0.45714285714285713,0.5333333333333333,"[[102  38]
 [ 28  32]]",0.735,1.0,0.5619834710743801,0.735,0.6869047619047619,1.0,0.5573770491803278,0.5666666666666667,"[[113  27]
 [ 26  34]]"
0.635,1.0,0.39669421487603307,0.635,0.5678571428571428,1.0,0.39344262295081966,0.4,"[[103  37]
 [ 36  24]]",0.61,1.0,0.44285714285714284,0.61,0.5833333333333334,1.0,0.3875,0.5166666666666667,"[[91 49]
 [29 31]]",0.635,1.0,0.3652173913043478,0.635,0.5535714285714286,1.0,0.38181818181818183,0.35,"[[106  34]
 [ 39  21]]",0.645,1.0,0.34862385321100914,0.645,0.5511904761904761,1.0,0.3877551020408163,0.31666666666666665,"[[110  30]
 [ 41  19]]",0.675,1.0,0.4247787610619469,0.675,0.5964285714285714,1.0,0.4528301886792453,0.4,"[[111  29]
 [ 36  24]]"
0.675,1.0,0.4444444444444444,0.675,0.605952380952381,1.0,0.45614035087719296,0.43333333333333335,"[[109  31]
 [ 34  26]]",0.7,1.0,0.5238095238095238,0.7,0.6571428571428571,1.0,0.5,0.55,"[[107  33]
 [ 27  33]]",0.685,1.0,0.47058823529411764,0.685,0.6226190476190476,1.0,0.4745762711864407,0.4666666666666667,"[[109  31]
 [ 32  28]]",0.7,1.0,0.4736842105263158,0.7,0.6285714285714286,1.0,0.5,0.45,"[[113  27]
 [ 33  27]]",0.695,1.0,0.49586776859504134,0.695,0.6392857142857143,1.0,0.4918032786885246,0.5,"[[109  31]
 [ 30  30]]"
0.67,1.0,0.47619047619047616,0.67,0.6214285714285714,1.0,0.45454545454545453,0.5,"[[104  36]
 [ 30  30]]",0.68,1.0,0.4482758620689655,0.68,0.6095238095238096,1.0,0.4642857142857143,0.43333333333333335,"[[110  30]
 [ 34  26]]",0.725,1.0,0.52991452991453,0.7250000000000001,0.6654761904761904,1.0,0.543859649122807,0.5166666666666667,"[[114  26]
 [ 29  31]]",0.71,1.0,0.5,0.7100000000000001,0.6452380952380953,1.0,0.5178571428571429,0.48333333333333334,"[[113  27]
 [ 31  29]]",0.745,1.0,0.5486725663716815,0.745,0.6797619047619048,1.0,0.5849056603773585,0.5166666666666667,"[[118  22]
 [ 29  31]]"
0.685,1.0,0.5116279069767442,0.685,0.6464285714285715,1.0,0.4782608695652174,0.55,"[[104  36]
 [ 27  33]]",0.685,1.0,0.4521739130434783,0.685,0.613095238095238,1.0,0.4727272727272727,0.43333333333333335,"[[111  29]
 [ 34  26]]",0.73,1.0,0.564516129032258,0.7299999999999999,0.6880952380952381,1.0,0.546875,0.5833333333333334,"[[111  29]
 [ 25  35]]",0.695,1.0,0.5481481481481482,0.695,0.6726190476190477,1.0,0.49333333333333335,0.6166666666666667,"[[102  38]
 [ 23  37]]",0.635,1.0,0.4065040650406504,0.635,0.5726190476190477,1.0,0.3968253968253968,0.4166666666666667,"[[102  38]
 [ 35  25]]"
