Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.7,0.7514285714285714,0.5522388059701493,0.7,0.7545238095238095,0.7938678328474247,0.5,0.6166666666666667,"[[103  37]
 [ 23  37]]",0.625,0.7234693877551021,0.5454545454545454,0.625,0.7177380952380952,0.8127280299875052,0.42857142857142855,0.75,"[[80 60]
 [15 45]]",0.645,0.773469387755102,0.4892086330935252,0.645,0.6779761904761905,0.85618908788005,0.43037974683544306,0.5666666666666667,"[[95 45]
 [26 34]]",0.62,0.7846938775510204,0.5,0.62,0.6678571428571429,0.8658642232403166,0.41304347826086957,0.6333333333333333,"[[86 54]
 [22 38]]",0.605,0.7336734693877551,0.5212121212121211,0.605,0.6725,0.8273219491878384,0.4095238095238095,0.7166666666666667,"[[78 62]
 [17 43]]"
0.69,0.7428571428571429,0.5507246376811593,0.69,0.726190476190476,0.7884548104956267,0.48717948717948717,0.6333333333333333,"[[100  40]
 [ 22  38]]",0.6,0.7030612244897959,0.5294117647058824,0.6,0.6983333333333333,0.8066763848396501,0.4090909090909091,0.75,"[[75 65]
 [15 45]]",0.725,0.8224489795918367,0.5669291338582678,0.7250000000000001,0.6984523809523808,0.8941274468971261,0.5373134328358209,0.6,"[[109  31]
 [ 24  36]]",0.665,0.7836734693877551,0.5442176870748299,0.665,0.6946428571428571,0.8780049979175343,0.45977011494252873,0.6666666666666666,"[[93 47]
 [20 40]]",0.62,0.746938775510204,0.5064935064935064,0.62,0.6405952380952381,0.8410828821324449,0.4148936170212766,0.65,"[[85 55]
 [21 39]]"
0.77,0.7271428571428571,0.6290322580645162,0.7699999999999999,0.8041666666666667,0.7843731778425658,0.609375,0.65,"[[115  25]
 [ 21  39]]",0.695,0.7071428571428572,0.5960264900662252,0.695,0.7945238095238096,0.7958433985839234,0.4945054945054945,0.75,"[[94 46]
 [15 45]]",0.735,0.7612244897959184,0.6131386861313869,0.735,0.7588095238095238,0.8619033735943357,0.5454545454545454,0.7,"[[105  35]
 [ 18  42]]",0.69,0.75,0.5753424657534246,0.69,0.7496428571428572,0.8506205747605163,0.4883720930232558,0.7,"[[96 44]
 [18 42]]",0.775,0.7693877551020408,0.6666666666666665,0.775,0.8279761904761905,0.8581840899625156,0.6,0.75,"[[110  30]
 [ 15  45]]"
0.69,0.69,0.5921052631578948,0.69,0.7534523809523809,0.7680369290573372,0.4891304347826087,0.75,"[[93 47]
 [15 45]]",0.52,0.6510204081632653,0.52,0.52,0.7448809523809523,0.7673427738442316,0.37142857142857144,0.8666666666666667,"[[52 88]
 [ 8 52]]",0.6,0.7326530612244898,0.5,0.6,0.6749999999999999,0.8569429404414828,0.4,0.6666666666666666,"[[80 60]
 [20 40]]",0.6,0.7204081632653061,0.5294117647058824,0.6,0.7141666666666667,0.8642690545605998,0.4090909090909091,0.75,"[[75 65]
 [15 45]]",0.5,0.7030612244897959,0.4680851063829787,0.5,0.6816666666666666,0.8248521449396086,0.34375,0.7333333333333333,"[[56 84]
 [16 44]]"
0.77,0.7442857142857143,0.6166666666666667,0.7699999999999999,0.766904761904762,0.7851895043731778,0.6166666666666667,0.6166666666666667,"[[117  23]
 [ 23  37]]",0.645,0.7316326530612245,0.5234899328859061,0.645,0.736904761904762,0.8111620158267389,0.43820224719101125,0.65,"[[90 50]
 [21 39]]",0.66,0.763265306122449,0.5277777777777778,0.66,0.7042857142857143,0.8628862973760935,0.4523809523809524,0.6333333333333333,"[[94 46]
 [22 38]]",0.72,0.7704081632653061,0.5757575757575758,0.72,0.7327380952380953,0.8605456059975011,0.5277777777777778,0.6333333333333333,"[[106  34]
 [ 22  38]]",0.625,0.7622448979591837,0.4897959183673469,0.625,0.6708333333333334,0.8551353602665557,0.41379310344827586,0.6,"[[89 51]
 [24 36]]"
0.75,0.7457142857142857,0.6153846153846153,0.75,0.8069047619047619,0.7831195335276968,0.5714285714285714,0.6666666666666666,"[[110  30]
 [ 20  40]]",0.64,0.7285714285714285,0.5443037974683543,0.64,0.7807142857142857,0.79637234485631,0.4387755102040816,0.7166666666666667,"[[85 55]
 [17 43]]",0.68,0.7775510204081633,0.5294117647058824,0.68,0.7097619047619048,0.8558725531028738,0.47368421052631576,0.6,"[[100  40]
 [ 24  36]]",0.72,0.8040816326530612,0.5757575757575758,0.72,0.7480952380952381,0.8699916701374427,0.5277777777777778,0.6333333333333333,"[[106  34]
 [ 22  38]]",0.675,0.7551020408163265,0.5454545454545455,0.675,0.751547619047619,0.8231945022907122,0.46987951807228917,0.65,"[[96 44]
 [21 39]]"
0.73,0.7571428571428571,0.564516129032258,0.7299999999999999,0.7657142857142858,0.805840621963071,0.546875,0.5833333333333334,"[[111  29]
 [ 25  35]]",0.67,0.7377551020408163,0.56,0.67,0.7595238095238095,0.8235401915868389,0.4666666666666667,0.7,"[[92 48]
 [18 42]]",0.68,0.7642857142857142,0.5294117647058824,0.68,0.7272619047619048,0.8506997084548105,0.47368421052631576,0.6,"[[100  40]
 [ 24  36]]",0.67,0.7887755102040817,0.5285714285714286,0.67,0.6963095238095237,0.8783256976259891,0.4625,0.6166666666666667,"[[97 43]
 [23 37]]",0.615,0.7346938775510204,0.5497076023391813,0.615,0.7229761904761904,0.8138817159516868,0.42342342342342343,0.7833333333333333,"[[76 64]
 [13 47]]"
0.69,0.7528571428571429,0.5507246376811593,0.69,0.7598809523809523,0.7877356656948494,0.48717948717948717,0.6333333333333333,"[[100  40]
 [ 22  38]]",0.635,0.746938775510204,0.535031847133758,0.635,0.7513095238095238,0.8191878384006663,0.4329896907216495,0.7,"[[85 55]
 [18 42]]",0.655,0.7673469387755102,0.543046357615894,0.655,0.710952380952381,0.861478550603915,0.45054945054945056,0.6833333333333333,"[[90 50]
 [19 41]]",0.66,0.7551020408163265,0.5526315789473684,0.66,0.7163095238095238,0.8573635985006247,0.45652173913043476,0.7,"[[90 50]
 [18 42]]",0.625,0.7785714285714286,0.5341614906832298,0.625,0.7439285714285714,0.8473677634319033,0.42574257425742573,0.7166666666666667,"[[82 58]
 [17 43]]"
0.705,0.7542857142857143,0.549618320610687,0.705,0.7591666666666665,0.7975996112730807,0.5070422535211268,0.6,"[[105  35]
 [ 24  36]]",0.655,0.7520408163265306,0.5490196078431372,0.655,0.755595238095238,0.81381091211995,0.45161290322580644,0.7,"[[89 51]
 [18 42]]",0.715,0.8255102040816327,0.5777777777777778,0.715,0.7529761904761905,0.8944148271553519,0.52,0.65,"[[104  36]
 [ 21  39]]",0.69,0.7846938775510204,0.5866666666666667,0.69,0.7441666666666666,0.8811286963765098,0.4888888888888889,0.7333333333333333,"[[94 46]
 [16 44]]",0.655,0.7755102040816326,0.4963503649635037,0.655,0.7167857142857142,0.8424573094543939,0.44155844155844154,0.5666666666666667,"[[97 43]
 [26 34]]"
0.735,0.73,0.5954198473282443,0.735,0.725952380952381,0.8058503401360544,0.5492957746478874,0.65,"[[108  32]
 [ 21  39]]",0.62,0.7224489795918367,0.5581395348837209,0.62,0.7357142857142858,0.8134527280299875,0.42857142857142855,0.8,"[[76 64]
 [12 48]]",0.68,0.763265306122449,0.5733333333333334,0.68,0.7148809523809523,0.8761724281549355,0.4777777777777778,0.7166666666666667,"[[93 47]
 [17 43]]",0.665,0.7561224489795918,0.5503355704697988,0.665,0.7354761904761904,0.8747938359017077,0.4606741573033708,0.6833333333333333,"[[92 48]
 [19 41]]",0.665,0.7642857142857142,0.5442176870748299,0.665,0.7104761904761904,0.8595793419408579,0.45977011494252873,0.6666666666666666,"[[93 47]
 [20 40]]"
