Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.765,0.9071428571428571,0.5436893203883496,0.765,0.7989285714285713,0.9663411078717201,0.6511627906976745,0.4666666666666667,"[[125  15]
 [ 32  28]]",0.765,0.9102040816326531,0.6050420168067226,0.765,0.7942857142857143,0.976826322365681,0.6101694915254238,0.6,"[[117  23]
 [ 24  36]]",0.76,0.9255102040816326,0.5384615384615385,0.76,0.8052380952380952,0.9834860474802166,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.78,0.926530612244898,0.6000000000000001,0.78,0.8065476190476192,0.9823448563098709,0.66,0.55,"[[123  17]
 [ 27  33]]",0.735,0.9132653061224489,0.4854368932038835,0.735,0.7910714285714286,0.9765889212827988,0.5813953488372093,0.4166666666666667,"[[122  18]
 [ 35  25]]"
0.75,0.9157142857142857,0.4791666666666667,0.75,0.7526190476190479,0.9693002915451895,0.6388888888888888,0.38333333333333336,"[[127  13]
 [ 37  23]]",0.77,0.926530612244898,0.5964912280701755,0.7699999999999999,0.768095238095238,0.9825322782174093,0.6296296296296297,0.5666666666666667,"[[120  20]
 [ 26  34]]",0.755,0.9469387755102041,0.5333333333333333,0.755,0.7704761904761904,0.9852394835485214,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.775,0.9459183673469388,0.5544554455445545,0.775,0.7730952380952381,0.9866305705955851,0.6829268292682927,0.4666666666666667,"[[127  13]
 [ 32  28]]",0.77,0.939795918367347,0.54,0.7699999999999999,0.7697619047619048,0.9841482715535194,0.675,0.45,"[[127  13]
 [ 33  27]]"
0.795,0.9128571428571428,0.5858585858585859,0.795,0.8229761904761905,0.967910592808552,0.7435897435897436,0.48333333333333334,"[[130  10]
 [ 31  29]]",0.77,0.9204081632653062,0.5660377358490566,0.7699999999999999,0.8154761904761905,0.9764972927946689,0.6521739130434783,0.5,"[[124  16]
 [ 30  30]]",0.82,0.9346938775510204,0.64,0.82,0.8285714285714285,0.9834568929612661,0.8,0.5333333333333333,"[[132   8]
 [ 28  32]]",0.805,0.9316326530612244,0.6138613861386139,0.805,0.832857142857143,0.981649312786339,0.7560975609756098,0.5166666666666667,"[[130  10]
 [ 29  31]]",0.795,0.9326530612244898,0.5858585858585859,0.795,0.8130952380952381,0.982115785089546,0.7435897435897436,0.48333333333333334,"[[130  10]
 [ 31  29]]"
0.74,0.9157142857142857,0.5185185185185186,0.74,0.7677380952380951,0.962312925170068,0.5833333333333334,0.4666666666666667,"[[120  20]
 [ 32  28]]",0.725,0.9285714285714286,0.5378151260504201,0.7250000000000001,0.7538095238095238,0.9812328196584756,0.5423728813559322,0.5333333333333333,"[[113  27]
 [ 28  32]]",0.745,0.939795918367347,0.5321100917431193,0.745,0.7794047619047618,0.9831945022907123,0.5918367346938775,0.48333333333333334,"[[120  20]
 [ 31  29]]",0.745,0.9336734693877551,0.5405405405405405,0.745,0.7765476190476192,0.9817367763431903,0.5882352941176471,0.5,"[[119  21]
 [ 30  30]]",0.745,0.9316326530612244,0.5142857142857143,0.745,0.7765476190476189,0.980512286547272,0.6,0.45,"[[122  18]
 [ 33  27]]"
0.765,0.9157142857142857,0.5436893203883496,0.765,0.7579761904761905,0.9707871720116619,0.6511627906976745,0.4666666666666667,"[[125  15]
 [ 32  28]]",0.75,0.9326530612244898,0.537037037037037,0.75,0.7604761904761905,0.9842565597667638,0.6041666666666666,0.48333333333333334,"[[121  19]
 [ 31  29]]",0.755,0.9428571428571428,0.5050505050505051,0.755,0.7471428571428571,0.987542690545606,0.6410256410256411,0.4166666666666667,"[[126  14]
 [ 35  25]]",0.74,0.9377551020408164,0.5272727272727273,0.74,0.7429761904761905,0.9852436484798,0.58,0.48333333333333334,"[[119  21]
 [ 31  29]]",0.75,0.9408163265306122,0.5283018867924527,0.75,0.7640476190476191,0.9846064139941691,0.6086956521739131,0.4666666666666667,"[[122  18]
 [ 32  28]]"
0.8,0.9028571428571428,0.6491228070175439,0.8000000000000002,0.8608333333333333,0.9673275024295432,0.6851851851851852,0.6166666666666667,"[[123  17]
 [ 23  37]]",0.76,0.9295918367346939,0.6190476190476191,0.76,0.8208333333333333,0.9816284881299459,0.5909090909090909,0.65,"[[113  27]
 [ 21  39]]",0.785,0.9408163265306122,0.6260869565217392,0.785,0.8526190476190476,0.9850145772594753,0.6545454545454545,0.6,"[[121  19]
 [ 24  36]]",0.795,0.9326530612244898,0.6371681415929203,0.795,0.8654761904761905,0.9856559766763849,0.6792452830188679,0.6,"[[123  17]
 [ 24  36]]",0.775,0.9244897959183673,0.6086956521739131,0.775,0.8457142857142856,0.9811286963765098,0.6363636363636364,0.5833333333333334,"[[120  20]
 [ 25  35]]"
0.76,0.9242857142857143,0.5636363636363637,0.76,0.770952380952381,0.971379980563654,0.62,0.5166666666666667,"[[121  19]
 [ 29  31]]",0.725,0.9408163265306122,0.52991452991453,0.7250000000000001,0.7273809523809522,0.9837359433569346,0.543859649122807,0.5166666666666667,"[[114  26]
 [ 29  31]]",0.755,0.9438775510204082,0.5333333333333333,0.755,0.7542857142857143,0.9849312786339024,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.76,0.9408163265306122,0.5384615384615385,0.76,0.7591666666666667,0.9844189920866306,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.73,0.9428571428571428,0.509090909090909,0.7299999999999999,0.7296428571428571,0.9828654727197,0.56,0.4666666666666667,"[[118  22]
 [ 32  28]]"
0.78,0.9014285714285715,0.576923076923077,0.78,0.8255952380952382,0.9646938775510204,0.6818181818181818,0.5,"[[126  14]
 [ 30  30]]",0.79,0.923469387755102,0.6111111111111112,0.79,0.8338095238095238,0.9772428154935444,0.6875,0.55,"[[125  15]
 [ 27  33]]",0.795,0.9306122448979591,0.6019417475728156,0.795,0.836547619047619,0.9812161599333612,0.7209302325581395,0.5166666666666667,"[[128  12]
 [ 29  31]]",0.78,0.9306122448979591,0.576923076923077,0.78,0.8284523809523809,0.9813161182840483,0.6818181818181818,0.5,"[[126  14]
 [ 30  30]]",0.78,0.9295918367346939,0.5686274509803921,0.78,0.8280952380952381,0.9773136193252812,0.6904761904761905,0.48333333333333334,"[[127  13]
 [ 31  29]]"
0.79,0.9128571428571428,0.6250000000000001,0.79,0.8570238095238095,0.9697181729834791,0.6730769230769231,0.5833333333333334,"[[123  17]
 [ 25  35]]",0.765,0.9224489795918367,0.6050420168067226,0.765,0.8280952380952381,0.9795835068721366,0.6101694915254238,0.6,"[[117  23]
 [ 24  36]]",0.775,0.9326530612244898,0.5945945945945946,0.775,0.8502380952380952,0.9837359433569345,0.6470588235294118,0.55,"[[122  18]
 [ 27  33]]",0.775,0.9285714285714286,0.6017699115044247,0.775,0.8429761904761905,0.9827363598500625,0.6415094339622641,0.5666666666666667,"[[121  19]
 [ 26  34]]",0.765,0.926530612244898,0.5765765765765766,0.765,0.8359523809523809,0.9809620991253644,0.6274509803921569,0.5333333333333333,"[[121  19]
 [ 28  32]]"
0.735,0.9185714285714286,0.46464646464646464,0.735,0.7872619047619048,0.9671720116618076,0.5897435897435898,0.38333333333333336,"[[124  16]
 [ 37  23]]",0.76,0.9285714285714286,0.5932203389830508,0.76,0.8279761904761904,0.9809995835068722,0.603448275862069,0.5833333333333334,"[[117  23]
 [ 25  35]]",0.755,0.9357142857142857,0.5242718446601942,0.755,0.8038095238095239,0.9822615576842983,0.627906976744186,0.45,"[[124  16]
 [ 33  27]]",0.76,0.9306122448979591,0.5294117647058824,0.76,0.7976190476190476,0.9806184922948772,0.6428571428571429,0.45,"[[125  15]
 [ 33  27]]",0.755,0.9275510204081633,0.5242718446601942,0.755,0.8022619047619048,0.9820949604331529,0.627906976744186,0.45,"[[124  16]
 [ 33  27]]"
