Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.7395833333333334,0.9821428571428571,0.576271186440678,0.7395833333333334,0.7368686868686869,0.9992499687486979,0.5862068965517241,0.5666666666666667,"[[54 12]
 [13 17]]",0.6979166666666666,0.9935622317596566,0.5671641791044775,0.6979166666666666,0.7095959595959596,0.9998710604358158,0.5135135135135135,0.6333333333333333,"[[48 18]
 [11 19]]",0.7395833333333334,0.9914163090128756,0.5901639344262295,0.7395833333333334,0.7348484848484849,0.9998894803735564,0.5806451612903226,0.6,"[[53 13]
 [12 18]]",0.71875,0.9935622317596566,0.5423728813559322,0.71875,0.7343434343434343,0.9999447401867781,0.5517241379310345,0.5333333333333333,"[[53 13]
 [14 16]]",0.7291666666666666,0.9935622317596566,0.5357142857142857,0.7291666666666665,0.7363636363636364,0.9999447401867783,0.5769230769230769,0.5,"[[55 11]
 [15 15]]"
0.8333333333333334,0.9791666666666666,0.6666666666666667,0.8333333333333334,0.7828282828282828,0.997916579857494,0.8888888888888888,0.5333333333333333,"[[64  2]
 [14 16]]",0.8333333333333334,0.9914163090128756,0.68,0.8333333333333334,0.8373737373737373,0.9998710604358158,0.85,0.5666666666666667,"[[63  3]
 [13 17]]",0.84375,0.9914163090128756,0.6938775510204083,0.84375,0.8111111111111111,0.9998710604358156,0.8947368421052632,0.5666666666666667,"[[64  2]
 [13 17]]",0.8333333333333334,0.9957081545064378,0.6666666666666667,0.8333333333333334,0.8277777777777778,0.9999447401867781,0.8888888888888888,0.5333333333333333,"[[64  2]
 [14 16]]",0.84375,0.9892703862660944,0.7058823529411764,0.84375,0.8388888888888888,0.9998158006225939,0.8571428571428571,0.6,"[[63  3]
 [12 18]]"
0.8020833333333334,0.9761904761904762,0.5957446808510638,0.8020833333333334,0.6843434343434345,0.9993749739572482,0.8235294117647058,0.4666666666666667,"[[63  3]
 [16 14]]",0.7291666666666666,0.9978540772532188,0.5,0.7291666666666665,0.6984848484848486,0.9999815800622595,0.5909090909090909,0.43333333333333335,"[[57  9]
 [17 13]]",0.75,0.9957081545064378,0.5199999999999999,0.75,0.6328282828282827,1.0,0.65,0.43333333333333335,"[[59  7]
 [17 13]]",0.75,0.9957081545064378,0.5,0.75,0.6873737373737374,1.0,0.6666666666666666,0.4,"[[60  6]
 [18 12]]",0.7708333333333334,0.9914163090128756,0.5416666666666666,0.7708333333333333,0.701010101010101,0.9999815800622595,0.7222222222222222,0.43333333333333335,"[[61  5]
 [17 13]]"
0.7916666666666666,0.9761904761904762,0.6296296296296297,0.7916666666666666,0.7808080808080808,0.9983332638859953,0.7083333333333334,0.5666666666666667,"[[59  7]
 [13 17]]",0.7708333333333334,0.9978540772532188,0.6333333333333333,0.7708333333333333,0.7484848484848484,0.9999631601245188,0.6333333333333333,0.6333333333333333,"[[55 11]
 [11 19]]",0.78125,0.9978540772532188,0.5714285714285714,0.78125,0.7863636363636365,1.0,0.7368421052631579,0.4666666666666667,"[[61  5]
 [16 14]]",0.7916666666666666,0.9935622317596566,0.6,0.7916666666666666,0.7742424242424243,0.9999815800622595,0.75,0.5,"[[61  5]
 [15 15]]",0.8020833333333334,0.9914163090128756,0.6274509803921569,0.8020833333333334,0.798989898989899,0.9999263202490376,0.7619047619047619,0.5333333333333333,"[[61  5]
 [14 16]]"
0.78125,0.9940476190476191,0.5714285714285714,0.78125,0.7565656565656566,0.998208258677445,0.7368421052631579,0.4666666666666667,"[[61  5]
 [16 14]]",0.6979166666666666,0.9935622317596566,0.5245901639344263,0.6979166666666666,0.7505050505050505,0.9992816224281162,0.5161290322580645,0.5333333333333333,"[[51 15]
 [14 16]]",0.8229166666666666,0.9957081545064378,0.6666666666666666,0.8229166666666666,0.7616161616161616,0.9997973806848534,0.8095238095238095,0.5666666666666667,"[[62  4]
 [13 17]]",0.8020833333333334,0.9957081545064378,0.6274509803921569,0.8020833333333334,0.7595959595959596,1.0,0.7619047619047619,0.5333333333333333,"[[61  5]
 [14 16]]",0.8020833333333334,0.9935622317596566,0.6415094339622641,0.8020833333333334,0.7782828282828284,0.9993000423658568,0.7391304347826086,0.5666666666666667,"[[60  6]
 [13 17]]"
0.7708333333333334,0.9791666666666666,0.576923076923077,0.7708333333333333,0.7313131313131312,0.9979374140589191,0.6818181818181818,0.5,"[[59  7]
 [15 15]]",0.8229166666666666,0.9978540772532188,0.7017543859649122,0.8229166666666666,0.7585858585858585,0.9999263202490375,0.7407407407407407,0.6666666666666666,"[[59  7]
 [10 20]]",0.7916666666666666,0.9957081545064378,0.6296296296296297,0.7916666666666666,0.7686868686868688,0.9999631601245188,0.7083333333333334,0.5666666666666667,"[[59  7]
 [13 17]]",0.75,0.9914163090128756,0.5199999999999999,0.75,0.7803030303030303,0.9995302915876145,0.65,0.43333333333333335,"[[59  7]
 [17 13]]",0.7916666666666666,0.9957081545064378,0.6153846153846153,0.7916666666666666,0.7934343434343435,0.9998342205603346,0.7272727272727273,0.5333333333333333,"[[60  6]
 [14 16]]"
0.7604166666666666,0.9851190476190477,0.5490196078431373,0.7604166666666666,0.752020202020202,0.9994166423600983,0.6666666666666666,0.4666666666666667,"[[59  7]
 [16 14]]",0.75,0.9935622317596566,0.5862068965517241,0.75,0.7368686868686869,0.9998158006225939,0.6071428571428571,0.5666666666666667,"[[55 11]
 [13 17]]",0.7708333333333334,0.9914163090128756,0.56,0.7708333333333333,0.751010101010101,1.0,0.7,0.4666666666666667,"[[60  6]
 [16 14]]",0.7708333333333334,0.9935622317596566,0.576923076923077,0.7708333333333333,0.7858585858585859,1.0,0.6818181818181818,0.5,"[[59  7]
 [15 15]]",0.7604166666666666,0.9914163090128756,0.5818181818181818,0.7604166666666666,0.7479797979797979,1.0,0.64,0.5333333333333333,"[[57  9]
 [14 16]]"
0.75,0.9910714285714286,0.5714285714285715,0.75,0.7641414141414141,0.9994999791657986,0.6153846153846154,0.5333333333333333,"[[56 10]
 [14 16]]",0.7083333333333334,0.9978540772532188,0.5625,0.7083333333333334,0.7606060606060607,0.9999815800622595,0.5294117647058824,0.6,"[[50 16]
 [12 18]]",0.7291666666666666,0.9978540772532188,0.5357142857142857,0.7291666666666665,0.7500000000000001,0.9999815800622593,0.5769230769230769,0.5,"[[55 11]
 [15 15]]",0.7395833333333334,0.9914163090128756,0.5283018867924527,0.7395833333333334,0.7318181818181818,0.9999815800622595,0.6086956521739131,0.4666666666666667,"[[57  9]
 [16 14]]",0.7083333333333334,0.9957081545064378,0.5,0.7083333333333334,0.7434343434343434,1.0,0.5384615384615384,0.4666666666666667,"[[54 12]
 [16 14]]"
0.7083333333333334,0.9880952380952381,0.4814814814814815,0.7083333333333334,0.6661616161616162,0.9994166423600983,0.5416666666666666,0.43333333333333335,"[[55 11]
 [17 13]]",0.6666666666666666,0.9935622317596566,0.4666666666666667,0.6666666666666666,0.6540404040404041,0.9999447401867783,0.4666666666666667,0.4666666666666667,"[[50 16]
 [16 14]]",0.6875,1.0,0.4642857142857143,0.6875,0.6303030303030303,1.0,0.5,0.43333333333333335,"[[53 13]
 [17 13]]",0.6770833333333334,1.0,0.4363636363636364,0.6770833333333334,0.6292929292929293,1.0,0.48,0.4,"[[53 13]
 [18 12]]",0.6875,0.9978540772532188,0.4444444444444445,0.6875,0.6641414141414143,1.0,0.5,0.4,"[[54 12]
 [18 12]]"
0.7708333333333334,0.9791666666666666,0.56,0.7708333333333333,0.7318181818181818,0.9989999583315972,0.7,0.4666666666666667,"[[60  6]
 [16 14]]",0.6979166666666666,0.9935622317596566,0.5245901639344263,0.6979166666666666,0.7035353535353536,0.9998342205603346,0.5161290322580645,0.5333333333333333,"[[51 15]
 [14 16]]",0.7604166666666666,0.9935622317596566,0.5106382978723405,0.7604166666666666,0.7338383838383838,0.9999815800622595,0.7058823529411765,0.4,"[[61  5]
 [18 12]]",0.78125,0.9892703862660944,0.5531914893617021,0.78125,0.7883838383838384,0.9999447401867781,0.7647058823529411,0.43333333333333335,"[[62  4]
 [17 13]]",0.7708333333333334,0.9914163090128756,0.5925925925925926,0.7708333333333333,0.796969696969697,1.0,0.6666666666666666,0.5333333333333333,"[[58  8]
 [14 16]]"
