Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.715,1.0,0.5043478260869565,0.715,0.7935714285714286,1.0,0.5272727272727272,0.48333333333333334,"[[114  26]
 [ 31  29]]",0.705,1.0,0.4957264957264957,0.705,0.7783333333333333,1.0,0.5087719298245614,0.48333333333333334,"[[112  28]
 [ 31  29]]",0.705,1.0,0.4957264957264957,0.705,0.7879761904761904,1.0,0.5087719298245614,0.48333333333333334,"[[112  28]
 [ 31  29]]",0.745,1.0,0.5641025641025641,0.745,0.773452380952381,1.0,0.5789473684210527,0.55,"[[116  24]
 [ 27  33]]",0.74,1.0,0.543859649122807,0.74,0.7795238095238095,1.0,0.5740740740740741,0.5166666666666667,"[[117  23]
 [ 29  31]]"
0.77,1.0,0.5740740740740741,0.7699999999999999,0.8345238095238094,1.0,0.6458333333333334,0.5166666666666667,"[[123  17]
 [ 29  31]]",0.775,1.0,0.5871559633027523,0.775,0.8080952380952383,1.0,0.6530612244897959,0.5333333333333333,"[[123  17]
 [ 28  32]]",0.775,1.0,0.6017699115044247,0.775,0.8134523809523809,1.0,0.6415094339622641,0.5666666666666667,"[[121  19]
 [ 26  34]]",0.775,1.0,0.5945945945945946,0.775,0.8166666666666668,1.0,0.6470588235294118,0.55,"[[122  18]
 [ 27  33]]",0.795,1.0,0.6238532110091742,0.795,0.820952380952381,1.0,0.6938775510204082,0.5666666666666667,"[[125  15]
 [ 26  34]]"
0.715,1.0,0.4466019417475728,0.715,0.7045238095238096,1.0,0.5348837209302325,0.38333333333333336,"[[120  20]
 [ 37  23]]",0.725,1.0,0.4554455445544555,0.7250000000000001,0.7069047619047619,1.0,0.5609756097560976,0.38333333333333336,"[[122  18]
 [ 37  23]]",0.725,1.0,0.4954128440366973,0.7250000000000001,0.6946428571428571,1.0,0.5510204081632653,0.45,"[[118  22]
 [ 33  27]]",0.69,1.0,0.44642857142857145,0.69,0.6961904761904762,1.0,0.4807692307692308,0.4166666666666667,"[[113  27]
 [ 35  25]]",0.695,1.0,0.46017699115044247,0.695,0.6895238095238095,1.0,0.49056603773584906,0.43333333333333335,"[[113  27]
 [ 34  26]]"
0.72,1.0,0.5254237288135593,0.72,0.792142857142857,1.0,0.5344827586206896,0.5166666666666667,"[[113  27]
 [ 29  31]]",0.73,1.0,0.5714285714285713,0.7299999999999999,0.8227380952380952,1.0,0.5454545454545454,0.6,"[[110  30]
 [ 24  36]]",0.685,1.0,0.47058823529411764,0.685,0.7661904761904761,1.0,0.4745762711864407,0.4666666666666667,"[[109  31]
 [ 32  28]]",0.725,1.0,0.52991452991453,0.7250000000000001,0.7776190476190477,1.0,0.543859649122807,0.5166666666666667,"[[114  26]
 [ 29  31]]",0.73,1.0,0.5344827586206896,0.7299999999999999,0.785,1.0,0.5535714285714286,0.5166666666666667,"[[115  25]
 [ 29  31]]"
0.77,1.0,0.5576923076923077,0.7699999999999999,0.814047619047619,1.0,0.6590909090909091,0.48333333333333334,"[[125  15]
 [ 31  29]]",0.76,1.0,0.5862068965517241,0.76,0.8166666666666668,1.0,0.6071428571428571,0.5666666666666667,"[[118  22]
 [ 26  34]]",0.765,1.0,0.5607476635514019,0.765,0.8251190476190476,1.0,0.6382978723404256,0.5,"[[123  17]
 [ 30  30]]",0.77,1.0,0.5892857142857143,0.7699999999999999,0.8146428571428572,1.0,0.6346153846153846,0.55,"[[121  19]
 [ 27  33]]",0.765,1.0,0.5607476635514019,0.765,0.8238095238095238,1.0,0.6382978723404256,0.5,"[[123  17]
 [ 30  30]]"
0.79,1.0,0.6111111111111112,0.79,0.7836904761904762,1.0,0.6875,0.55,"[[125  15]
 [ 27  33]]",0.765,1.0,0.5688073394495414,0.765,0.7813095238095238,1.0,0.6326530612244898,0.5166666666666667,"[[122  18]
 [ 29  31]]",0.75,1.0,0.537037037037037,0.75,0.7648809523809523,1.0,0.6041666666666666,0.48333333333333334,"[[121  19]
 [ 31  29]]",0.765,1.0,0.5607476635514019,0.765,0.780357142857143,1.0,0.6382978723404256,0.5,"[[123  17]
 [ 30  30]]",0.765,1.0,0.5523809523809524,0.765,0.784047619047619,1.0,0.6444444444444445,0.48333333333333334,"[[124  16]
 [ 31  29]]"
0.795,1.0,0.6168224299065421,0.795,0.831547619047619,1.0,0.7021276595744681,0.55,"[[126  14]
 [ 27  33]]",0.75,1.0,0.537037037037037,0.75,0.8115476190476191,1.0,0.6041666666666666,0.48333333333333334,"[[121  19]
 [ 31  29]]",0.79,1.0,0.588235294117647,0.79,0.8126190476190477,1.0,0.7142857142857143,0.5,"[[128  12]
 [ 30  30]]",0.81,1.0,0.6274509803921569,0.81,0.8386904761904761,1.0,0.7619047619047619,0.5333333333333333,"[[130  10]
 [ 28  32]]",0.79,1.0,0.588235294117647,0.79,0.8167857142857143,1.0,0.7142857142857143,0.5,"[[128  12]
 [ 30  30]]"
0.795,1.0,0.6019417475728156,0.795,0.8085714285714285,1.0,0.7209302325581395,0.5166666666666667,"[[128  12]
 [ 29  31]]",0.79,1.0,0.6181818181818183,0.79,0.8029761904761905,1.0,0.68,0.5666666666666667,"[[124  16]
 [ 26  34]]",0.78,1.0,0.6000000000000001,0.78,0.7801190476190477,1.0,0.66,0.55,"[[123  17]
 [ 27  33]]",0.795,1.0,0.6019417475728156,0.795,0.7851190476190475,1.0,0.7209302325581395,0.5166666666666667,"[[128  12]
 [ 29  31]]",0.795,1.0,0.6095238095238096,0.795,0.7933333333333333,1.0,0.7111111111111111,0.5333333333333333,"[[127  13]
 [ 28  32]]"
0.73,1.0,0.5,0.7299999999999999,0.7623809523809525,1.0,0.5625,0.45,"[[119  21]
 [ 33  27]]",0.75,1.0,0.5689655172413793,0.75,0.7725,1.0,0.5892857142857143,0.55,"[[117  23]
 [ 27  33]]",0.75,1.0,0.5535714285714286,0.75,0.7655952380952381,1.0,0.5961538461538461,0.5166666666666667,"[[119  21]
 [ 29  31]]",0.775,1.0,0.5714285714285715,0.775,0.775595238095238,1.0,0.6666666666666666,0.5,"[[125  15]
 [ 30  30]]",0.745,1.0,0.5321100917431193,0.745,0.7828571428571429,1.0,0.5918367346938775,0.48333333333333334,"[[120  20]
 [ 31  29]]"
0.765,1.0,0.5688073394495414,0.765,0.7897619047619049,1.0,0.6326530612244898,0.5166666666666667,"[[122  18]
 [ 29  31]]",0.715,1.0,0.48648648648648646,0.715,0.7839285714285714,1.0,0.5294117647058824,0.45,"[[116  24]
 [ 33  27]]",0.765,1.0,0.591304347826087,0.765,0.7884523809523808,1.0,0.6181818181818182,0.5666666666666667,"[[119  21]
 [ 26  34]]",0.74,1.0,0.543859649122807,0.74,0.800952380952381,1.0,0.5740740740740741,0.5166666666666667,"[[117  23]
 [ 29  31]]",0.74,1.0,0.5357142857142857,0.74,0.7828571428571428,1.0,0.5769230769230769,0.5,"[[118  22]
 [ 30  30]]"
