Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.79,1.0,0.5961538461538463,0.79,0.8036904761904762,1.0,0.7045454545454546,0.5166666666666667,"[[127  13]
 [ 29  31]]",0.77,1.0,0.5740740740740741,0.7699999999999999,0.7861904761904762,1.0,0.6458333333333334,0.5166666666666667,"[[123  17]
 [ 29  31]]",0.765,1.0,0.5607476635514019,0.765,0.7835714285714286,1.0,0.6382978723404256,0.5,"[[123  17]
 [ 30  30]]",0.755,1.0,0.5504587155963303,0.755,0.7807142857142857,1.0,0.6122448979591837,0.5,"[[121  19]
 [ 30  30]]",0.765,1.0,0.5840707964601771,0.765,0.7795238095238096,1.0,0.6226415094339622,0.55,"[[120  20]
 [ 27  33]]"
0.73,1.0,0.5178571428571428,0.7299999999999999,0.7666666666666667,1.0,0.5576923076923077,0.48333333333333334,"[[117  23]
 [ 31  29]]",0.675,1.0,0.46280991735537197,0.675,0.7540476190476191,1.0,0.45901639344262296,0.4666666666666667,"[[107  33]
 [ 32  28]]",0.72,1.0,0.4615384615384615,0.72,0.7670238095238094,1.0,0.5454545454545454,0.4,"[[120  20]
 [ 36  24]]",0.73,1.0,0.5178571428571428,0.7299999999999999,0.7682142857142857,1.0,0.5576923076923077,0.48333333333333334,"[[117  23]
 [ 31  29]]",0.71,1.0,0.4912280701754386,0.7100000000000001,0.7640476190476191,1.0,0.5185185185185185,0.4666666666666667,"[[114  26]
 [ 32  28]]"
0.77,1.0,0.5660377358490566,0.7699999999999999,0.8067857142857142,1.0,0.6521739130434783,0.5,"[[124  16]
 [ 30  30]]",0.77,1.0,0.5892857142857143,0.7699999999999999,0.7842857142857143,1.0,0.6346153846153846,0.55,"[[121  19]
 [ 27  33]]",0.76,1.0,0.5471698113207547,0.76,0.8007142857142857,1.0,0.6304347826086957,0.48333333333333334,"[[123  17]
 [ 31  29]]",0.765,1.0,0.5436893203883496,0.765,0.810595238095238,1.0,0.6511627906976745,0.4666666666666667,"[[125  15]
 [ 32  28]]",0.745,1.0,0.5405405405405405,0.745,0.7917857142857143,1.0,0.5882352941176471,0.5,"[[119  21]
 [ 30  30]]"
0.745,1.0,0.4742268041237113,0.745,0.7848809523809523,1.0,0.6216216216216216,0.38333333333333336,"[[126  14]
 [ 37  23]]",0.755,1.0,0.5504587155963303,0.755,0.7560714285714286,1.0,0.6122448979591837,0.5,"[[121  19]
 [ 30  30]]",0.765,1.0,0.5346534653465347,0.765,0.7726190476190475,1.0,0.6585365853658537,0.45,"[[126  14]
 [ 33  27]]",0.745,1.0,0.5142857142857143,0.745,0.7711904761904761,1.0,0.6,0.45,"[[122  18]
 [ 33  27]]",0.74,1.0,0.5,0.74,0.7772619047619047,1.0,0.5909090909090909,0.43333333333333335,"[[122  18]
 [ 34  26]]"
0.77,1.0,0.5740740740740741,0.7699999999999999,0.7408333333333335,1.0,0.6458333333333334,0.5166666666666667,"[[123  17]
 [ 29  31]]",0.74,1.0,0.543859649122807,0.74,0.7592857142857143,1.0,0.5740740740740741,0.5166666666666667,"[[117  23]
 [ 29  31]]",0.745,1.0,0.5405405405405405,0.745,0.7491666666666666,1.0,0.5882352941176471,0.5,"[[119  21]
 [ 30  30]]",0.75,1.0,0.5614035087719299,0.75,0.7689285714285714,1.0,0.5925925925925926,0.5333333333333333,"[[118  22]
 [ 28  32]]",0.775,1.0,0.5945945945945946,0.775,0.7663095238095239,1.0,0.6470588235294118,0.55,"[[122  18]
 [ 27  33]]"
0.8,1.0,0.6153846153846153,0.8000000000000002,0.8229761904761904,1.0,0.7272727272727273,0.5333333333333333,"[[128  12]
 [ 28  32]]",0.77,1.0,0.5660377358490566,0.7699999999999999,0.8042857142857143,1.0,0.6521739130434783,0.5,"[[124  16]
 [ 30  30]]",0.825,1.0,0.6666666666666666,0.825,0.8204761904761905,1.0,0.7777777777777778,0.5833333333333334,"[[130  10]
 [ 25  35]]",0.805,1.0,0.6138613861386139,0.805,0.8282142857142857,1.0,0.7560975609756098,0.5166666666666667,"[[130  10]
 [ 29  31]]",0.795,1.0,0.6095238095238096,0.795,0.8097619047619048,1.0,0.7111111111111111,0.5333333333333333,"[[127  13]
 [ 28  32]]"
0.8,1.0,0.6226415094339623,0.8000000000000002,0.8197619047619047,1.0,0.717391304347826,0.55,"[[127  13]
 [ 27  33]]",0.765,1.0,0.5765765765765766,0.765,0.7888095238095237,1.0,0.6274509803921569,0.5333333333333333,"[[121  19]
 [ 28  32]]",0.775,1.0,0.5871559633027523,0.775,0.7908333333333333,1.0,0.6530612244897959,0.5333333333333333,"[[123  17]
 [ 28  32]]",0.76,1.0,0.5384615384615385,0.76,0.7760714285714286,1.0,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.805,1.0,0.6422018348623854,0.805,0.8075,1.0,0.7142857142857143,0.5833333333333334,"[[126  14]
 [ 25  35]]"
0.74,1.0,0.4693877551020408,0.74,0.7404761904761905,1.0,0.6052631578947368,0.38333333333333336,"[[125  15]
 [ 37  23]]",0.745,1.0,0.5048543689320388,0.745,0.7291666666666667,1.0,0.6046511627906976,0.43333333333333335,"[[123  17]
 [ 34  26]]",0.74,1.0,0.4468085106382979,0.74,0.734404761904762,1.0,0.6176470588235294,0.35,"[[127  13]
 [ 39  21]]",0.73,1.0,0.44897959183673464,0.7299999999999999,0.74,1.0,0.5789473684210527,0.36666666666666664,"[[124  16]
 [ 38  22]]",0.775,1.0,0.5360824742268041,0.775,0.7528571428571429,1.0,0.7027027027027027,0.43333333333333335,"[[129  11]
 [ 34  26]]"
0.78,1.0,0.6071428571428571,0.78,0.8023809523809523,1.0,0.6538461538461539,0.5666666666666667,"[[122  18]
 [ 26  34]]",0.79,1.0,0.6557377049180327,0.79,0.8085714285714286,1.0,0.6451612903225806,0.6666666666666666,"[[118  22]
 [ 20  40]]",0.775,1.0,0.6086956521739131,0.775,0.7971428571428572,1.0,0.6363636363636364,0.5833333333333334,"[[120  20]
 [ 25  35]]",0.755,1.0,0.5882352941176471,0.755,0.7953571428571429,1.0,0.5932203389830508,0.5833333333333334,"[[116  24]
 [ 25  35]]",0.775,1.0,0.6086956521739131,0.775,0.8097619047619048,1.0,0.6363636363636364,0.5833333333333334,"[[120  20]
 [ 25  35]]"
0.735,1.0,0.5137614678899083,0.735,0.7521428571428571,1.0,0.5714285714285714,0.4666666666666667,"[[119  21]
 [ 32  28]]",0.75,1.0,0.5614035087719299,0.75,0.7525,1.0,0.5925925925925926,0.5333333333333333,"[[118  22]
 [ 28  32]]",0.74,1.0,0.543859649122807,0.74,0.7597619047619049,1.0,0.5740740740740741,0.5166666666666667,"[[117  23]
 [ 29  31]]",0.73,1.0,0.5178571428571428,0.7299999999999999,0.7788095238095238,1.0,0.5576923076923077,0.48333333333333334,"[[117  23]
 [ 31  29]]",0.785,1.0,0.6260869565217392,0.785,0.7761904761904762,1.0,0.6545454545454545,0.6,"[[121  19]
 [ 24  36]]"
