Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9514563106796117,1.0,0.7368421052631577,0.9514563106796117,0.9612903225806452,1.0,0.7777777777777778,0.7,"[[91  2]
 [ 3  7]]",0.941747572815534,1.0,0.7,0.941747572815534,0.9741935483870968,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]",0.941747572815534,1.0,0.7,0.941747572815534,0.9559139784946236,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]",0.941747572815534,1.0,0.7,0.941747572815534,0.9559139784946236,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]",0.941747572815534,1.0,0.7,0.941747572815534,0.9666666666666667,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]"
0.941747572815534,1.0,0.7272727272727272,0.941747572815534,0.9817204301075269,1.0,0.6666666666666666,0.8,"[[89  4]
 [ 2  8]]",0.941747572815534,1.0,0.75,0.941747572815534,0.9827956989247312,1.0,0.6428571428571429,0.9,"[[88  5]
 [ 1  9]]",0.9320388349514563,1.0,0.6666666666666666,0.9320388349514563,0.9849462365591397,1.0,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]",0.9320388349514563,1.0,0.6666666666666666,0.9320388349514563,0.9806451612903225,1.0,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]",0.941747572815534,1.0,0.7272727272727272,0.941747572815534,0.9795698924731182,1.0,0.6666666666666666,0.8,"[[89  4]
 [ 2  8]]"
0.941747572815534,1.0,0.7,0.941747572815534,0.9709677419354839,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]",0.9223300970873787,1.0,0.6,0.9223300970873787,0.9634408602150537,1.0,0.6,0.6,"[[89  4]
 [ 4  6]]",0.9320388349514563,1.0,0.631578947368421,0.9320388349514563,0.9580645161290323,1.0,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]",0.9223300970873787,1.0,0.5,0.9223300970873787,0.9591397849462366,1.0,0.6666666666666666,0.4,"[[91  2]
 [ 6  4]]",0.9320388349514563,1.0,0.631578947368421,0.9320388349514563,0.953763440860215,1.0,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]"
0.9514563106796117,1.0,0.7368421052631577,0.9514563106796117,0.9698924731182795,1.0,0.7777777777777778,0.7,"[[91  2]
 [ 3  7]]",0.9514563106796117,1.0,0.7368421052631577,0.9514563106796117,0.9752688172043011,1.0,0.7777777777777778,0.7,"[[91  2]
 [ 3  7]]",0.9514563106796117,1.0,0.7368421052631577,0.9514563106796117,0.9602150537634409,1.0,0.7777777777777778,0.7,"[[91  2]
 [ 3  7]]",0.9514563106796117,1.0,0.7368421052631577,0.9514563106796117,0.9774193548387097,1.0,0.7777777777777778,0.7,"[[91  2]
 [ 3  7]]",0.9514563106796117,1.0,0.7368421052631577,0.9514563106796117,0.9709677419354839,0.9999999999999999,0.7777777777777778,0.7,"[[91  2]
 [ 3  7]]"
0.9805825242718447,1.0,0.9,0.9805825242718447,0.9903225806451612,1.0,0.9,0.9,"[[92  1]
 [ 1  9]]",0.970873786407767,1.0,0.8571428571428572,0.970873786407767,0.9924731182795699,1.0,0.8181818181818182,0.9,"[[91  2]
 [ 1  9]]",0.970873786407767,1.0,0.8571428571428572,0.970873786407767,0.99247311827957,0.9999999999999999,0.8181818181818182,0.9,"[[91  2]
 [ 1  9]]",0.970873786407767,1.0,0.8571428571428572,0.970873786407767,0.9870967741935484,1.0,0.8181818181818182,0.9,"[[91  2]
 [ 1  9]]",0.9805825242718447,1.0,0.9,0.9805825242718447,0.9860215053763441,1.0,0.9,0.9,"[[92  1]
 [ 1  9]]"
0.970873786407767,1.0,0.8695652173913044,0.970873786407767,0.9924731182795699,1.0,0.7692307692307693,1.0,"[[90  3]
 [ 0 10]]",0.9611650485436893,1.0,0.8333333333333333,0.9611650485436893,0.989247311827957,1.0,0.7142857142857143,1.0,"[[89  4]
 [ 0 10]]",0.9611650485436893,1.0,0.8333333333333333,0.9611650485436893,0.9903225806451613,1.0,0.7142857142857143,1.0,"[[89  4]
 [ 0 10]]",0.970873786407767,1.0,0.8695652173913044,0.970873786407767,0.9870967741935485,0.9999999999999999,0.7692307692307693,1.0,"[[90  3]
 [ 0 10]]",0.9611650485436893,1.0,0.8333333333333333,0.9611650485436893,0.9881720430107527,1.0,0.7142857142857143,1.0,"[[89  4]
 [ 0 10]]"
0.9805825242718447,1.0,0.888888888888889,0.9805825242718447,0.9946236559139785,0.9999999999999999,1.0,0.8,"[[93  0]
 [ 2  8]]",0.970873786407767,1.0,0.8421052631578948,0.970873786407767,0.9935483870967742,1.0,0.8888888888888888,0.8,"[[92  1]
 [ 2  8]]",0.9902912621359223,1.0,0.9473684210526316,0.9902912621359223,0.9989247311827958,1.0,1.0,0.9,"[[93  0]
 [ 1  9]]",0.9805825242718447,1.0,0.888888888888889,0.9805825242718447,0.9935483870967743,1.0,1.0,0.8,"[[93  0]
 [ 2  8]]",0.9805825242718447,1.0,0.888888888888889,0.9805825242718447,0.9956989247311827,1.0,1.0,0.8,"[[93  0]
 [ 2  8]]"
0.9805825242718447,1.0,0.9,0.9805825242718447,0.978494623655914,1.0,0.9,0.9,"[[92  1]
 [ 1  9]]",0.941747572815534,1.0,0.7,0.941747572815534,0.9795698924731182,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]",0.9223300970873787,1.0,0.6,0.9223300970873787,0.953763440860215,1.0,0.6,0.6,"[[89  4]
 [ 4  6]]",0.9611650485436893,1.0,0.7777777777777777,0.9611650485436893,0.9623655913978495,1.0,0.875,0.7,"[[92  1]
 [ 3  7]]",0.9514563106796117,1.0,0.761904761904762,0.9514563106796117,0.9752688172043011,1.0,0.7272727272727273,0.8,"[[90  3]
 [ 2  8]]"
0.941747572815534,1.0,0.7,0.941747572815534,0.9268817204301075,1.0,0.7,0.7,"[[90  3]
 [ 3  7]]",0.9320388349514563,1.0,0.6666666666666666,0.9320388349514563,0.9645161290322581,1.0,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]",0.9320388349514563,1.0,0.6666666666666666,0.9320388349514563,0.9387096774193548,1.0,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]",0.9320388349514563,1.0,0.631578947368421,0.9320388349514563,0.9440860215053763,1.0,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]",0.9514563106796117,1.0,0.761904761904762,0.9514563106796117,0.9505376344086022,1.0,0.7272727272727273,0.8,"[[90  3]
 [ 2  8]]"
0.9611650485436893,1.0,0.8000000000000002,0.9611650485436893,0.9827956989247312,1.0,0.8,0.8,"[[91  2]
 [ 2  8]]",0.941747572815534,1.0,0.7272727272727272,0.941747572815534,0.9838709677419355,1.0,0.6666666666666666,0.8,"[[89  4]
 [ 2  8]]",0.9514563106796117,1.0,0.761904761904762,0.9514563106796117,0.9881720430107527,1.0,0.7272727272727273,0.8,"[[90  3]
 [ 2  8]]",0.9611650485436893,1.0,0.8000000000000002,0.9611650485436893,0.9849462365591397,1.0,0.8,0.8,"[[91  2]
 [ 2  8]]",0.9611650485436893,1.0,0.8000000000000002,0.9611650485436893,0.9935483870967742,0.9999999999999999,0.8,0.8,"[[91  2]
 [ 2  8]]"
