Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.765,0.7785714285714286,0.5252525252525252,0.765,0.7894047619047619,0.8027891156462585,0.6666666666666666,0.43333333333333335,"[[127  13]
 [ 34  26]]",0.725,0.7448979591836735,0.6099290780141844,0.7250000000000001,0.7833333333333334,0.8204456476468138,0.5308641975308642,0.7166666666666667,"[[102  38]
 [ 17  43]]",0.745,0.8,0.5785123966942148,0.745,0.7925,0.8714285714285714,0.5737704918032787,0.5833333333333334,"[[114  26]
 [ 25  35]]",0.725,0.763265306122449,0.5985401459854014,0.7250000000000001,0.7632142857142857,0.8334860474802166,0.5324675324675324,0.6833333333333333,"[[104  36]
 [ 19  41]]",0.735,0.7765306122448979,0.5760000000000001,0.735,0.7444047619047619,0.86314035818409,0.5538461538461539,0.6,"[[111  29]
 [ 24  36]]"
0.745,0.7914285714285715,0.5233644859813084,0.745,0.7466666666666667,0.8198931000971817,0.5957446808510638,0.4666666666666667,"[[121  19]
 [ 32  28]]",0.65,0.7704081632653061,0.5394736842105263,0.65,0.7440476190476191,0.8375551853394418,0.44565217391304346,0.6833333333333333,"[[89 51]
 [19 41]]",0.665,0.8326530612244898,0.5109489051094891,0.665,0.7260714285714286,0.9011370262390671,0.45454545454545453,0.5833333333333334,"[[98 42]
 [25 35]]",0.7,0.8244897959183674,0.5384615384615384,0.7,0.7020238095238095,0.8939192003331946,0.5,0.5833333333333334,"[[105  35]
 [ 25  35]]",0.685,0.8061224489795918,0.5467625899280576,0.685,0.7057142857142857,0.8745314452311538,0.4810126582278481,0.6333333333333333,"[[99 41]
 [22 38]]"
0.725,0.7685714285714286,0.4444444444444444,0.7250000000000001,0.7296428571428571,0.817910592808552,0.5641025641025641,0.36666666666666664,"[[123  17]
 [ 38  22]]",0.675,0.763265306122449,0.5323741007194245,0.675,0.7270238095238095,0.8312536443148688,0.46835443037974683,0.6166666666666667,"[[98 42]
 [23 37]]",0.67,0.8051020408163265,0.41071428571428575,0.67,0.6626190476190476,0.8961474385672634,0.4423076923076923,0.38333333333333336,"[[111  29]
 [ 37  23]]",0.695,0.8275510204081633,0.46017699115044247,0.695,0.6971428571428571,0.9047063723448564,0.49056603773584906,0.43333333333333335,"[[113  27]
 [ 34  26]]",0.68,0.7397959183673469,0.5223880597014926,0.68,0.6778571428571428,0.8146314035818408,0.47297297297297297,0.5833333333333334,"[[101  39]
 [ 25  35]]"
0.735,0.79,0.4952380952380952,0.735,0.7579761904761906,0.8149562682215744,0.5777777777777777,0.43333333333333335,"[[121  19]
 [ 34  26]]",0.69,0.7459183673469387,0.5921052631578948,0.69,0.758452380952381,0.8230653894210744,0.4891304347826087,0.75,"[[93 47]
 [15 45]]",0.745,0.8418367346938775,0.5920000000000001,0.745,0.7716666666666667,0.9106997084548104,0.5692307692307692,0.6166666666666667,"[[112  28]
 [ 23  37]]",0.665,0.8193877551020409,0.5109489051094891,0.665,0.7259523809523809,0.8874260724698042,0.45454545454545453,0.5833333333333334,"[[98 42]
 [25 35]]",0.67,0.7928571428571428,0.5285714285714286,0.67,0.7245238095238096,0.8798667221990837,0.4625,0.6166666666666667,"[[97 43]
 [23 37]]"
0.735,0.79,0.4952380952380952,0.735,0.7734523809523809,0.8043634596695821,0.5777777777777777,0.43333333333333335,"[[121  19]
 [ 34  26]]",0.69,0.7285714285714285,0.5974025974025974,0.69,0.7732142857142857,0.8045772594752185,0.48936170212765956,0.7666666666666667,"[[92 48]
 [14 46]]",0.705,0.789795918367347,0.549618320610687,0.705,0.7435714285714285,0.8604581424406498,0.5070422535211268,0.6,"[[105  35]
 [ 24  36]]",0.715,0.8306122448979592,0.564885496183206,0.715,0.7486904761904762,0.8955518533944189,0.5211267605633803,0.6166666666666667,"[[106  34]
 [ 23  37]]",0.68,0.7755102040816326,0.5151515151515152,0.68,0.7340476190476191,0.8536901291128696,0.4722222222222222,0.5666666666666667,"[[102  38]
 [ 26  34]]"
0.765,0.7657142857142857,0.5436893203883496,0.765,0.8345238095238096,0.7938095238095237,0.6511627906976745,0.4666666666666667,"[[125  15]
 [ 32  28]]",0.77,0.7520408163265306,0.676056338028169,0.7699999999999999,0.8242857142857143,0.8213785922532278,0.5853658536585366,0.8,"[[106  34]
 [ 12  48]]",0.68,0.7887755102040817,0.5,0.68,0.7297619047619048,0.879262807163682,0.47058823529411764,0.5333333333333333,"[[104  36]
 [ 28  32]]",0.74,0.7989795918367347,0.6231884057971016,0.74,0.7984523809523809,0.8519825072886297,0.5512820512820513,0.7166666666666667,"[[105  35]
 [ 17  43]]",0.755,0.7938775510204081,0.6259541984732825,0.755,0.8333333333333333,0.871932528113286,0.5774647887323944,0.6833333333333333,"[[110  30]
 [ 19  41]]"
0.76,0.7642857142857142,0.5199999999999999,0.76,0.7985714285714286,0.8011078717201165,0.65,0.43333333333333335,"[[126  14]
 [ 34  26]]",0.725,0.7408163265306122,0.6043165467625898,0.7250000000000001,0.800952380952381,0.8080258225739275,0.5316455696202531,0.7,"[[103  37]
 [ 18  42]]",0.725,0.8051020408163265,0.5045045045045046,0.7250000000000001,0.7139285714285714,0.8819866722199083,0.5490196078431373,0.4666666666666667,"[[117  23]
 [ 32  28]]",0.74,0.8173469387755102,0.6,0.74,0.7829761904761905,0.8765930862140775,0.5571428571428572,0.65,"[[109  31]
 [ 21  39]]",0.76,0.7571428571428571,0.6307692307692309,0.76,0.7767857142857143,0.8476551436901291,0.5857142857142857,0.6833333333333333,"[[111  29]
 [ 19  41]]"
0.77,0.7757142857142857,0.5576923076923077,0.7699999999999999,0.7828571428571429,0.8115063168124392,0.6590909090909091,0.48333333333333334,"[[125  15]
 [ 31  29]]",0.74,0.7520408163265306,0.6438356164383561,0.74,0.7853571428571429,0.8279883381924198,0.5465116279069767,0.7833333333333333,"[[101  39]
 [ 13  47]]",0.675,0.8091836734693878,0.5112781954887218,0.675,0.7275000000000001,0.8750562265722616,0.4657534246575342,0.5666666666666667,"[[101  39]
 [ 26  34]]",0.705,0.8193877551020409,0.528,0.705,0.7466666666666667,0.893356934610579,0.5076923076923077,0.55,"[[108  32]
 [ 27  33]]",0.76,0.7816326530612245,0.6190476190476191,0.76,0.7702380952380952,0.8734818825489379,0.5909090909090909,0.65,"[[113  27]
 [ 21  39]]"
0.795,0.78,0.5858585858585859,0.795,0.8134523809523809,0.8090281827016521,0.7435897435897436,0.48333333333333334,"[[130  10]
 [ 31  29]]",0.745,0.7622448979591837,0.6482758620689655,0.745,0.8146428571428572,0.824698042482299,0.5529411764705883,0.7833333333333333,"[[102  38]
 [ 13  47]]",0.71,0.8183673469387756,0.5538461538461538,0.7100000000000001,0.7427380952380952,0.8842523948354851,0.5142857142857142,0.6,"[[106  34]
 [ 24  36]]",0.76,0.8357142857142857,0.6,0.76,0.8083333333333333,0.9069262807163682,0.6,0.6,"[[116  24]
 [ 24  36]]",0.665,0.7214285714285714,0.4885496183206107,0.665,0.6819047619047619,0.8028738025822573,0.4507042253521127,0.5333333333333333,"[[101  39]
 [ 28  32]]"
0.795,0.7714285714285715,0.6095238095238096,0.795,0.8058333333333333,0.79555879494655,0.7111111111111111,0.5333333333333333,"[[127  13]
 [ 28  32]]",0.7,0.7397959183673469,0.5945945945945945,0.7,0.8029761904761904,0.8122657226155767,0.5,0.7333333333333333,"[[96 44]
 [16 44]]",0.72,0.7806122448979592,0.5172413793103449,0.72,0.7404761904761904,0.8563931695127031,0.5357142857142857,0.5,"[[114  26]
 [ 30  30]]",0.73,0.7602040816326531,0.5573770491803278,0.7299999999999999,0.7401190476190476,0.8473261141191171,0.5483870967741935,0.5666666666666667,"[[112  28]
 [ 26  34]]",0.715,0.7397959183673469,0.5365853658536585,0.715,0.7117857142857142,0.8271303623490212,0.5238095238095238,0.55,"[[110  30]
 [ 27  33]]"
