Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.859375,0.9220852017937219,,0.0,"[[128   0]
 [  4   0]]",0.8484848484848485,0.92152466367713,0.16666666666666669,0.8484848484848486,0.833984375,0.9587162420318124,0.1,0.5,"[[110  18]
 [  2   2]]",0.946969696969697,0.976457399103139,0.22222222222222224,0.946969696969697,0.62890625,0.9958374389189406,0.2,0.25,"[[124   4]
 [  3   1]]",0.8106060606060606,0.8710762331838565,0.07407407407407408,0.8106060606060606,0.521484375,0.9363751533310543,0.043478260869565216,0.25,"[[106  22]
 [  3   1]]",0.9015151515151515,0.8946188340807175,0.0,0.9015151515151515,0.859375,0.9587514327655895,0.0,0.0,"[[119   9]
 [  4   0]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.916015625,0.8849028400597907,,0.0,"[[128   0]
 [  4   0]]",0.8181818181818182,0.8957399103139013,0.25,0.8181818181818182,0.935546875,0.9133503589454846,0.14285714285714285,1.0,"[[104  24]
 [  0   4]]",0.8712121212121212,0.9282511210762332,0.2608695652173913,0.8712121212121212,0.900390625,0.964291459711637,0.15789473684210525,0.75,"[[112  16]
 [  1   3]]",0.9015151515151515,0.9327354260089686,0.38095238095238093,0.9015151515151515,0.962890625,0.9680920589595609,0.23529411764705882,1.0,"[[115  13]
 [  0   4]]",0.9545454545454546,0.9540358744394619,0.5,0.9545454545454546,0.85546875,0.9888897826218103,0.375,0.75,"[[123   5]
 [  1   3]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.765625,0.9250747384155457,,0.0,"[[128   0]
 [  4   0]]",0.7424242424242424,0.9136771300448431,0.15,0.7424242424242424,0.814453125,0.9386072513020572,0.08333333333333333,0.75,"[[95 33]
 [ 1  3]]",0.8484848484848485,0.952914798206278,0.0909090909090909,0.8484848484848486,0.697265625,0.9867029298799493,0.05555555555555555,0.25,"[[111  17]
 [  3   1]]",0.8181818181818182,0.9327354260089686,0.07692307692307693,0.8181818181818182,0.80078125,0.9704598926179896,0.045454545454545456,0.25,"[[107  21]
 [  3   1]]",0.8181818181818182,0.8621076233183856,0.07692307692307693,0.8181818181818182,0.625,0.9346105893945184,0.045454545454545456,0.25,"[[107  21]
 [  3   1]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.875,0.8731315396113603,,0.0,"[[128   0]
 [  4   0]]",0.8106060606060606,0.8800448430493274,0.19354838709677416,0.8106060606060606,0.884765625,0.9260089686098655,0.1111111111111111,0.75,"[[104  24]
 [  1   3]]",0.8712121212121212,0.9181614349775785,0.2608695652173913,0.8712121212121212,0.775390625,0.9611142391763358,0.15789473684210525,0.75,"[[112  16]
 [  1   3]]",0.803030303030303,0.9114349775784754,0.1875,0.803030303030303,0.923828125,0.9246415572402421,0.10714285714285714,0.75,"[[103  25]
 [  1   3]]",0.946969696969697,0.9159192825112108,0.22222222222222224,0.946969696969697,0.7734375,0.972415491966458,0.2,0.25,"[[124   4]
 [  3   1]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.779296875,0.9024663677130045,,0.0,"[[128   0]
 [  4   0]]",0.8333333333333334,0.8957399103139013,0.21428571428571427,0.8333333333333334,0.833984375,0.9485410927225563,0.125,0.75,"[[107  21]
 [  1   3]]",0.9545454545454546,0.9708520179372198,0.4,0.9545454545454546,0.90625,0.9931528886565184,0.3333333333333333,0.5,"[[124   4]
 [  2   2]]",0.8939393939393939,0.9159192825112108,0.22222222222222224,0.8939393939393939,0.859375,0.9733354782923445,0.14285714285714285,0.5,"[[116  12]
 [  2   2]]",0.9242424242424242,0.905829596412556,0.16666666666666666,0.9242424242424242,0.931640625,0.9686601379476764,0.125,0.25,"[[121   7]
 [  3   1]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.9375,0.9005979073243648,,0.0,"[[128   0]
 [  4   0]]",0.8106060606060606,0.9024663677130045,0.2424242424242424,0.8106060606060606,0.9140625,0.9367371151641898,0.13793103448275862,1.0,"[[103  25]
 [  0   4]]",0.8939393939393939,0.9383408071748879,0.0,0.8939393939393939,0.78515625,0.9894226708761488,0.0,0.0,"[[118  10]
 [  4   0]]",0.9318181818181818,0.9506726457399103,0.18181818181818182,0.9318181818181818,0.859375,0.9877888153793561,0.14285714285714285,0.25,"[[122   6]
 [  3   1]]",0.9621212121212122,0.9562780269058296,0.0,0.9621212121212122,0.640625,0.9874067445554907,0.0,0.0,"[[127   1]
 [  4   0]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.849609375,0.9157324364723468,,0.0,"[[128   0]
 [  4   0]]",0.803030303030303,0.9147982062780269,0.13333333333333336,0.803030303030303,0.818359375,0.9404472239538297,0.07692307692307693,0.5,"[[104  24]
 [  2   2]]",0.9090909090909091,0.952914798206278,0.25,0.9090909090909091,0.90234375,0.9827665949445996,0.16666666666666666,0.5,"[[118  10]
 [  2   2]]",0.8484848484848485,0.8923766816143498,0.16666666666666669,0.8484848484848486,0.8046875,0.9648595386997527,0.1,0.5,"[[110  18]
 [  2   2]]",0.9318181818181818,0.9237668161434978,0.30769230769230765,0.9318181818181818,0.84375,0.9729031349916547,0.2222222222222222,0.5,"[[121   7]
 [  2   2]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.9140625,0.8888266068759343,,0.0,"[[128   0]
 [  4   0]]",0.8106060606060606,0.9013452914798207,0.2424242424242424,0.8106060606060606,0.92578125,0.9256520340244122,0.13793103448275862,1.0,"[[103  25]
 [  0   4]]",0.9090909090909091,0.9383408071748879,0.14285714285714288,0.9090909090909091,0.900390625,0.9827314042108226,0.1,0.25,"[[119   9]
 [  3   1]]",0.8787878787878788,0.9506726457399103,0.2,0.8787878787878788,0.89453125,0.980559633212009,0.125,0.5,"[[114  14]
 [  2   2]]",0.9166666666666666,0.9417040358744395,0.15384615384615383,0.9166666666666666,0.916015625,0.9888545918880332,0.1111111111111111,0.25,"[[120   8]
 [  3   1]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.826171875,0.8931240657698056,,0.0,"[[128   0]
 [  4   0]]",0.7727272727272727,0.9024663677130045,0.21052631578947367,0.7727272727272727,0.859375,0.9194031651551408,0.11764705882352941,1.0,"[[98 30]
 [ 0  4]]",0.9166666666666666,0.9641255605381166,0.0,0.9166666666666666,0.802734375,0.9915491966458203,0.0,0.0,"[[121   7]
 [  4   0]]",0.8636363636363636,0.9372197309417041,0.1818181818181818,0.8636363636363636,0.806640625,0.9748436525970762,0.1111111111111111,0.5,"[[112  16]
 [  2   2]]",0.9090909090909091,0.9248878923766816,0.14285714285714288,0.9090909090909091,0.884765625,0.9745068270023528,0.1,0.25,"[[119   9]
 [  3   1]]"
0.9696969696969697,0.9737991266375546,0.0,0.9696969696969697,0.798828125,0.9368460388639761,,0.0,"[[128   0]
 [  4   0]]",0.8333333333333334,0.9204035874439462,0.08333333333333334,0.8333333333333334,0.841796875,0.9515725230750669,0.05,0.25,"[[109  19]
 [  3   1]]",0.9393939393939394,0.9775784753363229,0.0,0.9393939393939394,0.783203125,0.9967473707494621,0.0,0.0,"[[124   4]
 [  4   0]]",0.9090909090909091,0.9573991031390134,0.14285714285714288,0.9090909090909091,0.744140625,0.9875072895091396,0.1,0.25,"[[119   9]
 [  3   1]]",0.9393939393939394,0.9506726457399103,0.0,0.9393939393939394,0.693359375,0.9886736109714653,0.0,0.0,"[[124   4]
 [  4   0]]"
