Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9419354796409607,0.9679652452468872,,0.0,"[[93  0]
 [10  0]]",0.9320388436317444,0.9195046424865723,0.7200000000000001,0.9320388349514563,0.9080644845962524,0.9518446326255798,0.6,0.9,"[[87  6]
 [ 1  9]]",0.9417475461959839,0.9427244663238525,0.7,0.941747572815534,0.9419354796409607,0.9783760905265808,0.7,0.7,"[[90  3]
 [ 3  7]]",0.9320388436317444,0.9210526347160339,0.631578947368421,0.9320388349514563,0.9473118185997009,0.9784864187240601,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]",0.9611650705337524,0.9520123600959778,0.7777777777777777,0.9611650485436893,0.9661290049552917,0.9897487759590149,0.875,0.7,"[[92  1]
 [ 3  7]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9688171744346619,0.9349415898323059,,0.0,"[[93  0]
 [10  0]]",0.893203854560852,0.9086687564849854,0.56,0.8932038834951457,0.9295698404312134,0.9465441107749939,0.4666666666666667,0.7,"[[85  8]
 [ 3  7]]",0.8155339956283569,0.8250774145126343,0.45714285714285713,0.8155339805825242,0.9284946322441101,0.8977656960487366,0.32,0.8,"[[76 17]
 [ 2  8]]",0.9320388436317444,0.9380804896354675,0.631578947368421,0.9320388349514563,0.8935483694076538,0.9822437763214111,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]",0.9320388436317444,0.9117646813392639,0.5333333333333333,0.9320388349514563,0.9693548679351807,0.9767849445343018,0.8,0.4,"[[92  1]
 [ 6  4]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9715054035186768,0.9567423462867737,,0.0,"[[93  0]
 [10  0]]",0.9029126167297363,0.8808049559593201,0.6428571428571429,0.9029126213592235,0.9607526063919067,0.9262860417366028,0.5,0.9,"[[84  9]
 [ 1  9]]",0.9223300814628601,0.8808049559593201,0.6923076923076923,0.9223300970873787,0.9618280529975891,0.9366858601570129,0.5625,0.9,"[[86  7]
 [ 1  9]]",0.9611650705337524,0.8839009404182434,0.8181818181818182,0.9611650485436893,0.9698925018310547,0.9557888507843018,0.75,0.9,"[[90  3]
 [ 1  9]]",0.9902912378311157,0.9040247797966003,0.9473684210526316,0.9902912621359223,0.9860215187072754,0.9639554023742676,1.0,0.9,"[[93  0]
 [ 1  9]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.8161290287971497,0.9851220846176147,,0.0,"[[93  0]
 [10  0]]",0.8737863898277283,0.925696611404419,0.5185185185185185,0.8737864077669902,0.7505375742912292,0.9824450016021729,0.4117647058823529,0.7,"[[83 10]
 [ 3  7]]",0.9126213788986206,0.9643962979316711,0.608695652173913,0.912621359223301,0.7720430493354797,0.9935635924339294,0.5384615384615384,0.7,"[[87  6]
 [ 3  7]]",0.9029126167297363,0.9396284818649292,0.5833333333333334,0.9029126213592235,0.748924732208252,0.9837101101875305,0.5,0.7,"[[86  7]
 [ 3  7]]",0.9126213788986206,0.9272446036338806,0.5714285714285713,0.912621359223301,0.8645160794258118,0.98324054479599,0.5454545454545454,0.6,"[[88  5]
 [ 4  6]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.898924708366394,0.9497763514518738,,0.0,"[[93  0]
 [10  0]]",0.893203854560852,0.9210526347160339,0.5925925925925927,0.8932038834951457,0.8854838609695435,0.9565557837486267,0.47058823529411764,0.8,"[[84  9]
 [ 2  8]]",0.9708737730979919,0.9520123600959778,0.8421052631578948,0.970873786407767,0.8779569268226624,0.9878413081169128,0.8888888888888888,0.8,"[[92  1]
 [ 2  8]]",0.9708737730979919,0.9195046424865723,0.8421052631578948,0.970873786407767,0.9064514636993408,0.9893749356269836,0.8888888888888888,0.8,"[[92  1]
 [ 2  8]]",0.9320388436317444,0.8498452305793762,0.6956521739130435,0.9320388349514563,0.9053763151168823,0.9468604326248169,0.6153846153846154,0.8,"[[88  5]
 [ 2  8]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9091398119926453,0.9544633030891418,,0.0,"[[93  0]
 [10  0]]",0.9223300814628601,0.9148606657981873,0.6666666666666666,0.9223300970873787,0.9016128778457642,0.9666823148727417,0.5714285714285714,0.8,"[[87  6]
 [ 2  8]]",0.8834951519966125,0.8854489326477051,0.33333333333333326,0.883495145631068,0.7586021423339844,0.9638020992279053,0.375,0.3,"[[88  5]
 [ 7  3]]",0.9223300814628601,0.8931888341903687,0.6363636363636365,0.9223300970873787,0.8666667342185974,0.8911951780319214,0.5833333333333334,0.7,"[[88  5]
 [ 3  7]]",0.9611650705337524,0.9442724585533142,0.8000000000000002,0.9611650485436893,0.869892418384552,0.974561333656311,0.8,0.8,"[[91  2]
 [ 2  8]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9946236610412598,0.9496903419494629,,0.0,"[[93  0]
 [10  0]]",0.9417475461959839,0.9086687564849854,0.7692307692307693,0.941747572815534,0.9881719946861267,0.9563304781913757,0.625,1.0,"[[87  6]
 [ 0 10]]",0.9126213788986206,0.8359133005142212,0.6666666666666667,0.912621359223301,0.973118245601654,0.8865607976913452,0.5294117647058824,0.9,"[[85  8]
 [ 1  9]]",0.9223300814628601,0.7786377668380737,0.6666666666666666,0.9223300970873787,0.9569892287254333,0.7952437996864319,0.5714285714285714,0.8,"[[87  6]
 [ 2  8]]",0.9320388436317444,0.9272446036338806,0.6666666666666666,0.9320388349514563,0.9720430374145508,0.9803170561790466,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.8440860509872437,0.976479172706604,,0.0,"[[93  0]
 [10  0]]",0.9126213788986206,0.9504643678665161,0.608695652173913,0.912621359223301,0.7913978099822998,0.9848220944404602,0.5384615384615384,0.7,"[[87  6]
 [ 3  7]]",0.9223300814628601,0.9628483057022095,0.5,0.9223300970873787,0.8188171982765198,0.990937352180481,0.6666666666666666,0.4,"[[91  2]
 [ 6  4]]",0.9320388436317444,0.9628483057022095,0.5333333333333333,0.9320388349514563,0.8204301595687866,0.9945269823074341,0.8,0.4,"[[92  1]
 [ 6  4]]",0.9126213788986206,0.891640841960907,0.5263157894736842,0.912621359223301,0.7424730658531189,0.9554150104522705,0.5555555555555556,0.5,"[[89  4]
 [ 5  5]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9973118305206299,0.9436704516410828,,0.0,"[[93  0]
 [10  0]]",0.8834951519966125,0.8854489326477051,0.625,0.883495145631068,0.9946236610412598,0.9387801885604858,0.45454545454545453,1.0,"[[81 12]
 [ 0 10]]",0.9514563083648682,0.9210526347160339,0.7826086956521738,0.9514563106796117,0.9913978576660156,0.9754478931427002,0.6923076923076923,0.9,"[[89  4]
 [ 1  9]]",0.844660222530365,0.9365324974060059,0.5000000000000001,0.8446601941747571,0.9494624137878418,0.9750357866287231,0.36363636363636365,0.8,"[[79 14]
 [ 2  8]]",0.9514563083648682,0.9195046424865723,0.761904761904762,0.9514563106796117,0.9612903594970703,0.9763106107711792,0.7272727272727273,0.8,"[[90  3]
 [ 2  8]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.9392472505569458,0.9389835000038147,,0.0,"[[93  0]
 [10  0]]",0.9223300814628601,0.9024767875671387,0.6363636363636365,0.9223300970873787,0.8736559152603149,0.9658915400505066,0.5833333333333334,0.7,"[[88  5]
 [ 3  7]]",0.9223300814628601,0.9659442901611328,0.6363636363636365,0.9223300970873787,0.9021505117416382,0.9956483840942383,0.5833333333333334,0.7,"[[88  5]
 [ 3  7]]",0.9126213788986206,0.9582043290138245,0.608695652173913,0.912621359223301,0.8784946203231812,0.9940956234931946,0.5384615384615384,0.7,"[[87  6]
 [ 3  7]]",0.9514563083648682,0.9396284818649292,0.7058823529411764,0.9514563106796117,0.8903225064277649,0.9837916493415833,0.8571428571428571,0.6,"[[92  1]
 [ 4  6]]"
