Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.6145833134651184,0.6666666865348816,0.3508771929824561,0.6145833333333334,0.5633838176727295,0.5931079983711243,0.37037037037037035,0.3333333333333333,"[[49 17]
 [20 10]]",0.3645833432674408,0.4678111672401428,0.32967032967032966,0.36458333333333326,0.4227272868156433,0.48261159658432007,0.2459016393442623,0.5,"[[20 46]
 [15 15]]",0.625,0.557939887046814,0.5609756097560975,0.625,0.7404040098190308,0.6466135382652283,0.4423076923076923,0.7666666666666667,"[[37 29]
 [ 7 23]]",0.7083333134651184,0.6330472230911255,0.3913043478260869,0.7083333333333334,0.6189394593238831,0.6927462220191956,0.5625,0.3,"[[59  7]
 [21  9]]",0.6458333134651184,0.6030042767524719,0.3928571428571428,0.6458333333333334,0.5714647173881531,0.6544972062110901,0.4230769230769231,0.36666666666666664,"[[51 15]
 [19 11]]"
0.65625,0.711309552192688,0.15384615384615383,0.65625,0.4699494540691376,0.5583149194717407,0.3333333333333333,0.1,"[[60  6]
 [27  3]]",0.6875,0.6287553906440735,0.423076923076923,0.6875,0.6295453906059265,0.7009522318840027,0.5,0.36666666666666664,"[[55 11]
 [19 11]]",0.5625,0.54935622215271,0.4615384615384615,0.5625,0.571969747543335,0.576212465763092,0.375,0.6,"[[36 30]
 [12 18]]",0.71875,0.6437768340110779,0.47058823529411764,0.71875,0.7151514887809753,0.671204149723053,0.5714285714285714,0.4,"[[57  9]
 [18 12]]",0.7291666865348816,0.7317596673965454,0.5666666666666667,0.7291666666666665,0.7353535890579224,0.7636077404022217,0.5666666666666667,0.5666666666666667,"[[53 13]
 [13 17]]"
0.7604166865348816,0.7648809552192688,0.4651162790697674,0.7604166666666666,0.6199495792388916,0.630047082901001,0.7692307692307693,0.3333333333333333,"[[63  3]
 [20 10]]",0.6979166865348816,0.6137338876724243,0.5396825396825397,0.6979166666666666,0.7267676591873169,0.6696568727493286,0.5151515151515151,0.5666666666666667,"[[50 16]
 [13 17]]",0.7916666865348816,0.6888412237167358,0.6,0.7916666666666666,0.6888888478279114,0.7514505386352539,0.75,0.5,"[[61  5]
 [15 15]]",0.6458333134651184,0.4892703890800476,0.3928571428571428,0.6458333333333334,0.5532827377319336,0.45311200618743896,0.4230769230769231,0.36666666666666664,"[[51 15]
 [19 11]]",0.6770833134651184,0.5965664982795715,0.27906976744186046,0.6770833333333334,0.5027777552604675,0.6456741690635681,0.46153846153846156,0.2,"[[59  7]
 [24  6]]"
0.7291666865348816,0.7529761791229248,0.23529411764705882,0.7291666666666665,0.6906566023826599,0.6489645838737488,1.0,0.13333333333333333,"[[66  0]
 [26  4]]",0.5520833134651184,0.5472102761268616,0.3943661971830986,0.5520833333333334,0.512373685836792,0.5644237399101257,0.34146341463414637,0.4666666666666667,"[[39 27]
 [16 14]]",0.7083333134651184,0.733905553817749,0.36363636363636365,0.7083333333333334,0.5840910077095032,0.7678535580635071,0.5714285714285714,0.26666666666666666,"[[60  6]
 [22  8]]",0.5833333134651184,0.7231759428977966,0.3333333333333333,0.5833333333333334,0.5131313800811768,0.7970215082168579,0.3333333333333333,0.3333333333333333,"[[46 20]
 [20 10]]",0.7083333134651184,0.729613721370697,0.3913043478260869,0.7083333333333334,0.5638889670372009,0.7907125353813171,0.5625,0.3,"[[59  7]
 [21  9]]"
0.6979166865348816,0.7172619104385376,0.17142857142857143,0.6979166666666666,0.7376261949539185,0.6846535205841064,0.6,0.1,"[[64  2]
 [27  3]]",0.71875,0.6630901098251343,0.5423728813559322,0.71875,0.7545454502105713,0.7461548447608948,0.5517241379310345,0.5333333333333333,"[[53 13]
 [14 16]]",0.7083333134651184,0.6845493316650391,0.4615384615384615,0.7083333333333334,0.7454545497894287,0.7792646884918213,0.5454545454545454,0.4,"[[56 10]
 [18 12]]",0.5833333134651184,0.5836910009384155,0.5454545454545454,0.5833333333333334,0.6583333611488342,0.6645084023475647,0.41379310344827586,0.8,"[[32 34]
 [ 6 24]]",0.6979166865348816,0.6802574992179871,0.3829787234042553,0.6979166666666666,0.550757646560669,0.7245298624038696,0.5294117647058824,0.3,"[[58  8]
 [21  9]]"
0.7395833134651184,0.6845238208770752,0.6153846153846153,0.7395833333333334,0.7444444894790649,0.7003416419029236,0.5714285714285714,0.6666666666666666,"[[51 15]
 [10 20]]",0.6041666865348816,0.5708154439926147,0.42424242424242425,0.6041666666666666,0.5530303716659546,0.5556465983390808,0.3888888888888889,0.4666666666666667,"[[44 22]
 [16 14]]",0.6458333134651184,0.6995708346366882,0.46875,0.6458333333333334,0.5926767587661743,0.73268061876297,0.4411764705882353,0.5,"[[47 19]
 [15 15]]",0.3645833432674408,0.5150214433670044,0.3146067415730337,0.36458333333333326,0.4280303120613098,0.5643685460090637,0.23728813559322035,0.4666666666666667,"[[21 45]
 [16 14]]",0.6770833134651184,0.6909871101379395,0.456140350877193,0.6770833333333334,0.6800505518913269,0.7470021843910217,0.48148148148148145,0.43333333333333335,"[[52 14]
 [17 13]]"
0.71875,0.7083333134651184,0.18181818181818182,0.71875,0.5085858702659607,0.5152922868728638,1.0,0.1,"[[66  0]
 [27  3]]",0.7083333134651184,0.6051502227783203,0.4615384615384615,0.7083333333333334,0.677020251750946,0.68927401304245,0.5454545454545454,0.4,"[[56 10]
 [18 12]]",0.7083333134651184,0.7188841104507446,0.5172413793103449,0.7083333333333334,0.7121211886405945,0.7267401814460754,0.5357142857142857,0.5,"[[53 13]
 [15 15]]",0.7291666865348816,0.7896995544433594,0.5357142857142857,0.7291666666666665,0.6904041171073914,0.8455395698547363,0.5769230769230769,0.5,"[[55 11]
 [15 15]]",0.625,0.5987124443054199,0.47058823529411764,0.625,0.5803030729293823,0.6390612721443176,0.42105263157894735,0.5333333333333333,"[[44 22]
 [14 16]]"
0.7708333134651184,0.7946428656578064,0.5217391304347827,0.7708333333333333,0.7954545617103577,0.7236135005950928,0.75,0.4,"[[62  4]
 [18 12]]",0.3125,0.4849785268306732,0.17500000000000002,0.3125,0.2825757563114166,0.4889756739139557,0.14,0.23333333333333334,"[[23 43]
 [23  7]]",0.7395833134651184,0.7145922780036926,0.4897959183673469,0.7395833333333334,0.6472222208976746,0.7953820824623108,0.631578947368421,0.4,"[[59  7]
 [18 12]]",0.6770833134651184,0.6952789425849915,0.20512820512820512,0.6770833333333334,0.5888890027999878,0.6919450163841248,0.4444444444444444,0.13333333333333333,"[[61  5]
 [26  4]]",0.6875,0.6909871101379395,0.4827586206896552,0.6875,0.6159090399742126,0.7688113451004028,0.5,0.4666666666666667,"[[52 14]
 [16 14]]"
0.6979166865348816,0.675595223903656,0.3829787234042553,0.6979166666666666,0.6906566023826599,0.6139213442802429,0.5294117647058824,0.3,"[[58  8]
 [21  9]]",0.7395833134651184,0.6437768340110779,0.576271186440678,0.7395833333333334,0.691161572933197,0.6881320476531982,0.5862068965517241,0.5666666666666667,"[[54 12]
 [13 17]]",0.7083333134651184,0.6931330561637878,0.5333333333333333,0.7083333333333334,0.6694445013999939,0.7080716490745544,0.5333333333333333,0.5333333333333333,"[[52 14]
 [14 16]]",0.71875,0.6759656667709351,0.5573770491803278,0.71875,0.7525252103805542,0.6718487739562988,0.5483870967741935,0.5666666666666667,"[[52 14]
 [13 17]]",0.71875,0.6609442234039307,0.34146341463414637,0.71875,0.6075757741928101,0.6884451508522034,0.6363636363636364,0.23333333333333334,"[[62  4]
 [23  7]]"
0.6041666865348816,0.6934523582458496,0.1739130434782609,0.6041666666666666,0.5348484516143799,0.6361514925956726,0.25,0.13333333333333333,"[[54 12]
 [26  4]]",0.7083333134651184,0.6781116127967834,0.3913043478260869,0.7083333333333334,0.6262626051902771,0.7160658240318298,0.5625,0.3,"[[59  7]
 [21  9]]",0.625,0.6416308879852295,0.4000000000000001,0.625,0.648737370967865,0.6698870062828064,0.4,0.4,"[[48 18]
 [18 12]]",0.6770833134651184,0.716738224029541,0.31111111111111117,0.6770833333333334,0.4941919147968292,0.7473981380462646,0.4666666666666667,0.23333333333333334,"[[58  8]
 [23  7]]",0.7708333134651184,0.7896995544433594,0.5,0.7708333333333333,0.6583333611488342,0.7999225854873657,0.7857142857142857,0.36666666666666664,"[[63  3]
 [19 11]]"
