Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.893203854560852,0.8802228569984436,0.0,0.8932038834951457,0.5817204713821411,0.5682404637336731,0.0,0.0,"[[92  1]
 [10  0]]",0.8155339956283569,0.8359133005142212,0.45714285714285713,0.8155339805825242,0.853225827217102,0.9156370759010315,0.32,0.8,"[[76 17]
 [ 2  8]]",0.8543689250946045,0.9024767875671387,0.5161290322580645,0.8543689320388349,0.9419354796409607,0.9680961966514587,0.38095238095238093,0.8,"[[80 13]
 [ 2  8]]",0.8349514603614807,0.9179566502571106,0.48484848484848486,0.8349514563106796,0.8586021661758423,0.9861064553260803,0.34782608695652173,0.8,"[[78 15]
 [ 2  8]]",0.8252426981925964,0.8823529481887817,0.35714285714285715,0.8252427184466019,0.7677419185638428,0.9353103637695312,0.2777777777777778,0.5,"[[80 13]
 [ 5  5]]"
0.8834951519966125,0.8857938647270203,0.25,0.883495145631068,0.8080645203590393,0.593309223651886,0.3333333333333333,0.2,"[[89  4]
 [ 8  2]]",0.34951457381248474,0.5928792357444763,0.22988505747126434,0.34951456310679613,0.8795698881149292,0.7146190404891968,0.12987012987012986,1.0,"[[26 67]
 [ 0 10]]",0.8737863898277283,0.8699690699577332,0.5806451612903225,0.8737864077669902,0.9338709712028503,0.927139163017273,0.42857142857142855,0.9,"[[81 12]
 [ 1  9]]",0.9126213788986206,0.9659442901611328,0.608695652173913,0.912621359223301,0.9537634253501892,0.9813809990882874,0.5384615384615384,0.7,"[[87  6]
 [ 3  7]]",0.9611650705337524,0.9334365129470825,0.7777777777777777,0.9611650485436893,0.9849462509155273,0.9896673560142517,0.875,0.7,"[[92  1]
 [ 3  7]]"
0.7669903039932251,0.89415043592453,0.33333333333333337,0.7669902912621359,0.7763440608978271,0.8883728981018066,0.23076923076923078,0.6,"[[73 20]
 [ 4  6]]",0.844660222530365,0.9520123600959778,0.5294117647058825,0.8446601941747571,0.9043010473251343,0.9911529421806335,0.375,0.9,"[[78 15]
 [ 1  9]]",0.8834951519966125,0.6099071502685547,0.4000000000000001,0.883495145631068,0.869892418384552,0.861495852470398,0.4,0.4,"[[87  6]
 [ 6  4]]",0.7766990065574646,0.9117646813392639,0.4390243902439024,0.7766990291262136,0.8774192929267883,0.9807676672935486,0.2903225806451613,0.9,"[[71 22]
 [ 1  9]]",0.7572815418243408,0.8591331243515015,0.358974358974359,0.7572815533980582,0.795698881149292,0.9235543608665466,0.2413793103448276,0.7,"[[71 22]
 [ 3  7]]"
0.9029126167297363,0.8969359397888184,0.0,0.9029126213592235,0.7048386335372925,0.7600189447402954,,0.0,"[[93  0]
 [10  0]]",0.9320388436317444,0.8900928497314453,0.6666666666666666,0.9320388349514563,0.9333332777023315,0.9523718357086182,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]",0.8834951519966125,0.9117646813392639,0.5384615384615384,0.883495145631068,0.9155914187431335,0.9767274260520935,0.4375,0.7,"[[84  9]
 [ 3  7]]",0.7184466123580933,0.7383900880813599,0.3829787234042553,0.7184466019417476,0.9086021780967712,0.8276892900466919,0.24324324324324326,0.9,"[[65 28]
 [ 1  9]]",0.9611650705337524,0.891640841960907,0.7777777777777777,0.9611650485436893,0.9596772193908691,0.9647845029830933,0.875,0.7,"[[92  1]
 [ 3  7]]"
0.8834951519966125,0.8830083608627319,0.25,0.883495145631068,0.5365591049194336,0.33913829922676086,0.3333333333333333,0.2,"[[89  4]
 [ 8  2]]",0.3300970792770386,0.22600619494915009,0.12658227848101267,0.3300970873786408,0.3978494703769684,0.18369773030281067,0.07246376811594203,0.5,"[[29 64]
 [ 5  5]]",0.9029126167297363,0.9597523212432861,0.5,0.9029126213592235,0.8317203521728516,0.9903191924095154,0.5,0.5,"[[88  5]
 [ 5  5]]",0.9611650705337524,0.9767801761627197,0.7499999999999999,0.9611650485436893,0.8268817067146301,0.9900794625282288,1.0,0.6,"[[93  0]
 [ 4  6]]",0.9223300814628601,0.7120742797851562,0.6363636363636365,0.9223300970873787,0.7666667103767395,0.8110305070877075,0.5833333333333334,0.7,"[[88  5]
 [ 3  7]]"
0.9223300814628601,0.9108635187149048,0.33333333333333337,0.9223300970873787,0.9225805401802063,0.8854058384895325,1.0,0.2,"[[93  0]
 [ 8  2]]",0.8640776872634888,0.8730649948120117,0.5333333333333333,0.8640776699029126,0.9102150201797485,0.9357800483703613,0.4,0.8,"[[81 12]
 [ 2  8]]",0.8058252334594727,0.8126934766769409,0.4444444444444444,0.8058252427184465,0.8451611399650574,0.8579925298690796,0.3076923076923077,0.8,"[[75 18]
 [ 2  8]]",0.9223300814628601,0.9458204507827759,0.6,0.9223300970873787,0.8629031777381897,0.9847837686538696,0.6,0.6,"[[89  4]
 [ 4  6]]",0.7961165308952332,0.7569659352302551,0.4615384615384615,0.7961165048543688,0.9091397523880005,0.8234574794769287,0.3103448275862069,0.9,"[[73 20]
 [ 1  9]]"
0.8543689250946045,0.8885793685913086,0.11764705882352941,0.8543689320388349,0.6322580575942993,0.44560545682907104,0.14285714285714285,0.1,"[[87  6]
 [ 9  1]]",0.8737863898277283,0.8188854455947876,0.5185185185185185,0.8737864077669902,0.897311806678772,0.8750540018081665,0.4117647058823529,0.7,"[[83 10]
 [ 3  7]]",0.6699029207229614,0.7260062098503113,0.22727272727272727,0.6699029126213593,0.5688171982765198,0.758010745048523,0.14705882352941177,0.5,"[[64 29]
 [ 5  5]]",0.6213592290878296,0.3235294222831726,0.0930232558139535,0.6213592233009708,0.2989247441291809,0.29395946860313416,0.06060606060606061,0.2,"[[62 31]
 [ 8  2]]",0.893203854560852,0.8235294222831726,0.47619047619047616,0.8932038834951457,0.9145160913467407,0.9245942234992981,0.45454545454545453,0.5,"[[87  6]
 [ 5  5]]"
0.8834951519966125,0.8969359397888184,0.0,0.883495145631068,0.47150537371635437,0.4755761921405792,0.0,0.0,"[[91  2]
 [10  0]]",0.6893203854560852,0.6191950440406799,0.23809523809523808,0.6893203883495146,0.6026881337165833,0.7303817868232727,0.15625,0.5,"[[66 27]
 [ 5  5]]",0.6699029207229614,0.8436532616615295,0.3461538461538461,0.6699029126213593,0.925268828868866,0.961530327796936,0.21428571428571427,0.9,"[[60 33]
 [ 1  9]]",0.9320388436317444,0.9659442901611328,0.631578947368421,0.9320388349514563,0.9779569506645203,0.991397500038147,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]",0.8737863898277283,0.891640841960907,0.6060606060606061,0.8737864077669902,0.9629032611846924,0.947962760925293,0.43478260869565216,1.0,"[[80 13]
 [ 0 10]]"
0.8834951519966125,0.8997214436531067,0.0,0.883495145631068,0.7225806713104248,0.8915119171142578,0.0,0.0,"[[91  2]
 [10  0]]",0.8155339956283569,0.905572772026062,0.45714285714285713,0.8155339805825242,0.8086021542549133,0.951835036277771,0.32,0.8,"[[76 17]
 [ 2  8]]",0.9029126167297363,0.7399380803108215,0.6153846153846154,0.9029126213592235,0.8844084739685059,0.8462987542152405,0.5,0.8,"[[85  8]
 [ 2  8]]",0.8640776872634888,0.9380804896354675,0.4615384615384615,0.8640776699029126,0.8338710069656372,0.9801493883132935,0.375,0.6,"[[83 10]
 [ 4  6]]",0.893203854560852,0.9071207642555237,0.4210526315789474,0.8932038834951457,0.6973118185997009,0.9534118175506592,0.4444444444444444,0.4,"[[88  5]
 [ 6  4]]"
0.9029126167297363,0.8997214436531067,0.0,0.9029126213592235,0.8612902164459229,0.8021585941314697,,0.0,"[[93  0]
 [10  0]]",0.7864077687263489,0.8777089715003967,0.4210526315789473,0.7864077669902912,0.9193547964096069,0.9584966897964478,0.2857142857142857,0.8,"[[73 20]
 [ 2  8]]",0.9126213788986206,0.9148606657981873,0.64,0.912621359223301,0.9698924422264099,0.9608641266822815,0.5333333333333333,0.8,"[[86  7]
 [ 2  8]]",0.553398072719574,0.7461300492286682,0.30303030303030304,0.5533980582524272,0.9413978457450867,0.8780731558799744,0.17857142857142858,1.0,"[[47 46]
 [ 0 10]]",0.8834951519966125,0.8869969248771667,0.6,0.883495145631068,0.948387086391449,0.9492806196212769,0.45,0.9,"[[82 11]
 [ 1  9]]"
0.9126213788986206,0.9192200303077698,0.4,0.912621359223301,0.7516129016876221,0.7436361312866211,0.6,0.3,"[[91  2]
 [ 7  3]]",0.7864077687263489,0.8436532616615295,0.45000000000000007,0.7864077669902912,0.9413977861404419,0.9513989090919495,0.3,0.9,"[[72 21]
 [ 1  9]]",0.9126213788986206,0.900928795337677,0.30769230769230765,0.912621359223301,0.8731182813644409,0.9651247262954712,0.6666666666666666,0.2,"[[92  1]
 [ 8  2]]",0.7766990065574646,0.9148606657981873,0.25806451612903225,0.7766990291262136,0.6747311949729919,0.9618850350379944,0.19047619047619047,0.4,"[[76 17]
 [ 6  4]]",0.6504854559898376,0.6795665621757507,0.25,0.6504854368932039,0.7043010592460632,0.7026283144950867,0.15789473684210525,0.6,"[[61 32]
 [ 4  6]]"
0.9126213788986206,0.902506947517395,0.18181818181818182,0.912621359223301,0.8870968222618103,0.8978327512741089,1.0,0.1,"[[93  0]
 [ 9  1]]",0.7766990065574646,0.8173374533653259,0.4390243902439024,0.7766990291262136,0.9354838728904724,0.9146115183830261,0.2903225806451613,0.9,"[[71 22]
 [ 1  9]]",0.9320388436317444,0.8126934766769409,0.631578947368421,0.9320388349514563,0.8548387289047241,0.901733934879303,0.6666666666666666,0.6,"[[90  3]
 [ 4  6]]",0.9514563083648682,0.8978328108787537,0.8,0.9514563106796117,0.9817203879356384,0.977503776550293,0.6666666666666666,1.0,"[[88  5]
 [ 0 10]]",0.8543689250946045,0.8653250932693481,0.5161290322580645,0.8543689320388349,0.8661290407180786,0.9339302182197571,0.38095238095238093,0.8,"[[80 13]
 [ 2  8]]"
0.9126213788986206,0.902506947517395,0.18181818181818182,0.912621359223301,0.9005376100540161,0.7899466753005981,1.0,0.1,"[[93  0]
 [ 9  1]]",0.708737850189209,0.826625406742096,0.375,0.7087378640776699,0.8860214948654175,0.9143047332763672,0.23684210526315788,0.9,"[[64 29]
 [ 1  9]]",0.9126213788986206,0.9597523212432861,0.608695652173913,0.912621359223301,0.8360214233398438,0.9935205578804016,0.5384615384615384,0.7,"[[87  6]
 [ 3  7]]",0.9320388436317444,0.9411764740943909,0.6666666666666666,0.9320388349514563,0.8080644607543945,0.9824593663215637,0.6363636363636364,0.7,"[[89  4]
 [ 3  7]]",0.8834951519966125,0.9287925958633423,0.45454545454545453,0.883495145631068,0.8704301118850708,0.9782179594039917,0.4166666666666667,0.5,"[[86  7]
 [ 5  5]]"
0.9029126167297363,0.8690807819366455,0.16666666666666669,0.9029126213592235,0.5935483574867249,0.5619624257087708,0.5,0.1,"[[92  1]
 [ 9  1]]",0.6601941585540771,0.8157894611358643,0.25531914893617025,0.6601941747572816,0.7043010592460632,0.9102934002876282,0.16216216216216217,0.6,"[[62 31]
 [ 4  6]]",0.9223300814628601,0.9365324974060059,0.6363636363636365,0.9223300970873787,0.9059140086174011,0.9809831976890564,0.5833333333333334,0.7,"[[88  5]
 [ 3  7]]",0.893203854560852,0.9365324974060059,0.26666666666666666,0.8932038834951457,0.7811827063560486,0.9686999917030334,0.4,0.2,"[[90  3]
 [ 8  2]]",0.33980581164360046,0.6006191968917847,0.22727272727272727,0.33980582524271846,0.7064516544342041,0.868622362613678,0.1282051282051282,1.0,"[[25 68]
 [ 0 10]]"
0.893203854560852,0.9052924513816833,0.0,0.8932038834951457,0.8344086408615112,0.8224973678588867,0.0,0.0,"[[92  1]
 [10  0]]",0.6601941585540771,0.7260062098503113,0.2857142857142857,0.6601941747572816,0.6908602118492126,0.7804015278816223,0.1794871794871795,0.7,"[[61 32]
 [ 3  7]]",0.893203854560852,0.9442724585533142,0.5925925925925927,0.8932038834951457,0.8795698881149292,0.9940859079360962,0.47058823529411764,0.8,"[[84  9]
 [ 2  8]]",0.737864077091217,0.8653250932693481,0.06896551724137931,0.7378640776699028,0.5935483574867249,0.8516902327537537,0.05263157894736842,0.1,"[[75 18]
 [ 9  1]]",0.6893203854560852,0.6439628601074219,0.058823529411764705,0.6893203883495146,0.37365588545799255,0.7035197019577026,0.041666666666666664,0.1,"[[70 23]
 [ 9  1]]"
0.893203854560852,0.8969359397888184,0.0,0.8932038834951457,0.698924720287323,0.6771585941314697,0.0,0.0,"[[92  1]
 [10  0]]",0.708737850189209,0.8544891476631165,0.375,0.7087378640776699,0.9155914187431335,0.9613242745399475,0.23684210526315788,0.9,"[[64 29]
 [ 1  9]]",0.582524299621582,0.8173374533653259,0.2950819672131148,0.5825242718446602,0.8478493690490723,0.9148415327072144,0.17647058823529413,0.9,"[[51 42]
 [ 1  9]]",0.844660222530365,0.9334365129470825,0.5294117647058825,0.8446601941747571,0.9188171625137329,0.988052248954773,0.375,0.9,"[[78 15]
 [ 1  9]]",0.9029126167297363,0.8978328108787537,0.5833333333333334,0.9029126213592235,0.9225805401802063,0.946357250213623,0.5,0.7,"[[86  7]
 [ 3  7]]"
