Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.699999988079071,0.699999988079071,0.0,0.7,0.71958327293396,0.7249319553375244,,0.0,"[[140   0]
 [ 60   0]]",0.6600000262260437,0.6765305995941162,0.5405405405405405,0.66,0.7406547665596008,0.719487726688385,0.45454545454545453,0.6666666666666666,"[[92 48]
 [20 40]]",0.6899999976158142,0.6806122660636902,0.4918032786885246,0.69,0.7680952548980713,0.7705102562904358,0.4838709677419355,0.5,"[[108  32]
 [ 30  30]]",0.699999988079071,0.5,0.0,0.7,0.3319047689437866,0.27931901812553406,,0.0,"[[140   0]
 [ 60   0]]",0.6200000047683716,0.5581632852554321,0.3968253968253969,0.62,0.5214285254478455,0.5630174875259399,0.3787878787878788,0.4166666666666667,"[[99 41]
 [35 25]]"
0.699999988079071,0.699999988079071,0.0,0.7,0.6429761648178101,0.6250631213188171,,0.0,"[[140   0]
 [ 60   0]]",0.6949999928474426,0.5826530456542969,0.16438356164383564,0.695,0.6550595164299011,0.7425031065940857,0.46153846153846156,0.1,"[[133   7]
 [ 54   6]]",0.6700000166893005,0.7102040648460388,0.5147058823529412,0.67,0.6779761910438538,0.7895605564117432,0.4605263157894737,0.5833333333333334,"[[99 41]
 [25 35]]",0.7049999833106995,0.5010204315185547,0.03278688524590164,0.705,0.5460714101791382,0.6832444667816162,1.0,0.016666666666666666,"[[140   0]
 [ 59   1]]",0.6549999713897705,0.7306122183799744,0.48888888888888893,0.655,0.6561309695243835,0.8100082278251648,0.44,0.55,"[[98 42]
 [27 33]]"
0.6949999928474426,0.699999988079071,0.0,0.695,0.6390476226806641,0.6811078786849976,0.0,0.0,"[[139   1]
 [ 60   0]]",0.675000011920929,0.5051020383834839,0.029850746268656716,0.675,0.5236309766769409,0.5676842927932739,0.14285714285714285,0.016666666666666666,"[[134   6]
 [ 59   1]]",0.699999988079071,0.5897959470748901,0.3181818181818182,0.7,0.6008928418159485,0.7239462733268738,0.5,0.23333333333333334,"[[126  14]
 [ 46  14]]",0.6650000214576721,0.5479592084884644,0.10666666666666667,0.665,0.5598214268684387,0.5622698664665222,0.26666666666666666,0.06666666666666667,"[[129  11]
 [ 56   4]]",0.5799999833106995,0.6499999761581421,0.20754716981132076,0.58,0.4843452274799347,0.6988650560379028,0.2391304347826087,0.18333333333333332,"[[105  35]
 [ 49  11]]"
0.7149999737739563,0.6971428394317627,0.12307692307692308,0.715,0.7357738018035889,0.7197813391685486,0.8,0.06666666666666667,"[[139   1]
 [ 56   4]]",0.6700000166893005,0.704081654548645,0.5822784810126582,0.67,0.768750011920929,0.7880486845970154,0.46938775510204084,0.7666666666666667,"[[88 52]
 [14 46]]",0.699999988079071,0.5,0.0,0.7,0.44059523940086365,0.49592670798301697,,0.0,"[[140   0]
 [ 60   0]]",0.47999998927116394,0.5204081535339355,0.44680851063829785,0.48,0.5424404144287109,0.5439795851707458,0.328125,0.7,"[[54 86]
 [18 42]]",0.6850000023841858,0.6734693646430969,0.4,0.685,0.7076785564422607,0.7549811601638794,0.4666666666666667,0.35,"[[116  24]
 [ 39  21]]"
0.7049999833106995,0.6885714530944824,0.03278688524590164,0.705,0.5072023868560791,0.48978132009506226,1.0,0.016666666666666666,"[[140   0]
 [ 59   1]]",0.6949999928474426,0.5653061270713806,0.29885057471264365,0.695,0.6148809194564819,0.6599333882331848,0.48148148148148145,0.21666666666666667,"[[126  14]
 [ 47  13]]",0.7250000238418579,0.7857142686843872,0.4444444444444444,0.7250000000000001,0.7320237755775452,0.8777175545692444,0.5641025641025641,0.36666666666666664,"[[123  17]
 [ 38  22]]",0.6050000190734863,0.6479591727256775,0.27522935779816515,0.605,0.6018452644348145,0.7421116828918457,0.30612244897959184,0.25,"[[106  34]
 [ 45  15]]",0.6650000214576721,0.5979591608047485,0.17283950617283952,0.665,0.637499988079071,0.7092211842536926,0.3333333333333333,0.11666666666666667,"[[126  14]
 [ 53   7]]"
0.699999988079071,0.699999988079071,0.0,0.7,0.5567261576652527,0.64665687084198,,0.0,"[[140   0]
 [ 60   0]]",0.6499999761581421,0.6561224460601807,0.5882352941176471,0.65,0.7748809456825256,0.7171053290367126,0.45454545454545453,0.8333333333333334,"[[80 60]
 [10 50]]",0.6299999952316284,0.686734676361084,0.4714285714285714,0.63,0.6657143235206604,0.7594732046127319,0.4125,0.55,"[[93 47]
 [27 33]]",0.6949999928474426,0.6193877458572388,0.31460674157303375,0.695,0.6379166841506958,0.763404905796051,0.4827586206896552,0.23333333333333334,"[[125  15]
 [ 46  14]]",0.7200000286102295,0.6469388008117676,0.49090909090909096,0.72,0.757857084274292,0.742180347442627,0.54,0.45,"[[117  23]
 [ 33  27]]"
0.699999988079071,0.699999988079071,0.0,0.7,0.5803571939468384,0.5453935861587524,,0.0,"[[140   0]
 [ 60   0]]",0.6349999904632568,0.5163265466690063,0.17977528089887643,0.635,0.5158928632736206,0.5529529452323914,0.27586206896551724,0.13333333333333333,"[[119  21]
 [ 52   8]]",0.699999988079071,0.5030612349510193,0.0,0.7,0.5410119295120239,0.7010058164596558,,0.0,"[[140   0]
 [ 60   0]]",0.5950000286102295,0.6255102157592773,0.3076923076923077,0.595,0.5706547498703003,0.6870282888412476,0.3157894736842105,0.3,"[[101  39]
 [ 42  18]]",0.6399999856948853,0.6540816426277161,0.47826086956521735,0.64,0.6278570890426636,0.7074967622756958,0.4230769230769231,0.55,"[[95 45]
 [27 33]]"
0.699999988079071,0.699999988079071,0.0,0.7,0.7286904454231262,0.7240524291992188,,0.0,"[[140   0]
 [ 60   0]]",0.6399999856948853,0.6081632375717163,0.4929577464788732,0.64,0.626130998134613,0.6566076278686523,0.4268292682926829,0.5833333333333334,"[[93 47]
 [25 35]]",0.7049999833106995,0.6602040529251099,0.33707865168539325,0.705,0.7037500143051147,0.7972615361213684,0.5172413793103449,0.25,"[[126  14]
 [ 45  15]]",0.675000011920929,0.7581632733345032,0.5637583892617449,0.675,0.731666624546051,0.8186338543891907,0.47191011235955055,0.7,"[[93 47]
 [18 42]]",0.675000011920929,0.518367350101471,0.08450704225352113,0.675,0.5642856359481812,0.6085256338119507,0.2727272727272727,0.05,"[[132   8]
 [ 57   3]]"
0.699999988079071,0.699999988079071,0.0,0.7,0.5968452095985413,0.5281292796134949,,0.0,"[[140   0]
 [ 60   0]]",0.6800000071525574,0.6459183692932129,0.5294117647058824,0.68,0.7059524059295654,0.7019096612930298,0.47368421052631576,0.6,"[[100  40]
 [ 24  36]]",0.6650000214576721,0.722449004650116,0.5503355704697988,0.665,0.7400595545768738,0.7597147226333618,0.4606741573033708,0.6833333333333333,"[[92 48]
 [19 41]]",0.6299999952316284,0.6255102157592773,0.30188679245283023,0.63,0.5529761910438538,0.6773114800453186,0.34782608695652173,0.26666666666666666,"[[110  30]
 [ 44  16]]",0.7350000143051147,0.6877551078796387,0.4752475247524752,0.735,0.7503571510314941,0.7895918488502502,0.5853658536585366,0.4,"[[123  17]
 [ 36  24]]"
0.699999988079071,0.699999988079071,0.0,0.7,0.6464285850524902,0.6803741455078125,,0.0,"[[140   0]
 [ 60   0]]",0.550000011920929,0.5602040886878967,0.45783132530120485,0.55,0.597678542137146,0.5491628050804138,0.3584905660377358,0.6333333333333333,"[[72 68]
 [22 38]]",0.7149999737739563,0.6755102276802063,0.3448275862068966,0.715,0.6997023820877075,0.7788066864013672,0.5555555555555556,0.25,"[[128  12]
 [ 45  15]]",0.7350000143051147,0.718367338180542,0.5691056910569107,0.735,0.7358928918838501,0.7844106554985046,0.5555555555555556,0.5833333333333334,"[[112  28]
 [ 25  35]]",0.7250000238418579,0.6081632375717163,0.3373493975903614,0.7250000000000001,0.7245833873748779,0.7574511170387268,0.6086956521739131,0.23333333333333334,"[[131   9]
 [ 46  14]]"
