Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.8229166666666666,1.0,0.653061224489796,0.8229166666666666,0.7924242424242425,1.0,0.8421052631578947,0.5333333333333333,"[[63  3]
 [14 16]]",0.7916666666666666,1.0,0.6296296296296297,0.7916666666666666,0.7941919191919191,1.0,0.7083333333333334,0.5666666666666667,"[[59  7]
 [13 17]]",0.8229166666666666,1.0,0.653061224489796,0.8229166666666666,0.8080808080808082,1.0,0.8421052631578947,0.5333333333333333,"[[63  3]
 [14 16]]",0.8333333333333334,1.0,0.68,0.8333333333333334,0.798989898989899,1.0,0.85,0.5666666666666667,"[[63  3]
 [13 17]]",0.8333333333333334,1.0,0.6666666666666667,0.8333333333333334,0.7967171717171719,1.0,0.8888888888888888,0.5333333333333333,"[[64  2]
 [14 16]]"
0.8229166666666666,1.0,0.653061224489796,0.8229166666666666,0.8368686868686869,1.0,0.8421052631578947,0.5333333333333333,"[[63  3]
 [14 16]]",0.8333333333333334,1.0,0.7142857142857142,0.8333333333333334,0.845959595959596,1.0,0.7692307692307693,0.6666666666666666,"[[60  6]
 [10 20]]",0.8645833333333334,1.0,0.7346938775510204,0.8645833333333333,0.819949494949495,1.0,0.9473684210526315,0.6,"[[65  1]
 [12 18]]",0.84375,0.9978540772532188,0.6938775510204083,0.84375,0.8234848484848485,0.9999999999999999,0.8947368421052632,0.5666666666666667,"[[64  2]
 [13 17]]",0.8541666666666666,1.0,0.7083333333333334,0.8541666666666666,0.8209595959595959,1.0,0.9444444444444444,0.5666666666666667,"[[65  1]
 [13 17]]"
0.75,1.0,0.47826086956521735,0.75,0.6540404040404041,1.0,0.6875,0.36666666666666664,"[[61  5]
 [19 11]]",0.6979166666666666,1.0,0.4727272727272728,0.6979166666666666,0.6391414141414141,1.0,0.52,0.43333333333333335,"[[54 12]
 [17 13]]",0.7604166666666666,1.0,0.4888888888888889,0.7604166666666666,0.6681818181818182,1.0,0.7333333333333333,0.36666666666666664,"[[62  4]
 [19 11]]",0.75,1.0,0.47826086956521735,0.75,0.6962121212121213,1.0,0.6875,0.36666666666666664,"[[61  5]
 [19 11]]",0.7395833333333334,1.0,0.4444444444444444,0.7395833333333334,0.6606060606060608,1.0,0.6666666666666666,0.3333333333333333,"[[61  5]
 [20 10]]"
0.8333333333333334,1.0,0.6521739130434783,0.8333333333333334,0.743181818181818,1.0,0.9375,0.5,"[[65  1]
 [15 15]]",0.7916666666666666,1.0,0.6,0.7916666666666666,0.7146464646464646,1.0,0.75,0.5,"[[61  5]
 [15 15]]",0.8125,1.0,0.608695652173913,0.8125,0.7532828282828283,1.0,0.875,0.4666666666666667,"[[64  2]
 [16 14]]",0.8125,1.0,0.608695652173913,0.8125,0.7482323232323231,1.0,0.875,0.4666666666666667,"[[64  2]
 [16 14]]",0.8020833333333334,1.0,0.6122448979591837,0.8020833333333334,0.7426767676767678,1.0,0.7894736842105263,0.5,"[[62  4]
 [15 15]]"
0.84375,1.0,0.7169811320754716,0.84375,0.843939393939394,1.0,0.8260869565217391,0.6333333333333333,"[[62  4]
 [11 19]]",0.8125,1.0,0.6785714285714285,0.8125,0.8340909090909091,1.0,0.7307692307692307,0.6333333333333333,"[[59  7]
 [11 19]]",0.8333333333333334,1.0,0.6923076923076923,0.8333333333333334,0.8484848484848485,1.0,0.8181818181818182,0.6,"[[62  4]
 [12 18]]",0.84375,1.0,0.7272727272727272,0.84375,0.8419191919191918,1.0,0.8,0.6666666666666666,"[[61  5]
 [10 20]]",0.84375,1.0,0.7272727272727272,0.84375,0.8358585858585859,1.0,0.8,0.6666666666666666,"[[61  5]
 [10 20]]"
0.78125,1.0,0.5714285714285714,0.78125,0.7876262626262626,1.0,0.7368421052631579,0.4666666666666667,"[[61  5]
 [16 14]]",0.7708333333333334,1.0,0.5925925925925926,0.7708333333333333,0.7714646464646464,1.0,0.6666666666666666,0.5333333333333333,"[[58  8]
 [14 16]]",0.7916666666666666,1.0,0.6153846153846153,0.7916666666666666,0.7691919191919192,1.0,0.7272727272727273,0.5333333333333333,"[[60  6]
 [14 16]]",0.8020833333333334,1.0,0.6122448979591837,0.8020833333333334,0.7946969696969697,1.0,0.7894736842105263,0.5,"[[62  4]
 [15 15]]",0.7708333333333334,1.0,0.576923076923077,0.7708333333333333,0.7749999999999999,1.0,0.6818181818181818,0.5,"[[59  7]
 [15 15]]"
0.7604166666666666,1.0,0.5490196078431373,0.7604166666666666,0.765909090909091,0.9999999999999999,0.6666666666666666,0.4666666666666667,"[[59  7]
 [16 14]]",0.7916666666666666,1.0,0.6428571428571429,0.7916666666666666,0.7896464646464646,1.0,0.6923076923076923,0.6,"[[58  8]
 [12 18]]",0.7708333333333334,1.0,0.5416666666666666,0.7708333333333333,0.7646464646464647,1.0,0.7222222222222222,0.43333333333333335,"[[61  5]
 [17 13]]",0.7708333333333334,1.0,0.56,0.7708333333333333,0.7628787878787878,1.0,0.7,0.4666666666666667,"[[60  6]
 [16 14]]",0.7708333333333334,1.0,0.56,0.7708333333333333,0.7608585858585859,1.0,0.7,0.4666666666666667,"[[60  6]
 [16 14]]"
0.8020833333333334,1.0,0.5957446808510638,0.8020833333333334,0.7512626262626263,1.0,0.8235294117647058,0.4666666666666667,"[[63  3]
 [16 14]]",0.7916666666666666,1.0,0.6,0.7916666666666666,0.7037878787878787,1.0,0.75,0.5,"[[61  5]
 [15 15]]",0.8125,1.0,0.5909090909090909,0.8125,0.7424242424242424,1.0,0.9285714285714286,0.43333333333333335,"[[65  1]
 [17 13]]",0.8333333333333334,1.0,0.6521739130434783,0.8333333333333334,0.7351010101010101,1.0,0.9375,0.5,"[[65  1]
 [15 15]]",0.8020833333333334,1.0,0.6122448979591837,0.8020833333333334,0.7391414141414141,1.0,0.7894736842105263,0.5,"[[62  4]
 [15 15]]"
0.7395833333333334,1.0,0.4897959183673469,0.7395833333333334,0.7618686868686869,1.0,0.631578947368421,0.4,"[[59  7]
 [18 12]]",0.7604166666666666,1.0,0.5660377358490566,0.7604166666666666,0.7257575757575758,1.0,0.6521739130434783,0.5,"[[58  8]
 [15 15]]",0.7395833333333334,1.0,0.4897959183673469,0.7395833333333334,0.7525252525252526,0.9999999999999999,0.631578947368421,0.4,"[[59  7]
 [18 12]]",0.75,1.0,0.5,0.75,0.760858585858586,0.9999999999999999,0.6666666666666666,0.4,"[[60  6]
 [18 12]]",0.7395833333333334,1.0,0.46808510638297873,0.7395833333333334,0.7681818181818183,1.0,0.6470588235294118,0.36666666666666664,"[[60  6]
 [19 11]]"
0.8333333333333334,1.0,0.68,0.8333333333333334,0.8101010101010101,1.0,0.85,0.5666666666666667,"[[63  3]
 [13 17]]",0.8229166666666666,1.0,0.6909090909090909,0.8229166666666666,0.7921717171717172,1.0,0.76,0.6333333333333333,"[[60  6]
 [11 19]]",0.84375,1.0,0.6938775510204083,0.84375,0.8169191919191918,1.0,0.8947368421052632,0.5666666666666667,"[[64  2]
 [13 17]]",0.84375,1.0,0.7058823529411764,0.84375,0.8184343434343434,1.0,0.8571428571428571,0.6,"[[63  3]
 [12 18]]",0.8229166666666666,1.0,0.6382978723404256,0.8229166666666666,0.8065656565656566,1.0,0.8823529411764706,0.5,"[[64  2]
 [15 15]]"
