Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.78,1.0,0.5510204081632654,0.78,0.8086309523809525,1.0,0.7105263157894737,0.45,"[[129  11]
 [ 33  27]]",0.755,1.0,0.5504587155963303,0.755,0.7874404761904762,1.0,0.6122448979591837,0.5,"[[121  19]
 [ 30  30]]",0.78,1.0,0.5416666666666666,0.78,0.8184523809523809,1.0,0.7222222222222222,0.43333333333333335,"[[130  10]
 [ 34  26]]",0.745,1.0,0.45161290322580644,0.745,0.8035714285714285,1.0,0.6363636363636364,0.35,"[[128  12]
 [ 39  21]]",0.79,1.0,0.58,0.79,0.8051190476190476,1.0,0.725,0.48333333333333334,"[[129  11]
 [ 31  29]]"
0.735,1.0,0.4421052631578947,0.735,0.7367261904761905,1.0,0.6,0.35,"[[126  14]
 [ 39  21]]",0.755,1.0,0.5333333333333333,0.755,0.7364285714285714,1.0,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.775,1.0,0.5161290322580645,0.775,0.7332142857142857,1.0,0.7272727272727273,0.4,"[[131   9]
 [ 36  24]]",0.75,1.0,0.4791666666666667,0.75,0.7332738095238095,1.0,0.6388888888888888,0.38333333333333336,"[[127  13]
 [ 37  23]]",0.765,1.0,0.5154639175257731,0.765,0.7392857142857142,1.0,0.6756756756756757,0.4166666666666667,"[[128  12]
 [ 35  25]]"
0.765,1.0,0.5346534653465347,0.765,0.7898214285714287,1.0,0.6585365853658537,0.45,"[[126  14]
 [ 33  27]]",0.735,1.0,0.5225225225225224,0.735,0.7641666666666667,1.0,0.5686274509803921,0.48333333333333334,"[[118  22]
 [ 31  29]]",0.765,1.0,0.5252525252525252,0.765,0.7878571428571429,1.0,0.6666666666666666,0.43333333333333335,"[[127  13]
 [ 34  26]]",0.775,1.0,0.5631067961165049,0.775,0.7905357142857143,1.0,0.6744186046511628,0.48333333333333334,"[[126  14]
 [ 31  29]]",0.755,1.0,0.5242718446601942,0.755,0.775892857142857,1.0,0.627906976744186,0.45,"[[124  16]
 [ 33  27]]"
0.785,1.0,0.556701030927835,0.785,0.8036309523809524,1.0,0.7297297297297297,0.45,"[[130  10]
 [ 33  27]]",0.765,1.0,0.5346534653465347,0.765,0.7761904761904762,1.0,0.6585365853658537,0.45,"[[126  14]
 [ 33  27]]",0.765,1.0,0.4946236559139786,0.765,0.7929166666666667,1.0,0.696969696969697,0.38333333333333336,"[[130  10]
 [ 37  23]]",0.79,1.0,0.5625000000000001,0.79,0.8048809523809524,1.0,0.75,0.45,"[[131   9]
 [ 33  27]]",0.795,1.0,0.6168224299065421,0.795,0.8035119047619047,1.0,0.7021276595744681,0.55,"[[126  14]
 [ 27  33]]"
0.74,1.0,0.4090909090909091,0.74,0.7923809523809523,1.0,0.6428571428571429,0.3,"[[130  10]
 [ 42  18]]",0.725,1.0,0.43298969072164945,0.7250000000000001,0.7620238095238095,1.0,0.5675675675675675,0.35,"[[124  16]
 [ 39  21]]",0.745,1.0,0.4,0.745,0.7756547619047619,1.0,0.68,0.2833333333333333,"[[132   8]
 [ 43  17]]",0.735,1.0,0.3614457831325301,0.735,0.7848214285714286,1.0,0.6521739130434783,0.25,"[[132   8]
 [ 45  15]]",0.73,1.0,0.3863636363636363,0.7299999999999999,0.7651190476190476,1.0,0.6071428571428571,0.2833333333333333,"[[129  11]
 [ 43  17]]"
0.75,1.0,0.4791666666666667,0.75,0.8126785714285714,1.0,0.6388888888888888,0.38333333333333336,"[[127  13]
 [ 37  23]]",0.76,1.0,0.5384615384615385,0.76,0.799702380952381,1.0,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.78,1.0,0.56,0.78,0.8030952380952381,1.0,0.7,0.4666666666666667,"[[128  12]
 [ 32  28]]",0.765,1.0,0.5154639175257731,0.765,0.804047619047619,1.0,0.6756756756756757,0.4166666666666667,"[[128  12]
 [ 35  25]]",0.755,1.0,0.4615384615384615,0.755,0.8170238095238095,1.0,0.6774193548387096,0.35,"[[130  10]
 [ 39  21]]"
0.72,1.0,0.3913043478260869,0.72,0.7564880952380952,1.0,0.5625,0.3,"[[126  14]
 [ 42  18]]",0.755,1.0,0.5242718446601942,0.755,0.7870833333333334,1.0,0.627906976744186,0.45,"[[124  16]
 [ 33  27]]",0.725,1.0,0.40860215053763443,0.7250000000000001,0.7610119047619048,1.0,0.5757575757575758,0.31666666666666665,"[[126  14]
 [ 41  19]]",0.735,1.0,0.40449438202247195,0.735,0.7867857142857142,1.0,0.6206896551724138,0.3,"[[129  11]
 [ 42  18]]",0.745,1.0,0.45161290322580644,0.745,0.7708333333333333,1.0,0.6363636363636364,0.35,"[[128  12]
 [ 39  21]]"
0.755,1.0,0.49484536082474234,0.755,0.7780357142857144,1.0,0.6486486486486487,0.4,"[[127  13]
 [ 36  24]]",0.75,1.0,0.4897959183673469,0.75,0.7647619047619049,1.0,0.631578947368421,0.4,"[[126  14]
 [ 36  24]]",0.765,1.0,0.5523809523809524,0.765,0.7779166666666666,1.0,0.6444444444444445,0.48333333333333334,"[[124  16]
 [ 31  29]]",0.745,1.0,0.5048543689320388,0.745,0.7794642857142856,1.0,0.6046511627906976,0.43333333333333335,"[[123  17]
 [ 34  26]]",0.745,1.0,0.5142857142857143,0.745,0.788452380952381,1.0,0.6,0.45,"[[122  18]
 [ 33  27]]"
0.72,1.0,0.3777777777777777,0.72,0.7307142857142856,0.9999999999999999,0.5666666666666667,0.2833333333333333,"[[127  13]
 [ 43  17]]",0.735,1.0,0.5225225225225224,0.735,0.7261904761904762,1.0,0.5686274509803921,0.48333333333333334,"[[118  22]
 [ 31  29]]",0.72,1.0,0.36363636363636365,0.72,0.7332738095238095,1.0,0.5714285714285714,0.26666666666666666,"[[128  12]
 [ 44  16]]",0.74,1.0,0.43478260869565216,0.74,0.7413690476190475,1.0,0.625,0.3333333333333333,"[[128  12]
 [ 40  20]]",0.715,1.0,0.41237113402061853,0.715,0.7295833333333334,1.0,0.5405405405405406,0.3333333333333333,"[[123  17]
 [ 40  20]]"
0.725,1.0,0.4210526315789474,0.7250000000000001,0.7034523809523809,0.9999999999999999,0.5714285714285714,0.3333333333333333,"[[125  15]
 [ 40  20]]",0.69,1.0,0.44642857142857145,0.69,0.7057142857142857,1.0,0.4807692307692308,0.4166666666666667,"[[113  27]
 [ 35  25]]",0.705,1.0,0.33707865168539325,0.705,0.7120238095238096,1.0,0.5172413793103449,0.25,"[[126  14]
 [ 45  15]]",0.71,1.0,0.3829787234042553,0.7100000000000001,0.7023214285714284,1.0,0.5294117647058824,0.3,"[[124  16]
 [ 42  18]]",0.71,1.0,0.3829787234042553,0.7100000000000001,0.7141666666666666,1.0,0.5294117647058824,0.3,"[[124  16]
 [ 42  18]]"
