Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9696969696969697,1.0,0.0,0.9696969696969697,0.9267578125,1.0,,0.0,"[[128   0]
 [  4   0]]",0.9545454545454546,1.0,0.0,0.9545454545454546,0.8193359375,1.0,0.0,0.0,"[[126   2]
 [  4   0]]",0.9545454545454546,1.0,0.0,0.9545454545454546,0.728515625,1.0,0.0,0.0,"[[126   2]
 [  4   0]]",0.9696969696969697,1.0,0.0,0.9696969696969697,0.794921875,1.0,,0.0,"[[128   0]
 [  4   0]]",0.9621212121212122,1.0,0.0,0.9621212121212122,0.744140625,1.0,0.0,0.0,"[[127   1]
 [  4   0]]"
0.9772727272727273,1.0,0.4,0.9772727272727273,0.93359375,1.0,1.0,0.25,"[[128   0]
 [  3   1]]",0.946969696969697,1.0,0.22222222222222224,0.946969696969697,0.748046875,1.0,0.2,0.25,"[[124   4]
 [  3   1]]",0.9393939393939394,1.0,0.2,0.9393939393939394,0.865234375,1.0,0.16666666666666666,0.25,"[[123   5]
 [  3   1]]",0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.8818359375,1.0,0.5,0.25,"[[127   1]
 [  3   1]]",0.9621212121212122,1.0,0.28571428571428575,0.9621212121212122,0.83984375,0.9999999999999999,0.3333333333333333,0.25,"[[126   2]
 [  3   1]]"
0.9696969696969697,0.9978165938864629,0.0,0.9696969696969697,0.92578125,1.0,,0.0,"[[128   0]
 [  4   0]]",0.9621212121212122,1.0,0.28571428571428575,0.9621212121212122,0.9794921875,1.0,0.3333333333333333,0.25,"[[126   2]
 [  3   1]]",0.9545454545454546,1.0,0.4,0.9545454545454546,0.876953125,1.0,0.3333333333333333,0.5,"[[124   4]
 [  2   2]]",0.9696969696969697,1.0,0.0,0.9696969696969697,0.9130859375,1.0,,0.0,"[[128   0]
 [  4   0]]",0.9090909090909091,1.0,0.0,0.9090909090909091,0.8076171875,1.0,0.0,0.0,"[[120   8]
 [  4   0]]"
0.9772727272727273,1.0,0.4,0.9772727272727273,0.7998046875,1.0,1.0,0.25,"[[128   0]
 [  3   1]]",0.9393939393939394,1.0,0.3333333333333333,0.9393939393939394,0.962890625,1.0,0.25,0.5,"[[122   6]
 [  2   2]]",0.9848484848484849,1.0,0.6666666666666666,0.9848484848484849,0.919921875,0.9999999999999999,1.0,0.5,"[[128   0]
 [  2   2]]",0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.931640625,0.9999999999999999,0.5,0.25,"[[127   1]
 [  3   1]]",0.9772727272727273,1.0,0.4,0.9772727272727273,0.9130859375,1.0,1.0,0.25,"[[128   0]
 [  3   1]]"
0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.9482421875,1.0,0.5,0.25,"[[127   1]
 [  3   1]]",0.9772727272727273,1.0,0.4,0.9772727272727273,0.92578125,1.0,1.0,0.25,"[[128   0]
 [  3   1]]",0.9848484848484849,1.0,0.6666666666666666,0.9848484848484849,0.95703125,1.0,1.0,0.5,"[[128   0]
 [  2   2]]",0.9772727272727273,1.0,0.4,0.9772727272727273,0.9462890625,0.9999999999999999,1.0,0.25,"[[128   0]
 [  3   1]]",0.9772727272727273,1.0,0.5714285714285715,0.9772727272727273,0.896484375,1.0,0.6666666666666666,0.5,"[[127   1]
 [  2   2]]"
0.9772727272727273,1.0,0.4,0.9772727272727273,0.876953125,1.0,1.0,0.25,"[[128   0]
 [  3   1]]",0.9848484848484849,1.0,0.6666666666666666,0.9848484848484849,0.9765625,1.0,1.0,0.5,"[[128   0]
 [  2   2]]",0.946969696969697,1.0,0.22222222222222224,0.946969696969697,0.7880859375,1.0,0.2,0.25,"[[124   4]
 [  3   1]]",0.9545454545454546,1.0,0.25,0.9545454545454546,0.833984375,1.0,0.25,0.25,"[[125   3]
 [  3   1]]",0.9772727272727273,1.0,0.5714285714285715,0.9772727272727273,0.8662109375,0.9999999999999999,0.6666666666666666,0.5,"[[127   1]
 [  2   2]]"
0.9696969696969697,1.0,0.0,0.9696969696969697,0.84375,1.0,,0.0,"[[128   0]
 [  4   0]]",0.9621212121212122,1.0,0.28571428571428575,0.9621212121212122,0.9521484375,1.0,0.3333333333333333,0.25,"[[126   2]
 [  3   1]]",0.9393939393939394,1.0,0.0,0.9393939393939394,0.763671875,1.0,0.0,0.0,"[[124   4]
 [  4   0]]",0.9621212121212122,1.0,0.28571428571428575,0.9621212121212122,0.814453125,1.0,0.3333333333333333,0.25,"[[126   2]
 [  3   1]]",0.9696969696969697,1.0,0.5,0.9696969696969697,0.712890625,1.0,0.5,0.5,"[[126   2]
 [  2   2]]"
0.9621212121212122,1.0,0.0,0.9621212121212122,0.8505859375,1.0,0.0,0.0,"[[127   1]
 [  4   0]]",0.9545454545454546,1.0,0.0,0.9545454545454546,0.8896484375,1.0,0.0,0.0,"[[126   2]
 [  4   0]]",0.8787878787878788,1.0,0.0,0.8787878787878788,0.6279296875,1.0,0.0,0.0,"[[116  12]
 [  4   0]]",0.9621212121212122,1.0,0.28571428571428575,0.9621212121212122,0.8515625,1.0,0.3333333333333333,0.25,"[[126   2]
 [  3   1]]",0.946969696969697,1.0,0.0,0.946969696969697,0.8359375,1.0,0.0,0.0,"[[125   3]
 [  4   0]]"
0.9621212121212122,1.0,0.0,0.9621212121212122,0.763671875,1.0,0.0,0.0,"[[127   1]
 [  4   0]]",0.9166666666666666,1.0,0.0,0.9166666666666666,0.84765625,1.0,0.0,0.0,"[[121   7]
 [  4   0]]",0.9090909090909091,1.0,0.0,0.9090909090909091,0.8466796875,1.0,0.0,0.0,"[[120   8]
 [  4   0]]",0.9545454545454546,1.0,0.0,0.9545454545454546,0.7587890625,1.0,0.0,0.0,"[[126   2]
 [  4   0]]",0.9621212121212122,1.0,0.0,0.9621212121212122,0.837890625,1.0,0.0,0.0,"[[127   1]
 [  4   0]]"
0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.9033203125,1.0,0.5,0.25,"[[127   1]
 [  3   1]]",0.946969696969697,1.0,0.22222222222222224,0.946969696969697,0.9345703125,1.0,0.2,0.25,"[[124   4]
 [  3   1]]",0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.8896484375,1.0,0.5,0.25,"[[127   1]
 [  3   1]]",0.946969696969697,1.0,0.22222222222222224,0.946969696969697,0.8681640625,1.0,0.2,0.25,"[[124   4]
 [  3   1]]",0.9696969696969697,1.0,0.5,0.9696969696969697,0.8720703125,1.0,0.5,0.5,"[[126   2]
 [  2   2]]"
