Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.775,1.0,0.5544554455445545,0.775,0.7851190476190476,1.0,0.6829268292682927,0.4666666666666667,"[[127  13]
 [ 32  28]]",0.755,1.0,0.5739130434782609,0.755,0.765,1.0,0.6,0.55,"[[118  22]
 [ 27  33]]",0.765,1.0,0.5346534653465347,0.765,0.7892857142857144,1.0,0.6585365853658537,0.45,"[[126  14]
 [ 33  27]]",0.77,1.0,0.5660377358490566,0.7699999999999999,0.7765476190476192,1.0,0.6521739130434783,0.5,"[[124  16]
 [ 30  30]]",0.785,1.0,0.5825242718446603,0.785,0.7801190476190475,1.0,0.6976744186046512,0.5,"[[127  13]
 [ 30  30]]"
0.75,1.0,0.537037037037037,0.75,0.7316666666666667,1.0,0.6041666666666666,0.48333333333333334,"[[121  19]
 [ 31  29]]",0.775,1.0,0.5794392523364487,0.775,0.7567857142857143,1.0,0.6595744680851063,0.5166666666666667,"[[124  16]
 [ 29  31]]",0.735,1.0,0.4952380952380952,0.735,0.7208333333333333,1.0,0.5777777777777777,0.43333333333333335,"[[121  19]
 [ 34  26]]",0.76,1.0,0.5471698113207547,0.76,0.7245238095238096,1.0,0.6304347826086957,0.48333333333333334,"[[123  17]
 [ 31  29]]",0.75,1.0,0.5192307692307692,0.75,0.7223809523809522,1.0,0.6136363636363636,0.45,"[[123  17]
 [ 33  27]]"
0.765,1.0,0.5346534653465347,0.765,0.8113095238095238,1.0,0.6585365853658537,0.45,"[[126  14]
 [ 33  27]]",0.765,1.0,0.5154639175257731,0.765,0.8009523809523809,1.0,0.6756756756756757,0.4166666666666667,"[[128  12]
 [ 35  25]]",0.77,1.0,0.5306122448979592,0.7699999999999999,0.8291666666666667,1.0,0.6842105263157895,0.43333333333333335,"[[128  12]
 [ 34  26]]",0.77,1.0,0.54,0.7699999999999999,0.8185714285714285,1.0,0.675,0.45,"[[127  13]
 [ 33  27]]",0.77,1.0,0.5306122448979592,0.7699999999999999,0.8141666666666667,1.0,0.6842105263157895,0.43333333333333335,"[[128  12]
 [ 34  26]]"
0.735,1.0,0.5225225225225224,0.735,0.7523809523809524,1.0,0.5686274509803921,0.48333333333333334,"[[118  22]
 [ 31  29]]",0.78,1.0,0.6140350877192983,0.78,0.7721428571428571,1.0,0.6481481481481481,0.5833333333333334,"[[121  19]
 [ 25  35]]",0.74,1.0,0.5272727272727273,0.74,0.7435714285714287,1.0,0.58,0.48333333333333334,"[[119  21]
 [ 31  29]]",0.76,1.0,0.5384615384615385,0.76,0.7551190476190476,1.0,0.6363636363636364,0.4666666666666667,"[[124  16]
 [ 32  28]]",0.75,1.0,0.5454545454545454,0.75,0.7498809523809523,1.0,0.6,0.5,"[[120  20]
 [ 30  30]]"
0.76,1.0,0.5555555555555556,0.76,0.768452380952381,1.0,0.625,0.5,"[[122  18]
 [ 30  30]]",0.785,1.0,0.6055045871559633,0.785,0.7882142857142858,1.0,0.673469387755102,0.55,"[[124  16]
 [ 27  33]]",0.75,1.0,0.5192307692307692,0.75,0.7657142857142858,1.0,0.6136363636363636,0.45,"[[123  17]
 [ 33  27]]",0.77,1.0,0.5818181818181818,0.7699999999999999,0.7660714285714286,1.0,0.64,0.5333333333333333,"[[122  18]
 [ 28  32]]",0.77,1.0,0.5818181818181818,0.7699999999999999,0.7611904761904762,1.0,0.64,0.5333333333333333,"[[122  18]
 [ 28  32]]"
0.78,1.0,0.6206896551724138,0.78,0.7835714285714286,1.0,0.6428571428571429,0.6,"[[120  20]
 [ 24  36]]",0.75,1.0,0.5901639344262295,0.75,0.7875,1.0,0.5806451612903226,0.6,"[[114  26]
 [ 24  36]]",0.775,1.0,0.6218487394957983,0.775,0.7810714285714284,1.0,0.6271186440677966,0.6166666666666667,"[[118  22]
 [ 23  37]]",0.75,1.0,0.5833333333333334,0.75,0.7907142857142857,1.0,0.5833333333333334,0.5833333333333334,"[[115  25]
 [ 25  35]]",0.76,1.0,0.5932203389830508,0.76,0.7732142857142857,1.0,0.603448275862069,0.5833333333333334,"[[117  23]
 [ 25  35]]"
0.74,1.0,0.5094339622641509,0.74,0.7327380952380953,1.0,0.5869565217391305,0.45,"[[121  19]
 [ 33  27]]",0.775,1.0,0.5945945945945946,0.775,0.7448809523809524,1.0,0.6470588235294118,0.55,"[[122  18]
 [ 27  33]]",0.74,1.0,0.5094339622641509,0.74,0.7433333333333334,1.0,0.5869565217391305,0.45,"[[121  19]
 [ 33  27]]",0.74,1.0,0.4901960784313726,0.74,0.7251190476190477,1.0,0.5952380952380952,0.4166666666666667,"[[123  17]
 [ 35  25]]",0.76,1.0,0.5199999999999999,0.76,0.7421428571428571,1.0,0.65,0.43333333333333335,"[[126  14]
 [ 34  26]]"
0.75,1.0,0.5192307692307692,0.75,0.761547619047619,1.0,0.6136363636363636,0.45,"[[123  17]
 [ 33  27]]",0.775,1.0,0.5794392523364487,0.775,0.7952380952380951,1.0,0.6595744680851063,0.5166666666666667,"[[124  16]
 [ 29  31]]",0.76,1.0,0.5555555555555556,0.76,0.7613095238095238,1.0,0.625,0.5,"[[122  18]
 [ 30  30]]",0.755,1.0,0.5333333333333333,0.755,0.7685714285714285,1.0,0.6222222222222222,0.4666666666666667,"[[123  17]
 [ 32  28]]",0.78,1.0,0.6000000000000001,0.78,0.7725000000000001,1.0,0.66,0.55,"[[123  17]
 [ 27  33]]"
0.745,1.0,0.5405405405405405,0.745,0.751547619047619,1.0,0.5882352941176471,0.5,"[[119  21]
 [ 30  30]]",0.725,1.0,0.52991452991453,0.7250000000000001,0.7602380952380952,1.0,0.543859649122807,0.5166666666666667,"[[114  26]
 [ 29  31]]",0.775,1.0,0.5945945945945946,0.775,0.7494047619047619,1.0,0.6470588235294118,0.55,"[[122  18]
 [ 27  33]]",0.77,1.0,0.5892857142857143,0.7699999999999999,0.7513095238095239,1.0,0.6346153846153846,0.55,"[[121  19]
 [ 27  33]]",0.73,1.0,0.5344827586206896,0.7299999999999999,0.7570238095238095,1.0,0.5535714285714286,0.5166666666666667,"[[115  25]
 [ 29  31]]"
0.73,1.0,0.5,0.7299999999999999,0.7272619047619048,1.0,0.5625,0.45,"[[119  21]
 [ 33  27]]",0.725,1.0,0.5132743362831859,0.7250000000000001,0.7164285714285714,1.0,0.5471698113207547,0.48333333333333334,"[[116  24]
 [ 31  29]]",0.75,1.0,0.5454545454545454,0.75,0.7198809523809524,1.0,0.6,0.5,"[[120  20]
 [ 30  30]]",0.755,1.0,0.5504587155963303,0.755,0.7472619047619048,1.0,0.6122448979591837,0.5,"[[121  19]
 [ 30  30]]",0.73,1.0,0.5178571428571428,0.7299999999999999,0.7095238095238094,1.0,0.5576923076923077,0.48333333333333334,"[[117  23]
 [ 31  29]]"
