Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",0.9444444444444444,1.0,0.923076923076923,0.9444444444444444,0.9583333333333333,1.0,0.8571428571428571,1.0,"[[22  2]
 [ 0 12]]",0.9166666666666666,1.0,0.8799999999999999,0.9166666666666666,0.9166666666666665,1.0,0.8461538461538461,0.9166666666666666,"[[22  2]
 [ 1 11]]",0.9166666666666666,1.0,0.888888888888889,0.9166666666666666,0.9375,1.0,0.8,1.0,"[[21  3]
 [ 0 12]]"
0.9444444444444444,1.0,0.923076923076923,0.9444444444444444,0.9583333333333333,1.0,0.8571428571428571,1.0,"[[22  2]
 [ 0 12]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",0.8888888888888888,1.0,0.8333333333333334,0.8888888888888888,0.875,1.0,0.8333333333333334,0.8333333333333334,"[[22  2]
 [ 2 10]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",0.9166666666666666,1.0,0.8571428571428571,0.9166666666666666,0.875,1.0,1.0,0.75,"[[24  0]
 [ 3  9]]"
0.9166666666666666,1.0,0.8571428571428571,0.9166666666666666,0.875,1.0,1.0,0.75,"[[24  0]
 [ 3  9]]",0.8888888888888888,1.0,0.8333333333333334,0.8888888888888888,0.875,1.0,0.8333333333333334,0.8333333333333334,"[[22  2]
 [ 2 10]]",0.9166666666666666,1.0,0.8571428571428571,0.9166666666666666,0.875,1.0,1.0,0.75,"[[24  0]
 [ 3  9]]",0.8888888888888888,1.0,0.8181818181818182,0.8888888888888888,0.8541666666666667,1.0,0.9,0.75,"[[23  1]
 [ 3  9]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[24  0]
 [ 0 12]]",0.9722222222222222,1.0,0.9600000000000001,0.9722222222222222,0.9791666666666667,1.0,0.9230769230769231,1.0,"[[23  1]
 [ 0 12]]",0.9722222222222222,1.0,0.9600000000000001,0.9722222222222222,0.9791666666666667,1.0,0.9230769230769231,1.0,"[[23  1]
 [ 0 12]]"
0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,0.9375,1.0,0.9166666666666666,0.9166666666666666,"[[23  1]
 [ 1 11]]",0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,0.9375,1.0,0.9166666666666666,0.9166666666666666,"[[23  1]
 [ 1 11]]",0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,0.9375,1.0,0.9166666666666666,0.9166666666666666,"[[23  1]
 [ 1 11]]",0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,0.9375,1.0,0.9166666666666666,0.9166666666666666,"[[23  1]
 [ 1 11]]",0.9166666666666666,1.0,0.8799999999999999,0.9166666666666666,0.9166666666666665,1.0,0.8461538461538461,0.9166666666666666,"[[22  2]
 [ 1 11]]"
0.9166666666666666,1.0,0.8571428571428571,0.9166666666666666,0.875,1.0,1.0,0.75,"[[24  0]
 [ 3  9]]",0.9444444444444444,1.0,0.9090909090909091,0.9444444444444444,0.9166666666666667,1.0,1.0,0.8333333333333334,"[[24  0]
 [ 2 10]]",0.9444444444444444,1.0,0.9090909090909091,0.9444444444444444,0.9166666666666667,1.0,1.0,0.8333333333333334,"[[24  0]
 [ 2 10]]",0.9444444444444444,1.0,0.9090909090909091,0.9444444444444444,0.9166666666666667,1.0,1.0,0.8333333333333334,"[[24  0]
 [ 2 10]]",0.9166666666666666,1.0,0.8695652173913043,0.9166666666666666,0.8958333333333335,1.0,0.9090909090909091,0.8333333333333334,"[[23  1]
 [ 2 10]]"
0.9444444444444444,1.0,0.9090909090909091,0.9444444444444444,0.9166666666666667,1.0,1.0,0.8333333333333334,"[[24  0]
 [ 2 10]]",0.9166666666666666,1.0,0.8695652173913043,0.9166666666666666,0.8958333333333335,1.0,0.9090909090909091,0.8333333333333334,"[[23  1]
 [ 2 10]]",0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,0.9375,1.0,0.9166666666666666,0.9166666666666666,"[[23  1]
 [ 1 11]]",0.9444444444444444,1.0,0.9090909090909091,0.9444444444444444,0.9166666666666667,1.0,1.0,0.8333333333333334,"[[24  0]
 [ 2 10]]",0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,0.9375,1.0,0.9166666666666666,0.9166666666666666,"[[23  1]
 [ 1 11]]"
0.9166666666666666,1.0,0.8695652173913043,0.9166666666666666,0.8958333333333335,1.0,0.9090909090909091,0.8333333333333334,"[[23  1]
 [ 2 10]]",0.9166666666666666,1.0,0.8799999999999999,0.9166666666666666,0.9166666666666665,1.0,0.8461538461538461,0.9166666666666666,"[[22  2]
 [ 1 11]]",0.9166666666666666,1.0,0.8695652173913043,0.9166666666666666,0.8958333333333335,1.0,0.9090909090909091,0.8333333333333334,"[[23  1]
 [ 2 10]]",0.9166666666666666,1.0,0.8695652173913043,0.9166666666666666,0.8958333333333335,1.0,0.9090909090909091,0.8333333333333334,"[[23  1]
 [ 2 10]]",0.9166666666666666,1.0,0.8695652173913043,0.9166666666666666,0.8958333333333335,1.0,0.9090909090909091,0.8333333333333334,"[[23  1]
 [ 2 10]]"
0.9722222222222222,1.0,0.9565217391304348,0.9722222222222222,0.9583333333333333,1.0,1.0,0.9166666666666666,"[[24  0]
 [ 1 11]]",0.9722222222222222,1.0,0.9565217391304348,0.9722222222222222,0.9583333333333333,1.0,1.0,0.9166666666666666,"[[24  0]
 [ 1 11]]",0.8888888888888888,1.0,0.8461538461538461,0.8888888888888888,0.8958333333333333,1.0,0.7857142857142857,0.9166666666666666,"[[21  3]
 [ 1 11]]",0.9166666666666666,1.0,0.888888888888889,0.9166666666666666,0.9375,1.0,0.8,1.0,"[[21  3]
 [ 0 12]]",0.9722222222222222,1.0,0.9565217391304348,0.9722222222222222,0.9583333333333333,1.0,1.0,0.9166666666666666,"[[24  0]
 [ 1 11]]"
0.9722222222222222,1.0,0.9600000000000001,0.9722222222222222,0.9791666666666667,1.0,0.9230769230769231,1.0,"[[23  1]
 [ 0 12]]",0.9444444444444444,1.0,0.923076923076923,0.9444444444444444,0.9583333333333333,1.0,0.8571428571428571,1.0,"[[22  2]
 [ 0 12]]",0.9722222222222222,1.0,0.9600000000000001,0.9722222222222222,0.9791666666666667,1.0,0.9230769230769231,1.0,"[[23  1]
 [ 0 12]]",0.9722222222222222,1.0,0.9600000000000001,0.9722222222222222,0.9791666666666667,1.0,0.9230769230769231,1.0,"[[23  1]
 [ 0 12]]",0.9166666666666666,1.0,0.888888888888889,0.9166666666666666,0.9375,1.0,0.8,1.0,"[[21  3]
 [ 0 12]]"
