Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9621212121212122,1.0,0.28571428571428575,0.9621212121212122,0.6171875,1.0,0.3333333333333333,0.25,"[[126   2]
 [  3   1]]",0.9393939393939394,1.0,0.0,0.9393939393939394,0.484375,1.0,0.0,0.0,"[[124   4]
 [  4   0]]",0.9090909090909091,1.0,0.25,0.9090909090909091,0.7109375,1.0,0.16666666666666666,0.5,"[[118  10]
 [  2   2]]",0.9393939393939394,1.0,0.2,0.9393939393939394,0.60546875,1.0,0.16666666666666666,0.25,"[[123   5]
 [  3   1]]",0.9393939393939394,1.0,0.2,0.9393939393939394,0.60546875,1.0,0.16666666666666666,0.25,"[[123   5]
 [  3   1]]"
0.9393939393939394,1.0,0.3333333333333333,0.9393939393939394,0.7265625,1.0,0.25,0.5,"[[122   6]
 [  2   2]]",0.9696969696969697,1.0,0.5,0.9696969696969697,0.7421875,1.0,0.5,0.5,"[[126   2]
 [  2   2]]",0.9166666666666666,1.0,0.26666666666666666,0.9166666666666666,0.71484375,1.0,0.18181818181818182,0.5,"[[119   9]
 [  2   2]]",0.9166666666666666,1.0,0.26666666666666666,0.9166666666666666,0.71484375,1.0,0.18181818181818182,0.5,"[[119   9]
 [  2   2]]",0.9090909090909091,1.0,0.25,0.9090909090909091,0.7109375,1.0,0.16666666666666666,0.5,"[[118  10]
 [  2   2]]"
0.9545454545454546,1.0,0.4,0.9545454545454546,0.734375,1.0,0.3333333333333333,0.5,"[[124   4]
 [  2   2]]",0.9621212121212122,1.0,0.4444444444444445,0.9621212121212122,0.73828125,1.0,0.4,0.5,"[[125   3]
 [  2   2]]",0.9090909090909091,1.0,0.14285714285714288,0.9090909090909091,0.58984375,1.0,0.1,0.25,"[[119   9]
 [  3   1]]",0.9393939393939394,1.0,0.2,0.9393939393939394,0.60546875,1.0,0.16666666666666666,0.25,"[[123   5]
 [  3   1]]",0.9393939393939394,1.0,0.3333333333333333,0.9393939393939394,0.7265625,1.0,0.25,0.5,"[[122   6]
 [  2   2]]"
0.9545454545454546,1.0,0.25,0.9545454545454546,0.61328125,1.0,0.25,0.25,"[[125   3]
 [  3   1]]",0.9242424242424242,1.0,0.0,0.9242424242424242,0.4765625,1.0,0.0,0.0,"[[122   6]
 [  4   0]]",0.8863636363636364,1.0,0.11764705882352941,0.8863636363636365,0.578125,1.0,0.07692307692307693,0.25,"[[116  12]
 [  3   1]]",0.9090909090909091,1.0,0.0,0.9090909090909091,0.46875,1.0,0.0,0.0,"[[120   8]
 [  4   0]]",0.9090909090909091,1.0,0.0,0.9090909090909091,0.46875,1.0,0.0,0.0,"[[120   8]
 [  4   0]]"
0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.62109375,1.0,0.5,0.25,"[[127   1]
 [  3   1]]",0.9318181818181818,1.0,0.18181818181818182,0.9318181818181818,0.6015625,1.0,0.14285714285714285,0.25,"[[122   6]
 [  3   1]]",0.8787878787878788,1.0,0.11111111111111112,0.8787878787878788,0.57421875,1.0,0.07142857142857142,0.25,"[[115  13]
 [  3   1]]",0.9545454545454546,1.0,0.25,0.9545454545454546,0.61328125,1.0,0.25,0.25,"[[125   3]
 [  3   1]]",0.9242424242424242,1.0,0.0,0.9242424242424242,0.4765625,1.0,0.0,0.0,"[[122   6]
 [  4   0]]"
0.9166666666666666,1.0,0.0,0.9166666666666666,0.47265625,1.0,0.0,0.0,"[[121   7]
 [  4   0]]",0.9090909090909091,1.0,0.14285714285714288,0.9090909090909091,0.58984375,1.0,0.1,0.25,"[[119   9]
 [  3   1]]",0.9015151515151515,1.0,0.0,0.9015151515151515,0.46484375,1.0,0.0,0.0,"[[119   9]
 [  4   0]]",0.9318181818181818,1.0,0.18181818181818182,0.9318181818181818,0.6015625,1.0,0.14285714285714285,0.25,"[[122   6]
 [  3   1]]",0.8939393939393939,1.0,0.125,0.8939393939393939,0.58203125,1.0,0.08333333333333333,0.25,"[[117  11]
 [  3   1]]"
0.9545454545454546,1.0,0.25,0.9545454545454546,0.61328125,1.0,0.25,0.25,"[[125   3]
 [  3   1]]",0.9318181818181818,1.0,0.18181818181818182,0.9318181818181818,0.6015625,1.0,0.14285714285714285,0.25,"[[122   6]
 [  3   1]]",0.9090909090909091,1.0,0.14285714285714288,0.9090909090909091,0.58984375,1.0,0.1,0.25,"[[119   9]
 [  3   1]]",0.9166666666666666,1.0,0.0,0.9166666666666666,0.47265625,1.0,0.0,0.0,"[[121   7]
 [  4   0]]",0.9090909090909091,1.0,0.0,0.9090909090909091,0.46875,1.0,0.0,0.0,"[[120   8]
 [  4   0]]"
0.9393939393939394,1.0,0.0,0.9393939393939394,0.484375,1.0,0.0,0.0,"[[124   4]
 [  4   0]]",0.9242424242424242,1.0,0.28571428571428575,0.9242424242424242,0.71875,1.0,0.2,0.5,"[[120   8]
 [  2   2]]",0.9090909090909091,1.0,0.3333333333333333,0.9090909090909091,0.83203125,1.0,0.21428571428571427,0.75,"[[117  11]
 [  1   3]]",0.9393939393939394,1.0,0.3333333333333333,0.9393939393939394,0.7265625,1.0,0.25,0.5,"[[122   6]
 [  2   2]]",0.9015151515151515,1.0,0.0,0.9015151515151515,0.46484375,1.0,0.0,0.0,"[[119   9]
 [  4   0]]"
0.9545454545454546,1.0,0.0,0.9545454545454546,0.4921875,1.0,0.0,0.0,"[[126   2]
 [  4   0]]",0.9393939393939394,1.0,0.2,0.9393939393939394,0.60546875,1.0,0.16666666666666666,0.25,"[[123   5]
 [  3   1]]",0.9090909090909091,1.0,0.3333333333333333,0.9090909090909091,0.83203125,1.0,0.21428571428571427,0.75,"[[117  11]
 [  1   3]]",0.9166666666666666,1.0,0.26666666666666666,0.9166666666666666,0.71484375,1.0,0.18181818181818182,0.5,"[[119   9]
 [  2   2]]",0.8787878787878788,1.0,0.2,0.8787878787878788,0.6953125,1.0,0.125,0.5,"[[114  14]
 [  2   2]]"
0.9696969696969697,1.0,0.3333333333333333,0.9696969696969697,0.62109375,1.0,0.5,0.25,"[[127   1]
 [  3   1]]",0.9318181818181818,1.0,0.30769230769230765,0.9318181818181818,0.72265625,1.0,0.2222222222222222,0.5,"[[121   7]
 [  2   2]]",0.9242424242424242,1.0,0.16666666666666666,0.9242424242424242,0.59765625,1.0,0.125,0.25,"[[121   7]
 [  3   1]]",0.946969696969697,1.0,0.36363636363636365,0.946969696969697,0.73046875,1.0,0.2857142857142857,0.5,"[[123   5]
 [  2   2]]",0.946969696969697,1.0,0.22222222222222224,0.946969696969697,0.609375,1.0,0.2,0.25,"[[124   4]
 [  3   1]]"
