Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9940005454049632,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9920916280338151,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9918189255522226,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9918189255522226,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9929097354785927,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]"
0.9764150943396226,1.0,0.8571428571428572,0.9764150943396226,0.9477774747750205,1.0,0.9375,0.7894736842105263,"[[192   1]
 [  4  15]]",0.9764150943396226,1.0,0.8571428571428572,0.9764150943396226,0.9559585492227979,1.0,0.9375,0.7894736842105263,"[[192   1]
 [  4  15]]",0.9764150943396226,1.0,0.8571428571428572,0.9764150943396226,0.9518680119989091,1.0,0.9375,0.7894736842105263,"[[192   1]
 [  4  15]]",0.9811320754716981,1.0,0.8823529411764706,0.9811320754716981,0.9535042268884646,1.0,1.0,0.7894736842105263,"[[193   0]
 [  4  15]]",0.9716981132075472,1.0,0.8235294117647058,0.9716981132075472,0.9329151895282247,1.0,0.9333333333333333,0.7368421052631579,"[[192   1]
 [  5  14]]"
0.9622641509433962,1.0,0.8095238095238095,0.9622641509433962,0.9893646032178892,1.0,0.7391304347826086,0.8947368421052632,"[[187   6]
 [  2  17]]",0.9622641509433962,1.0,0.8181818181818181,0.9622641509433962,0.9918189255522226,1.0,0.72,0.9473684210526315,"[[186   7]
 [  1  18]]",0.9622641509433962,1.0,0.8095238095238095,0.9622641509433962,0.9907281156258522,1.0,0.7391304347826086,0.8947368421052632,"[[187   6]
 [  2  17]]",0.9622641509433962,1.0,0.8095238095238095,0.9622641509433962,0.990182710662667,1.0,0.7391304347826086,0.8947368421052632,"[[187   6]
 [  2  17]]",0.9622641509433962,1.0,0.8095238095238095,0.9622641509433962,0.9841832560676302,1.0,0.7391304347826086,0.8947368421052632,"[[187   6]
 [  2  17]]"
0.9858490566037735,1.0,0.9142857142857143,0.9858490566037735,0.993455140441778,1.0,1.0,0.8421052631578947,"[[193   0]
 [  3  16]]",0.9764150943396226,1.0,0.8648648648648649,0.9764150943396226,0.9961821652577039,1.0,0.8888888888888888,0.8421052631578947,"[[191   2]
 [  3  16]]",0.9858490566037735,1.0,0.9142857142857143,0.9858490566037735,0.9980910826288519,1.0,1.0,0.8421052631578947,"[[193   0]
 [  3  16]]",0.9858490566037735,1.0,0.9142857142857143,0.9858490566037735,0.9948186528497409,1.0,1.0,0.8421052631578947,"[[193   0]
 [  3  16]]",0.9858490566037735,1.0,0.9142857142857143,0.9858490566037735,0.9940005454049633,1.0,1.0,0.8421052631578947,"[[193   0]
 [  3  16]]"
0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9960458140169075,0.9999999999999999,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9716981132075472,1.0,0.8500000000000001,0.9716981132075472,0.9949550040905373,1.0,0.8095238095238095,0.8947368421052632,"[[189   4]
 [  2  17]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9946823016089446,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9942732478865558,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.995773111535315,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]"
0.9858490566037735,1.0,0.9230769230769231,0.9858490566037735,0.9980910826288518,1.0,0.9,0.9473684210526315,"[[191   2]
 [  1  18]]",0.9905660377358491,1.0,0.9473684210526315,0.9905660377358491,0.9991818925552223,1.0,0.9473684210526315,0.9473684210526315,"[[192   1]
 [  1  18]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9972729751840742,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9967275702208891,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9858490566037735,1.0,0.918918918918919,0.9858490566037735,0.9980910826288519,1.0,0.9444444444444444,0.8947368421052632,"[[192   1]
 [  2  17]]"
0.9716981132075472,1.0,0.8500000000000001,0.9716981132075472,0.9903190619034633,1.0,0.8095238095238095,0.8947368421052632,"[[189   4]
 [  2  17]]",0.9716981132075472,1.0,0.8500000000000001,0.9716981132075472,0.9940005454049632,1.0,0.8095238095238095,0.8947368421052632,"[[189   4]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9912735205890373,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9893646032178893,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9893646032178892,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]"
0.9669811320754716,1.0,0.8205128205128205,0.9669811320754716,0.9809108262885192,1.0,0.8,0.8421052631578947,"[[189   4]
 [  3  16]]",0.9669811320754716,1.0,0.8292682926829269,0.9669811320754716,0.9593673302427052,1.0,0.7727272727272727,0.8947368421052632,"[[188   5]
 [  2  17]]",0.9764150943396226,1.0,0.8717948717948718,0.9764150943396226,0.9781838014725934,1.0,0.85,0.8947368421052632,"[[190   3]
 [  2  17]]",0.9669811320754716,1.0,0.8205128205128205,0.9669811320754716,0.9811835287701117,1.0,0.8,0.8421052631578947,"[[189   4]
 [  3  16]]",0.9811320754716981,1.0,0.8947368421052632,0.9811320754716981,0.9541859830924461,1.0,0.8947368421052632,0.8947368421052632,"[[191   2]
 [  2  17]]"
0.9858490566037735,1.0,0.918918918918919,0.9858490566037735,0.9874556858467411,1.0,0.9444444444444444,0.8947368421052632,"[[192   1]
 [  2  17]]",0.9905660377358491,1.0,0.9444444444444444,0.9905660377358491,0.9920916280338151,1.0,1.0,0.8947368421052632,"[[193   0]
 [  2  17]]",0.9905660377358491,1.0,0.9473684210526315,0.9905660377358491,0.9888191982547042,1.0,0.9473684210526315,0.9473684210526315,"[[192   1]
 [  1  18]]",0.9858490566037735,1.0,0.918918918918919,0.9858490566037735,0.9910008181074448,1.0,0.9444444444444444,0.8947368421052632,"[[192   1]
 [  2  17]]",0.9858490566037735,1.0,0.918918918918919,0.9858490566037735,0.9931824379601855,1.0,0.9444444444444444,0.8947368421052632,"[[192   1]
 [  2  17]]"
0.9952830188679245,1.0,0.972972972972973,0.9952830188679245,0.9994545950368148,1.0,1.0,0.9473684210526315,"[[193   0]
 [  1  18]]",0.9952830188679245,1.0,0.972972972972973,0.9952830188679245,0.9991818925552223,1.0,1.0,0.9473684210526315,"[[193   0]
 [  1  18]]",0.9952830188679245,1.0,0.972972972972973,0.9952830188679245,0.9961821652577039,1.0,1.0,0.9473684210526315,"[[193   0]
 [  1  18]]",0.9905660377358491,1.0,0.9444444444444444,0.9905660377358491,0.9991818925552223,1.0,1.0,0.8947368421052632,"[[193   0]
 [  2  17]]",0.9952830188679245,1.0,0.972972972972973,0.9952830188679245,0.9975456776656668,1.0,1.0,0.9473684210526315,"[[193   0]
 [  1  18]]"
